model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Gemma-3-12B,Gemma-3-12B-Instruct,task1_base_instruct,id,262137,24000,3840,3840,262208,262208,True,True,0.9721059497073392,0.16554873691590147,60.3551025390625,0.03143133223056793,0.9721059497073392,0.16554873691590147,60.3551025390625,0.03143133223056793
Gemma-4-E2B,Gemma-4-E2B-Instruct,task1_base_instruct,id,262120,24000,1536,1536,262144,262144,True,True,0.6877371339071265,0.5149611735763666,36.60519790649414,0.6326037645339966,0.6877371339071265,0.5149611735763666,36.60519790649414,0.6326037645339966
Gemma-4-E4B,Gemma-4-E4B-Instruct,task1_base_instruct,id,262120,24000,2560,2560,262144,262144,True,True,0.7515635496976871,0.4676464015139576,52.521156311035156,0.49633389711380005,0.7515635496976871,0.4676464015139576,52.521156311035156,0.49633389711380005
Gemma-3-1B,Gemma-3-1B-Instruct,task1_base_instruct,id,262137,24000,1152,1152,262144,262144,True,True,0.40376625159333257,0.736186859429057,18.08878517150879,0.16848593950271606,0.40376625159333257,0.736186859429057,18.08878517150879,0.16848593950271606
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,task1_base_instruct,id,262120,24000,2816,2816,262144,262144,True,True,0.7398660052020842,0.48699534786548604,70.40411376953125,0.6724271774291992,0.7398660052020842,0.48699534786548604,70.40411376953125,0.6724271774291992
Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,4096,3072,128256,128256,False,True,0.3138473914409221,0.765987475229701,54.57075881958008,0.5581973195075989,0.6022284647777953,0.5832142944052338,59.5346794128418,0.3147228956222534
Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,2048,3072,128256,128256,True,True,0.38455982247082676,0.7255623011258583,32.222774505615234,0.18636342883110046,0.38455982247082676,0.7255623011258583,32.222774505615234,0.18636342883110046
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,task2_model_series,id,128000,24000,8192,4096,128256,128256,False,False,0.46925516716547255,0.7226243281501841,62.423248291015625,0.06255359202623367,0.6117297927923442,0.6042731897700145,75.26911926269531,0.07780169695615768
Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,task2_model_series,id,128000,24000,8192,2048,128256,128256,False,True,0.5064430738331291,0.6532570901002693,80.5657730102539,0.43642717599868774,0.5981393541590907,0.5894585148492995,76.47640228271484,0.272469699382782
Gemma-3-27B,Gemma-3-27B-Instruct,task1_base_instruct,id,262137,24000,5376,5376,262208,262208,True,True,0.9769735248828407,0.15096033310345788,72.04949188232422,0.02442808635532856,0.9769735248828407,0.15096033310345788,72.04949188232422,0.02442808635532856
Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,8192,3072,128256,128256,False,True,0.49050789962817876,0.6600119700986292,94.83570861816406,0.5240774154663086,0.6119581365859367,0.5759998567694169,88.57699584960938,0.3444989323616028
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,task2_model_series,id,151643,24000,896,1536,151936,151936,True,True,0.2694138150024624,0.8098772780881204,38.925838470458984,0.19345441460609436,0.2694138150024624,0.8098772780881204,38.925838470458984,0.19345441460609436
