actual_tied,n,R2_EU_mean,R2_EU_median,R2_EU_min,R2_EU_max,R2_EU_lt_0.5
False,48,0.348,0.2899,0.2061,0.9622,47
True,44,1.0,1.0,1.0,1.0,0
