model,role,tied,E_mean_var_range,U_mean_var_range
DeepSeek-V3,base,False,"3.157227 (var=0.2051) [0.4932, 4.6582]","6.672220 (var=0.9241) [1.0945, 10.5210]"
DeepSeek-V3-Base,base,False,"3.157236 (var=0.2051) [0.4932, 4.6582]","6.672493 (var=0.9240) [1.0978, 10.5217]"
DeepSeek-V3.1,base,False,"3.155203 (var=0.2042) [0.4932, 4.6555]","6.668074 (var=0.9219) [1.0932, 10.4998]"
DeepSeek-V3.1-Base,base,False,"3.155207 (var=0.2042) [0.4932, 4.6561]","6.669333 (var=0.9219) [1.0978, 10.5007]"
Gemma-2-27B,base,True,"0.999218 (var=2.28e-06) [0.9678, 1.0090]",(=E)
Gemma-2-27B-Instruct,instruct,True,"0.993617 (var=1.46e-05) [0.9741, 1.0131]",(=E)
Gemma-2-2B,base,True,"1.779769 (var=0.0639) [1.0731, 4.8711]",(=E)
Gemma-2-2B-Instruct,instruct,True,"1.772034 (var=0.0635) [1.0645, 4.8634]",(=E)
Gemma-2-9B,base,True,"1.722505 (var=0.0453) [1.0138, 4.2563]",(=E)
Gemma-2-9B-Instruct,instruct,True,"1.721526 (var=0.0456) [1.0204, 4.2763]",(=E)
Gemma-3-12B,base,True,"0.964557 (var=0.0002) [0.0047, 0.9674]",(=E)
Gemma-3-12B-Instruct,instruct,True,"0.950241 (var=0.0003) [0.0047, 1.0045]",(=E)
Gemma-3-1B,base,True,"1.046725 (var=2.01e-08) [1.0450, 1.0481]",(=E)
Gemma-3-1B-Instruct,instruct,True,"0.947532 (var=0.0007) [0.7279, 1.1101]",(=E)
Gemma-3-27B,base,True,"1.030797 (var=0.0003) [0.0051, 1.0320]",(=E)
Gemma-3-27B-Instruct,instruct,True,"1.020246 (var=0.0003) [0.0051, 1.0795]",(=E)
Gemma-3-4B,base,True,"0.972277 (var=0.0002) [0.0051, 0.9749]",(=E)
Gemma-3-4B-Instruct,instruct,True,"0.998227 (var=0.0005) [0.0056, 1.0845]",(=E)
Gemma-4-26B-A4B,base,True,"0.999902 (var=3.75e-09) [0.9987, 1.0010]",(=E)
Gemma-4-26B-A4B-Instruct,instruct,True,"1.515363 (var=0.0346) [0.9981, 6.0225]",(=E)
Gemma-4-31B,base,True,"0.999800 (var=5.61e-08) [0.9981, 1.0018]",(=E)
Gemma-4-31B-Instruct,instruct,True,"1.118223 (var=0.0069) [0.5023, 6.8151]",(=E)
Gemma-4-E2B,base,True,"0.999998 (var=6.27e-09) [0.9989, 1.0008]",(=E)
Gemma-4-E2B-Instruct,instruct,True,"1.193636 (var=0.0060) [0.8757, 2.0095]",(=E)
Gemma-4-E4B,base,True,"0.999999 (var=3.83e-09) [0.9991, 1.0006]",(=E)
Gemma-4-E4B-Instruct,instruct,True,"1.206352 (var=0.0070) [0.8798, 1.7348]",(=E)
Llama-3.1-70B-Base,base,False,"0.817750 (var=0.0143) [2.49e-05, 1.1082]","0.957179 (var=0.0216) [0.3590, 1.8338]"
Llama-3.1-70B-Instruct,instruct,False,"0.814383 (var=0.0142) [2.48e-05, 1.1035]","0.943505 (var=0.0213) [0.3499, 1.8211]"
Llama-3.1-8B,base,False,"0.674119 (var=0.0071) [2.00e-21, 0.9349]","0.916771 (var=0.0163) [0.4293, 1.7925]"
Llama-3.1-8B-Instruct,instruct,False,"0.671327 (var=0.0071) [1.99e-21, 0.9313]","0.904344 (var=0.0159) [0.4149, 1.7803]"
Llama-3.2-1B,base,True,"0.987007 (var=0.0087) [0.5442, 1.3784]",(=E)
Llama-3.2-1B-Instruct,instruct,True,"0.929794 (var=0.0083) [0.5215, 1.3203]",(=E)
Llama-3.2-3B,base,True,"1.147452 (var=0.0135) [0.6390, 1.5486]",(=E)
Llama-3.2-3B-Instruct,instruct,True,"1.086130 (var=0.0128) [0.6221, 1.4695]",(=E)
Qwen2.5-0.5B,base,True,"0.463281 (var=0.0038) [0.2869, 0.8066]",(=E)
Qwen2.5-0.5B-Instruct,instruct,True,"0.452634 (var=0.0035) [0.2849, 0.7798]",(=E)
Qwen2.5-1.5B,base,True,"1.015754 (var=0.0208) [0.4054, 1.5647]",(=E)
Qwen2.5-1.5B-Instruct,instruct,True,"1.012561 (var=0.0202) [0.4147, 1.5590]",(=E)
Qwen2.5-14B,base,False,"1.141519 (var=0.0875) [0, 1.7609]","1.199214 (var=0.0496) [0.2356, 1.9831]"
Qwen2.5-14B-Instruct,instruct,False,"1.140284 (var=0.0873) [0, 1.7608]","1.195604 (var=0.0488) [0.2430, 1.9880]"
Qwen2.5-32B,base,False,"1.207374 (var=0.1138) [0, 1.8994]","1.242295 (var=0.0533) [0.3645, 2.0182]"
Qwen2.5-32B-Instruct,instruct,False,"1.206060 (var=0.1135) [0, 1.8982]","1.237966 (var=0.0529) [0.3625, 2.0174]"
Qwen2.5-3B,base,True,"1.092016 (var=0.0265) [0.3777, 1.6296]",(=E)
Qwen2.5-3B-Instruct,instruct,True,"1.088976 (var=0.0256) [0.3796, 1.6249]",(=E)
Qwen2.5-72B-Base,base,False,"0.805492 (var=0.0604) [2.07e-14, 1.4107]","0.868490 (var=0.0264) [0.4034, 1.8990]"
