model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,17,1024,1.0,4239872,2098176,0.4948677695930443,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979147157657108,0.997860103859318,0.14183226969816132,0.11935755139071841,0.8415401632134054,1.0,0.14183226969816132,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.16633177260531914,0.14449867645059583,0.14449867645059583,0.8687376692213217,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,18,1024,1.0,4489216,2098176,0.46738138686131386,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979249607434743,0.997860103859318,0.14604843801214223,0.11935755139071841,0.8172463397437719,1.0,0.14604843801214223,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.17042757513972326,0.14449867645059583,0.14449867645059583,0.8478597218327498,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,19,1024,1.0,4738560,2098176,0.44278768233387356,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979350843841246,0.997860103859318,0.15021467184080037,0.11935755139071841,0.7945798498113102,1.0,0.15021467184080037,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1744748687493624,0.14449867645059583,0.14449867645059583,0.8281919194802311,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,20,1024,1.0,4987904,2098176,0.4206528433586533,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979450355882402,0.997860103859318,0.15430994197678027,0.11935755139071841,0.7734922964890927,1.0,0.15430994197678027,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1784532245816936,0.14449867645059583,0.14449867645059583,0.8097285817575472,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,21,1024,1.0,5237248,2098176,0.40062567210871053,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979547607830725,0.997860103859318,0.15831220135165625,0.11935755139071841,0.7539377910966665,1.0,0.15831220135165625,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.18234122498163063,0.14449867645059583,0.14449867645059583,0.7924630124929394,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,22,1024,1.0,5486592,2098176,0.3824188129899216,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979641473962116,0.997860103859318,0.16217512246350999,0.11935755139071841,0.7359794127337521,1.0,0.16217512246350999,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.18609386503342085,0.14449867645059583,0.14449867645059583,0.7764827519953176,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,23,1024,1.0,5735936,2098176,0.36579487637240027,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979731947552969,0.997860103859318,0.16589842861224466,0.11935755139071841,0.7194616150927716,1.0,0.16589842861224466,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1897108759363729,0.14449867645059583,0.14449867645059583,0.7616784000252006,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,24,1024,1.0,5985280,2098176,0.35055603079555175,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979820644430383,0.997860103859318,0.16954861676040475,0.11935755139071841,0.7039724279165713,1.0,0.16954861676040475,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.19325685625663427,0.14449867645059583,0.14449867645059583,0.747702716734198,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,25,1024,1.0,6234624,2098176,0.3365360926336536,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979908138742465,0.997860103859318,0.17314931511982617,0.11935755139071841,0.6893330840385841,1.0,0.17314931511982617,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.19675475965324182,0.14449867645059583,0.14449867645059583,0.7344100681745058,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,26,1024,1.0,6483968,2098176,0.32359444093493367,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979993513196966,0.997860103859318,0.1766627738915908,0.11935755139071841,0.6756236685379017,1.0,0.1766627738915908,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.20016791403187487,0.14449867645059583,0.14449867645059583,0.7218873072114134,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,27,1024,1.0,6733312,2098176,0.31161128431298,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980078005898294,0.997860103859318,0.18013994542209177,0.11935755139071841,0.6625823667873766,1.0,0.18013994542209177,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.20354581711984163,0.14449867645059583,0.14449867645059583,0.7099073736578894,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,28,1024,1.0,6982656,2098176,0.30048394192696876,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.998016149774253,0.997860103859318,0.1835759281667575,0.11935755139071841,0.650180841151983,1.0,0.1835759281667575,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.20688370730489516,0.14449867645059583,0.14449867645059583,0.698453630462261,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,29,1024,1.0,7232000,2098176,0.29012389380530973,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980243384565465,0.997860103859318,0.1869458586454629,0.11935755139071841,0.6384605267831921,1.0,0.1869458586454629,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.21015743092491232,0.14449867645059583,0.14449867645059583,0.6875734815307298,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,30,1024,1.0,7481344,2098176,0.280454421023816,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980323389258391,0.997860103859318,0.19023833286136202,0.11935755139071841,0.6274106253743369,1.0,0.19023833286136202,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.21335590955139935,0.14449867645059583,0.14449867645059583,0.6772658735088132,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,31,1024,1.0,7730688,2098176,0.27140870256308364,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980401466196827,0.997860103859318,0.1934514732066553,0.11935755139071841,0.6169896223184315,1.0,0.1934514732066553,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.21647731917966492,0.14449867645059583,0.14449867645059583,0.6675003044114263,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,32,1024,1.0,7980032,2098176,0.2629282689593225,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980478352576372,0.997860103859318,0.19661561787052553,0.11935755139071841,0.6070603784350297,1.0,0.19661561787052553,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.21955113188551117,0.14449867645059583,0.14449867645059583,0.6581550056683253,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,33,1024,1.0,8229376,2098176,0.25496173707459713,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980553587349615,0.997860103859318,0.19971179313205062,0.11935755139071841,0.5976489896708227,1.0,0.19971179313205062,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.22255891562153096,0.14449867645059583,0.14449867645059583,0.649260336513864,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,34,1024,1.0,8478720,2098176,0.24746376811594203,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980628186261638,0.997860103859318,0.2027818004701372,0.11935755139071841,0.5886009055743426,1.0,0.2027818004701372,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.22554127849216826,0.14449867645059583,0.14449867645059583,0.6406750791545833,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,35,1024,1.0,8728064,2098176,0.24039420425881386,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980701383301372,0.997860103859318,0.20579411583804474,0.11935755139071841,0.579985248386062,1.0,0.20579411583804474,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.22846759641865796,0.14449867645059583,0.14449867645059583,0.6324690184327393,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,36,1024,1.0,8977408,2098176,0.23371734915022244,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980774009794935,0.997860103859318,0.2087829512263111,0.11935755139071841,0.5716824610901314,1.0,0.2087829512263111,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.23137110468648123,0.14449867645059583,0.14449867645059583,0.6245320764941602,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,37,1024,1.0,9226752,2098176,0.22740136507408024,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980845376092238,0.997860103859318,0.21171992511072352,0.11935755139071841,0.5637520952659406,1.0,0.21171992511072352,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.23422423202472475,0.14449867645059583,0.14449867645059583,0.616924539367654,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,38,1024,1.0,9476096,2098176,0.2214177652906851,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980915420720294,0.997860103859318,0.21460250766182568,0.11935755139071841,0.556179667661685,1.0,0.21460250766182568,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.23702452082706754,0.14449867645059583,0.14449867645059583,0.6096359817388753,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,39,1024,1.0,9725440,2098176,0.21574098446959727,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980985049445164,0.997860103859318,0.21746797433551263,0.11935755139071841,0.5488511665012886,1.0,0.21746797433551263,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.23980818238664509,0.14449867645059583,0.14449867645059583,0.6025594081590561,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,40,1024,1.0,9974784,2098176,0.21034801355097013,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981053521229184,0.997860103859318,0.22028582882826048,0.11935755139071841,0.541830366599624,1.0,0.22028582882826048,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.24254559102726012,0.14449867645059583,0.14449867645059583,0.5957588255411964,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,41,1024,1.0,10224128,2098176,0.2052180880364565,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981121605925481,0.997860103859318,0.22308775330115074,0.11935755139071841,0.5350251173563759,1.0,0.22308775330115074,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.24526752442807281,0.14449867645059583,0.14449867645059583,0.5891472048227548,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,42,1024,1.0,10473472,2098176,0.2003324208056316,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981189043714629,0.997860103859318,0.2258630552718721,0.11935755139071841,0.5284509732990521,1.0,0.2258630552718721,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.24796359536236726,0.14449867645059583,0.14449867645059583,0.5827414957402492,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,43,1024,1.0,10722816,2098176,0.19567397221028507,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981255103164118,0.997860103859318,0.22858163372275314,0.11935755139071841,0.5221659739097293,1.0,0.22858163372275314,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.2506045621549339,0.14449867645059583,0.14449867645059583,0.5766003428192217,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,44,1024,1.0,10972160,2098176,0.19122725151656556,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981319290569012,0.997860103859318,0.2312231709609731,0.11935755139071841,0.5162006510621902,1.0,0.2312231709609731,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.25317068715500735,0.14449867645059583,0.14449867645059583,0.5707559515455455,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,45,1024,1.0,11221504,2098176,0.1869781448190902,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.99813828805333,0.997860103859318,0.23384012141916474,0.11935755139071841,0.510423748783327,1.0,0.23384012141916474,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.255712927293649,0.14449867645059583,0.14449867645059583,0.5650816248513717,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,46,1024,1.0,11470848,2098176,0.1829137653990359,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.998144562332297,0.997860103859318,0.2364222076651619,0.11935755139071841,0.5048491534253886,1.0,0.2364222076651619,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.25822129854517983,0.14449867645059583,0.14449867645059583,0.5595924010323786,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,47,1024,1.0,11720192,2098176,0.17902232318378403,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981507890657496,0.997860103859318,0.23898472726145803,0.11935755139071841,0.4994358960024122,1.0,0.23898472726145803,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.26071066174782204,0.14449867645059583,0.14449867645059583,0.5542492028590885,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,48,1024,1.0,11969536,2098176,0.17529301052271365,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981568606759584,0.997860103859318,0.24148340819256808,0.11935755139071841,0.4942681250197452,1.0,0.24148340819256808,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.2631380087909586,0.14449867645059583,0.14449867645059583,0.549136466884904,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,49,1024,1.0,12218880,2098176,0.1717159019484601,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981628259571078,0.997860103859318,0.24393833097980136,0.11935755139071841,0.4892939576626089,1.0,0.24393833097980136,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.2655228469247623,0.14449867645059583,0.14449867645059583,0.5442043052948303,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,50,1024,1.0,12468224,2098176,0.16828186596583442,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981687561314179,0.997860103859318,0.2463788060691241,0.11935755139071841,0.48444731628917553,1.0,0.2463788060691241,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.26789364982246733,0.14449867645059583,0.14449867645059583,0.5393882107558535,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,51,1024,1.0,12717568,2098176,0.16498248721768188,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981746426983269,0.997860103859318,0.2488013351807413,0.11935755139071841,0.4797303491318136,1.0,0.2488013351807413,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.27024701907533305,0.14449867645059583,0.14449867645059583,0.5346911020332695,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,52,1024,1.0,12966912,2098176,0.16180999763089315,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981804369116762,0.997860103859318,0.2511858575576362,0.11935755139071841,0.47517624022017657,1.0,0.2511858575576362,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.27256346663323616,0.14449867645059583,0.14449867645059583,0.5301468983920524,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,53,1024,1.0,13216256,2098176,0.15875721535660325,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981861850202843,0.997860103859318,0.253551406213609,0.11935755139071841,0.47074300700254634,1.0,0.253551406213609,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.27486148214373207,0.14449867645059583,0.14449867645059583,0.5257145356402968,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,54,1024,1.0,13465600,2098176,0.15581749049429658,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981919050818415,0.997860103859318,0.25590541252268745,0.11935755139071841,0.4664127663971808,1.0,0.25590541252268745,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.27714828482538856,0.14449867645059583,0.14449867645059583,0.5213767660212445,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,55,1024,1.0,13714944,2098176,0.15298465673647665,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981975726032041,0.997860103859318,0.2582377966956316,0.11935755139071841,0.4622001617036623,1.0,0.2582377966956316,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.27941408265302053,0.14449867645059583,0.14449867645059583,0.5171488676540182,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,56,1024,1.0,13964288,2098176,0.15025298819388427,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982032065065262,0.997860103859318,0.26055634586373677,0.11935755139071841,0.45808729392121145,1.0,0.26055634586373677,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.28166644044608485,0.14449867645059583,0.14449867645059583,0.5130134645140837,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,57,1024,1.0,14213632,2098176,0.14761716076510212,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982087090113358,0.997860103859318,0.2628208199272136,0.11935755139071841,0.45414039657807037,1.0,0.2628208199272136,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.28386626690403843,0.14449867645059583,0.14449867645059583,0.5090378579552881,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,58,1024,1.0,14462976,2098176,0.14507221750212404,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982141984051098,0.997860103859318,0.2650798983388033,0.11935755139071841,0.4502700964452816,1.0,0.2650798983388033,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.2860608517485107,0.14449867645059583,0.14449867645059583,0.5051326512081817,0,0
