rank_w,n,mean_shift_over_raw_median,w_gain_centered_median,aff_gain_centered_median,w_gain_raw_median,aff_gain_raw_median,aff_over_w_centered_median,aff_over_w_raw_median,affine_wins_centered,affine_wins_raw
1,26,0.03344376817815696,0.021005077592602263,0.07627933814580826,0.05290825133905741,0.11082638873615508,1.8786173982007472,1.3281288519555075,15,15
2,26,0.03344376817815696,0.035481582067325615,0.08257137198485341,0.06639873653124977,0.11948371917508534,1.6301621792664083,1.2425778023491916,15,15
4,26,0.03344376817815696,0.051080580260311786,0.08915915300403207,0.0836897613249116,0.12706597979190026,1.4513884763888178,1.1997627100493378,14,14
8,26,0.03344376817815696,0.06720556277431802,0.0987714007278809,0.10200959953618409,0.13413369110445833,1.2284338642812713,1.1120016172769653,14,14
16,26,0.03344376817815696,0.0885325100319598,0.10908882044917367,0.12516261114901173,0.14067441184676321,0.9545602642351003,0.956782928723434,13,13
32,26,0.03344376817815696,0.13241449118319504,0.11622862091215834,0.15565355197599656,0.1440711767869653,0.8570744672584102,0.8846010014204946,8,8
64,26,0.03344376817815696,0.19976533710773006,0.11968839721089572,0.21485937478552988,0.14532561532601285,0.7196077958480882,0.777249429157166,3,3
128,26,0.03344376817815696,0.3041100835183074,0.11968839721089572,0.31556403758473517,0.14532561532601285,0.581186127978058,0.6808280851747228,1,1
