rank_w,n,w_gain_median,affine_gain_median,affine_over_w_median,affine_wins,affine_wins_raw
1,30,0.019345681622598563,0.06336101052557233,1.3879578001822233,16,16
2,30,0.029300885959990135,0.07529612608004413,1.25132843102305,16,16
4,30,0.04229009365834741,0.08598095741535414,1.11073831827587,15,15
8,30,0.06064160470930258,0.09316905686392635,1.0053257826136,15,15
16,30,0.08520647550003785,0.09919929803710892,0.8664398481694936,13,13
32,30,0.11695811579657442,0.10565969015371135,0.7787719265356945,8,8
64,30,0.17942200373338263,0.10802682949561382,0.6294507234837781,3,3
128,30,0.2695945412444634,0.10802682949561382,0.44724659195901584,1,1
