model_a,model_b,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,16,2448384,0.22846360504627228,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.36557916551828384,672,7,2448000,decomposed_hybrid,1.6001636910362182,0.9998431618569636,199680,97,0,0.2286185771226883,decomposed_hybrid,0.08155583437892096,0.918444165621079
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,32,4895744,0.29376721382141113,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.40907538682222366,896,20,4895232,decomposed_hybrid,1.3925154597779976,0.999895419368333,689920,187,2,0.2939118407666683,decomposed_hybrid,0.14092240117130309,0.8590775988286969
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,64,9790464,0.37092047929763794,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.46277399361133575,970,51,9788544,decomposed_hybrid,1.2476366753532413,0.999803890806401,2678784,710,8,0.3709278628230095,decomposed_hybrid,0.2736115469093191,0.7263884530906809
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,1,156032,0.040746837854385376,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.1703234612941742,37,0,153600,decomposed_hybrid,4.180041207193779,0.9844134536505332,10240,2,0,0.05575612187385559,decomposed_hybrid,0.06562756357670221,0.9343724364232978
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,2,310016,0.06920953840017319,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.1933753937482834,75,0,309248,decomposed_hybrid,2.79405697853635,0.9975227085053675,14336,3,0,0.07124865055084229,decomposed_hybrid,0.046242774566473986,0.953757225433526
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,4,617984,0.10648997873067856,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.22027536015957594,112,1,614784,decomposed_hybrid,2.068507880132735,0.9948218724109362,30720,7,0,0.10658089071512222,decomposed_hybrid,0.04971002485501243,0.9502899751449876
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,8,1233920,0.15244340896606445,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.2532489560544491,187,3,1229952,decomposed_hybrid,1.6612653690447516,0.9967842323651452,96256,23,0,0.15355254709720612,decomposed_hybrid,0.07800829875518672,0.9219917012448133
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,16,2465792,0.2019207775592804,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.2892216593027115,375,6,2461952,decomposed_hybrid,1.4323521472068474,0.9984426910299004,409984,62,1,0.20226995926350355,decomposed_hybrid,0.1662686877076412,0.8337313122923589
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,32,4929536,0.25145310163497925,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.3306431695818901,639,15,4929152,decomposed_hybrid,1.314929771921711,0.9999221022019111,1188992,177,3,0.25152207538485527,decomposed_hybrid,0.24119754881595346,0.7588024511840465
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,64,9857024,0.30988532304763794,0.9912145794555884,0.008785420544411506,0.29601885246555293,0.7039811870124126,0.3799144923686981,1015,37,9856896,decomposed_hybrid,1.2259841435287813,0.9999870143361729,3532544,486,10,0.309915266931057,decomposed_hybrid,0.3583783503012674,0.6416216496987326
Qwen3-4B-Base,Qwen3-4B,2560,151936,1,157056,0.03096046671271324,0.9859308098198453,0.014069190180154734,0.29821138516231127,0.7017885897060341,0.154471293091774,30,0,156160,decomposed_hybrid,4.989307639485412,0.9942950285248574,12800,2,0,0.04331992194056511,decomposed_hybrid,0.08149959250203749,0.9185004074979625
Qwen3-4B-Base,Qwen3-4B,2560,151936,2,311552,0.05140455812215805,0.9859308098198453,0.014069190180154734,0.29821138516231127,0.7017885897060341,0.1807314157485962,60,0,309760,decomposed_hybrid,3.5158636189247097,0.9942481511914544,17920,3,0,0.05801311880350113,decomposed_hybrid,0.05751848808545604,0.942481511914544
