family,size,model_a,rank_w,same_budget_gain_over_w,same_budget_mode,same_budget_rank_affine,same_budget_rank_residual_w,match_param_ratio_over_w,match_param_saving,match_mode,match_rank_affine,match_rank_residual_w,baseline_w_gain,same_budget_hybrid_gain,match_hybrid_gain
Qwen3,8B,Qwen3-8B-Base,1,1.0,pure_W_fallback,0.0,1.0,1.0,0.0,pure_W_fallback,0.0,1.0,0.006615165621042252,0.006615165621042252,0.006615165621042252
Qwen3,8B,Qwen3-8B-Base,2,1.0,pure_W_fallback,0.0,2.0,1.0,0.0,pure_W_fallback,0.0,2.0,0.012353895232081413,0.012353895232081413,0.012353895232081413
Qwen3,8B,Qwen3-8B-Base,4,1.0,pure_W_fallback,0.0,4.0,1.0,0.0,pure_W_fallback,0.0,4.0,0.01914742961525917,0.01914742961525917,0.01914742961525917
Qwen3,8B,Qwen3-8B-Base,8,1.0,pure_W_fallback,0.0,8.0,1.0,0.0,pure_W_fallback,0.0,8.0,0.030230339616537094,0.030230339616537094,0.030230339616537094
Qwen3,8B,Qwen3-8B-Base,16,1.0,pure_W_fallback,0.0,16.0,1.0,0.0,pure_W_fallback,0.0,16.0,0.047875937074422836,0.047875937074422836,0.047875937074422836
Qwen3,8B,Qwen3-8B-Base,32,1.0,pure_W_fallback,0.0,32.0,1.0,0.0,pure_W_fallback,0.0,32.0,0.07766114175319672,0.07766114175319672,0.07766114175319672
Qwen3,8B,Qwen3-8B-Base,64,1.0,pure_W_fallback,0.0,64.0,1.0,0.0,pure_W_fallback,0.0,64.0,0.12751084566116333,0.12751084566116333,0.12751084566116333
Qwen3,14B,Qwen3-14B-Base,1,1.0,pure_W_fallback,0.0,1.0,1.0,0.0,pure_W_fallback,0.0,1.0,0.00788204651325941,0.00788204651325941,0.00788204651325941
Qwen3,14B,Qwen3-14B-Base,2,1.0,pure_W_fallback,0.0,2.0,1.0,0.0,pure_W_fallback,0.0,2.0,0.01489404495805502,0.01489404495805502,0.01489404495805502
Qwen3,14B,Qwen3-14B-Base,4,1.0,pure_W_fallback,0.0,4.0,1.0,0.0,pure_W_fallback,0.0,4.0,0.02315603941679001,0.02315603941679001,0.02315603941679001
Qwen3,14B,Qwen3-14B-Base,8,1.0,pure_W_fallback,0.0,8.0,1.0,0.0,pure_W_fallback,0.0,8.0,0.0368153415620327,0.0368153415620327,0.0368153415620327
Qwen3,14B,Qwen3-14B-Base,16,1.0,pure_W_fallback,0.0,16.0,1.0,0.0,pure_W_fallback,0.0,16.0,0.06001419946551323,0.06001419946551323,0.06001419946551323
Qwen3,14B,Qwen3-14B-Base,32,1.0,pure_W_fallback,0.0,32.0,1.0,0.0,pure_W_fallback,0.0,32.0,0.09994225949048996,0.09994225949048996,0.09994225949048996
Qwen3,14B,Qwen3-14B-Base,64,1.0,pure_W_fallback,0.0,64.0,1.0,0.0,pure_W_fallback,0.0,64.0,0.16529059410095215,0.16529059410095215,0.16529059410095215
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,1,4.265433273817615,decomposed_hybrid,121.0,0.0,0.02044989775051125,0.9795501022494888,decomposed_hybrid,2.0,0.0,0.02217266336083412,0.09457601606845856,0.023697353899478912
