rank_w,n,same_budget_better_count,same_budget_gain_ratio_mean,same_budget_gain_ratio_median,match_hybrid_count,match_param_ratio_mean,match_param_ratio_median,match_param_saving_mean,match_param_saving_median
1,26,15,2.3224652591262016,1.8786175854940836,15,0.46549358788680695,0.11130146449295386,0.534506412113193,0.8886985355070461
2,26,17,1.8586079834683626,1.6493462904470726,17,0.4266762835737009,0.08711084068552885,0.5733237164262991,0.9128891593144711
4,26,17,1.5681406965527565,1.506363967669722,17,0.4137177885903933,0.08304485472513166,0.5862822114096067,0.9169551452748683
8,26,17,1.3786967040926685,1.3482874716602908,17,0.42376084882597015,0.1245258125322406,0.5762391511740298,0.8754741874677594
16,26,17,1.2510672732773653,1.221684901249279,17,0.47070668985596853,0.2775403845287515,0.5292933101440315,0.7224596154712485
32,26,17,1.164147894079232,1.1374413838736444,17,0.5562589318272496,0.47248864639095167,0.44374106817275044,0.5275113536090483
64,26,17,1.106235369797606,1.0818563859510806,17,0.6571251129721197,0.6530268705310935,0.34287488702788027,0.3469731294689064
