series,model_a,model_b,source_a,source_b,selected_a,selected_b
gemma2,Gemma-2-2B-Instruct,Gemma-2-27B-Instruct,Gemma-2-2B,Gemma-2-27B,Gemma-2-2B-Instruct,Gemma-2-27B-Instruct
gemma2,Gemma-2-9B-Instruct,Gemma-2-27B-Instruct,Gemma-2-9B,Gemma-2-27B,Gemma-2-9B-Instruct,Gemma-2-27B-Instruct
gemma3,Gemma-3-1B-Instruct,Gemma-3-4B-Instruct,Gemma-3-1B,Gemma-3-4B,Gemma-3-1B-Instruct,Gemma-3-4B-Instruct
gemma3,Gemma-3-1B-Instruct,Gemma-3-12B-Instruct,Gemma-3-1B,Gemma-3-12B,Gemma-3-1B-Instruct,Gemma-3-12B-Instruct
gemma3,Gemma-3-1B-Instruct,Gemma-3-27B-Instruct,Gemma-3-1B,Gemma-3-27B,Gemma-3-1B-Instruct,Gemma-3-27B-Instruct
gemma3,Gemma-3-4B-Instruct,Gemma-3-12B-Instruct,Gemma-3-4B,Gemma-3-12B,Gemma-3-4B-Instruct,Gemma-3-12B-Instruct
gemma3,Gemma-3-4B-Instruct,Gemma-3-27B-Instruct,Gemma-3-4B,Gemma-3-27B,Gemma-3-4B-Instruct,Gemma-3-27B-Instruct
gemma3,Gemma-3-12B-Instruct,Gemma-3-27B-Instruct,Gemma-3-12B,Gemma-3-27B,Gemma-3-12B-Instruct,Gemma-3-27B-Instruct
gemma4,Gemma-4-E2B-Instruct,Gemma-4-E4B-Instruct,Gemma-4-E2B,Gemma-4-E4B,Gemma-4-E2B-Instruct,Gemma-4-E4B-Instruct
gemma4,Gemma-4-E2B-Instruct,Gemma-4-26B-A4B-Instruct,Gemma-4-E2B,Gemma-4-26B-A4B,Gemma-4-E2B-Instruct,Gemma-4-26B-A4B-Instruct
gemma4,Gemma-4-E2B-Instruct,Gemma-4-31B-Instruct,Gemma-4-E2B,Gemma-4-31B,Gemma-4-E2B-Instruct,Gemma-4-31B-Instruct
gemma4,Gemma-4-E4B-Instruct,Gemma-4-26B-A4B-Instruct,Gemma-4-E4B,Gemma-4-26B-A4B,Gemma-4-E4B-Instruct,Gemma-4-26B-A4B-Instruct
gemma4,Gemma-4-E4B-Instruct,Gemma-4-31B-Instruct,Gemma-4-E4B,Gemma-4-31B,Gemma-4-E4B-Instruct,Gemma-4-31B-Instruct
gemma4,Gemma-4-26B-A4B-Instruct,Gemma-4-31B-Instruct,Gemma-4-26B-A4B,Gemma-4-31B,Gemma-4-26B-A4B-Instruct,Gemma-4-31B-Instruct
minimax_m2,MiniMax-M2.5-Chat,MiniMax-M2.7,MiniMax-M2.5-Chat,MiniMax-M2.7,MiniMax-M2.5-Chat,MiniMax-M2.7
