model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,tied,vocab_size,hidden_dim
Gemma-3-12B,base_instruct,gemma3,base,E,0.9645566940307617,0.12159886211156845,0.1260670967959613,True,262208,3840
Gemma-3-12B-Instruct,base_instruct,gemma3,instruct,E,0.9502406120300293,0.12568964064121246,0.13227138374216366,True,262208,3840
Gemma-3-1B,base_instruct,gemma3,base,E,1.046724796295166,0.25679904222488403,0.24533577797508224,True,262144,1152
Gemma-3-1B-Instruct,base_instruct,gemma3,instruct,E,0.947531521320343,0.2861494719982147,0.30199467306320127,True,262144,1152
Gemma-3-27B,base_instruct,gemma3,base,E,1.0307968854904175,0.10149392485618591,0.09846161381046337,True,262208,5376
Gemma-3-27B-Instruct,base_instruct,gemma3,instruct,E,1.0202463865280151,0.10337291657924652,0.10132152188358472,True,262208,5376
Gemma-3-4B,base_instruct,gemma3,base,E,0.9722772836685181,0.16187240183353424,0.16648789861958965,True,262208,2560
Gemma-3-4B-Instruct,base_instruct,gemma3,instruct,E,0.9982269406318665,0.1843581199645996,0.18468557845964664,True,262208,2560
Gemma-4-26B-A4B,base_instruct,gemma4,base,E,0.9999024271965027,0.2477291077375412,0.24775328171981426,True,262144,2816
Gemma-4-26B-A4B-Instruct,base_instruct,gemma4,instruct,E,1.5153628587722778,0.4525119662284851,0.2986162446894752,True,262144,2816
Gemma-4-31B,base_instruct,gemma4,base,E,0.9997997879981995,0.17352363467216492,0.17355838314348335,True,262144,5376
Gemma-4-31B-Instruct,base_instruct,gemma4,instruct,E,1.1182231903076172,0.22082537412643433,0.19747880033295181,True,262144,5376
Gemma-4-E2B,base_instruct,gemma4,base,E,0.9999984502792358,0.25048360228538513,0.25048399046562625,True,262144,1536
Gemma-4-E2B-Instruct,base_instruct,gemma4,instruct,E,1.193636178970337,0.46475455164909363,0.38936030914378245,True,262144,1536
Gemma-4-E4B,base_instruct,gemma4,base,E,0.9999985694885254,0.26543983817100525,0.26544021788628275,True,262144,2560
Gemma-4-E4B-Instruct,base_instruct,gemma4,instruct,E,1.2063524723052979,0.41841864585876465,0.34684609636450703,True,262144,2560
Llama-3.1-70B-Base,base_instruct,llama,base,E,0.8177502751350403,0.07707834243774414,0.0942565778104027,False,128256,8192
Llama-3.1-70B-Base,base_instruct,llama,base,U,0.9571791291236877,0.1209813728928566,0.12639365946436473,False,128256,8192
Llama-3.1-70B-Instruct,base_instruct,llama,instruct,E,0.8143834471702576,0.07675013691186905,0.09424324276058552,False,128256,8192
Llama-3.1-70B-Instruct,base_instruct,llama,instruct,U,0.9435045123100281,0.11987539380788803,0.12705333386736145,False,128256,8192
Llama-3.1-8B,base_instruct,llama,base,E,0.6741189956665039,0.08579066395759583,0.12726338303636478,False,128256,4096
Llama-3.1-8B,base_instruct,llama,base,U,0.916771411895752,0.22394604980945587,0.24427686869769152,False,128256,4096
Llama-3.1-8B-Instruct,base_instruct,llama,instruct,E,0.671326756477356,0.0854780450463295,0.12732703444572555,False,128256,4096
Llama-3.1-8B-Instruct,base_instruct,llama,instruct,U,0.9043439030647278,0.22527529299259186,0.2491035680443659,False,128256,4096
Llama-3.2-1B,base_instruct,llama,base,E,0.9870073199272156,0.35256633162498474,0.3572074132651659,True,128256,2048
Llama-3.2-1B-Instruct,base_instruct,llama,instruct,E,0.9297938346862793,0.3435479700565338,0.36948832874596327,True,128256,2048
Llama-3.2-3B,base_instruct,llama,base,E,1.1474523544311523,0.42601802945137024,0.37127295770164503,True,128256,3072
