model_a,model_b,matrix_kind,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,3584,152064,4,626176,0.3887304365634918,0.9986040546735593,0.0013959453264406666,0.46217183491235747,0.5378246576297078,0.4355343393981457,43,2,623104,decomposed_hybrid,1.1204019506381238,0.9950940310711366,230912,10,1,0.3898921050131321,decomposed_hybrid,0.3687653311529027,0.6312346688470973
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,3584,152064,8,1248768,0.41822680830955505,0.9986040546735593,0.0013959453264406666,0.46217183491235747,0.5378246576297078,0.4637162759900093,108,3,1244672,decomposed_hybrid,1.1087674600877921,0.996719967199672,417280,36,1,0.41838691011071205,decomposed_hybrid,0.33415334153341536,0.6658466584665846
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,3584,152064,16,2493952,0.4509658217430115,0.9986040546735593,0.0013959453264406666,0.46217183491235747,0.5378246576297078,0.4933883845806122,195,7,2490880,decomposed_hybrid,1.0940704612017709,0.9987682200780127,916992,84,2,0.45114387199282646,decomposed_hybrid,0.3676863067132006,0.6323136932867994
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,3584,152064,32,4984320,0.48726600408554077,0.9986040546735593,0.0013959453264406666,0.46217183491235747,0.5378246576297078,0.5256833285093307,304,18,4984320,decomposed_hybrid,1.0788426118417358,1.0,2163200,171,6,0.4873380586504936,decomposed_hybrid,0.4340010272213662,0.5659989727786339
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,3584,152064,64,9965056,0.5320753455162048,0.9986040546735593,0.0013959453264406666,0.46217183491235747,0.5378246576297078,0.5630510300397873,434,44,9963008,decomposed_hybrid,1.0582167258539872,0.9997944818373323,5664256,312,22,0.5321282222867012,decomposed_hybrid,0.5684118583979859,0.4315881416020141
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,1,144640,0.08102399855852127,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.17676673829555511,8,0,139264,decomposed_hybrid,2.181659032390035,0.9628318584070796,40960,2,0,0.10123936086893082,decomposed_hybrid,0.2831858407079646,0.7168141592920354
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,2,281088,0.11186464875936508,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.22407343983650208,16,0,270336,decomposed_hybrid,2.0030764170950217,0.9617486338797814,57344,3,0,0.1234307661652565,decomposed_hybrid,0.2040072859744991,0.7959927140255009
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,4,553984,0.1546747237443924,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.27737146615982056,33,0,548864,decomposed_hybrid,1.7932565802942086,0.9907578558225508,106496,6,0,0.1604164093732834,decomposed_hybrid,0.1922365988909427,0.8077634011090573
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,8,1099776,0.20243412256240845,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.32082133274525404,58,1,1094912,decomposed_hybrid,1.5848184519699635,0.9955772811918063,204800,12,0,0.2036658674478531,decomposed_hybrid,0.186219739292365,0.813780260707635
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,16,2191360,0.2652445137500763,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.36212478391826153,116,2,2181632,decomposed_hybrid,1.3652489124034044,0.9955607476635514,466944,28,0,0.2659127414226532,decomposed_hybrid,0.2130841121495327,0.7869158878504673
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,32,4374528,0.339315265417099,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.4085838794708252,183,10,4370944,decomposed_hybrid,1.2041423452274647,0.9991807116104869,1488128,82,1,0.33939414005726576,decomposed_hybrid,0.34018024344569286,0.6598197565543071
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,8192,128256,64,8740864,0.4127516448497772,0.9950256673885755,0.004974332611424567,0.4783828121684043,0.5216166012904332,0.4627363458275795,283,30,8738304,decomposed_hybrid,1.1211011551413548,0.9997071227741331,4638464,191,11,0.41294053941965103,decomposed_hybrid,0.5306642455482662,0.4693357544517338
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,1,267328,0.018168888986110687,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.07840780913829803,51,0,263680,decomposed_hybrid,4.315498278306249,0.9863538424706727,12800,2,0,0.025364605709910393,decomposed_hybrid,0.04788125448886761,0.9521187455111324
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,2,532096,0.030754972249269485,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.08426082879304886,103,0,529920,decomposed_hybrid,2.7397465395225735,0.9959105123887418,17920,3,0,0.03264305368065834,decomposed_hybrid,0.03367813326918451,0.9663218667308155
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,4,1061632,0.046388816088438034,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.09215002786368132,103,2,1059456,decomposed_hybrid,1.9864707839924551,0.9979503255365324,38400,7,0,0.048199594020843506,decomposed_hybrid,0.03617072582589824,0.9638292741741018
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,8,2120704,0.06461799889802933,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.10018487181514502,206,4,2116352,decomposed_hybrid,1.550417430493973,0.9979478512795751,94720,18,0,0.06488397717475891,decomposed_hybrid,0.04466441332689522,0.9553355866731048
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,16,4238848,0.08493389934301376,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.11029595695436001,258,11,4235968,decomposed_hybrid,1.2986093633699676,0.9993205701171639,574528,60,1,0.08505827514454722,decomposed_hybrid,0.13553871240487983,0.8644612875951202
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,32,8475136,0.10734844207763672,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.12474241107702255,361,25,8470080,decomposed_hybrid,1.1620328032968203,0.9994034314021627,3557952,229,9,0.10735402442514896,decomposed_hybrid,0.4198106083489398,0.5801893916510602
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,2560,262208,64,16947712,0.13497519493103027,0.9531679034284962,0.04683209657150381,0.1009840327263784,0.8990160085664437,0.1468222700059414,517,54,16947072,decomposed_hybrid,1.087772239047069,0.9999622367904293,12143936,458,37,0.1349821463227272,decomposed_hybrid,0.7165531252832241,0.2834468747167759
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,1,263168,0.08386193215847015,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.21806444227695465,36,0,261632,decomposed_hybrid,2.600279252627855,0.9941634241245136,17920,2,0,0.11844101548194885,decomposed_hybrid,0.06809338521400778,0.9319066147859922
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,2,522752,0.1268921047449112,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.23136429488658905,72,0,519680,decomposed_hybrid,1.8233151333701678,0.9941234084231146,25088,3,0,0.13676227629184723,decomposed_hybrid,0.047992164544564155,0.9520078354554359
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,4,1041920,0.16089174151420593,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.24822771828621626,108,1,1037312,decomposed_hybrid,1.5428244852722848,0.9955773955773956,46592,6,0,0.1657049059867859,decomposed_hybrid,0.04471744471744472,0.9552825552825552
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,8,2080256,0.19529302418231964,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.26276537775993347,181,3,2079744,decomposed_hybrid,1.3454929015519965,0.9997538764459759,111104,15,0,0.19597338140010834,decomposed_hybrid,0.053408811223234064,0.946591188776766
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,16,4156928,0.225343257188797,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.2768601309508085,253,9,4153344,decomposed_hybrid,1.2286151110297021,0.9991378248552777,376320,52,0,0.22565650939941406,decomposed_hybrid,0.09052839019583693,0.9094716098041631
