rank_w,n,mean_shift_over_raw_median,w_gain_centered_median,aff_gain_centered_median,w_gain_raw_median,aff_gain_raw_median,aff_over_w_centered_median,aff_over_w_raw_median,affine_wins_centered,affine_wins_raw
1,26,0.10052608216100259,0.061344780081448516,0.18316607794482923,0.14997019038974133,0.2690108289518894,2.8456930966382736,1.6926460333292852,24,24
2,26,0.10052608216100259,0.08220496640674033,0.21489249627652585,0.17595268234710829,0.3087134996284966,2.2793303790678285,1.6349082037152076,24,24
4,26,0.10052608216100259,0.11219231457071419,0.23835612972080572,0.21361252310176254,0.33764518738280247,1.8023686048489362,1.5334669618105143,22,22
8,26,0.10052608216100259,0.16133299315653862,0.2618575589788291,0.25727259077188297,0.3650559152811059,1.431012112891532,1.3055303136260628,20,20
16,26,0.10052608216100259,0.20780723459891948,0.27929003766730504,0.3150047955334443,0.39181883430294456,1.206637742652757,1.147825222945061,18,18
32,26,0.10052608216100259,0.25313288908160314,0.2950690719451012,0.35973505469568823,0.3952741919002828,1.005754516817251,1.0001798766284955,13,13
64,26,0.10052608216100259,0.3061498702238643,0.30373509012140304,0.40539297071480174,0.3972899987482782,0.8692146523669639,0.909524084348809,6,6
128,26,0.10052608216100259,0.38873096039006083,0.30513738874048946,0.4516581528788497,0.39758006458527617,0.7648569460631975,0.8215618755945086,1,1
