rank_w,n,same_budget_better_count,same_budget_gain_ratio_mean,same_budget_gain_ratio_median,match_hybrid_count,match_param_ratio_mean,match_param_ratio_median,match_param_saving_mean,match_param_saving_median
1,26,24,3.028122738804337,2.9349083833414844,24,0.12101740813951908,0.09267427702363223,0.8789825918604809,0.9073257229763678
2,26,26,2.2093561027390676,2.2851209906013756,26,0.1722651251771654,0.0698970965182314,0.8277348748228346,0.9301029034817686
4,26,26,1.7974927042523885,1.889863682143332,26,0.15236914330599444,0.07692235491883787,0.8476308566940055,0.9230776450811622
8,26,26,1.5330772758946773,1.5641115297577812,26,0.15940860671519466,0.11065355630666993,0.8405913932848054,0.88934644369333
16,26,26,1.3514860293753375,1.3537680086819126,26,0.22252347159310004,0.16830378867721896,0.7774765284069,0.831696211322781
32,26,26,1.2269948411681284,1.2101093698916299,26,0.34699753216463003,0.34082815183916393,0.65300246783537,0.6591718481608361
64,26,26,1.1448165437641868,1.1274852194467453,26,0.5067880889101672,0.5313875843497735,0.4932119110898328,0.4686124156502265
