rank_w,n,w_gain_median,affine_gain_median,affine_over_w_median,affine_wins,affine_wins_raw
1,30,0.051504876074974934,0.1666236941761371,2.8456930966382736,27,27
2,30,0.08020928339198269,0.19525873799513255,2.2793303790678285,26,26
4,30,0.11219231457071419,0.22056096972591438,1.8023686048489362,24,24
8,30,0.15867016756066832,0.24380453230424165,1.431012112891532,22,22
16,30,0.2027780008721269,0.2581915630317998,1.206637742652757,20,20
32,30,0.2490724171299697,0.2791039623767923,1.005754516817251,15,15
64,30,0.30456195136092584,0.2952034292369139,0.8550287003676955,7,7
128,30,0.3787002585854594,0.2986176318066269,0.7625632956205858,1,1
