family,size,model_a,matrix_kind,rank_w,same_budget_gain_over_w,same_budget_mode,same_budget_rank_affine,same_budget_rank_residual_w,match_param_ratio_over_w,match_param_saving,match_mode,match_rank_affine,match_rank_residual_w,baseline_w_gain,same_budget_hybrid_gain,match_hybrid_gain
Qwen2.5,1.5B,Qwen2.5-1.5B,lm_head,8,1.0599612117341977,decomposed_hybrid,149.0,5.0,0.3259058725531029,0.6740941274468971,decomposed_hybrid,30.0,2.0,0.65412837266922,0.6933507025241852,0.6542756706476212
Qwen2.5,1.5B,Qwen2.5-1.5B,lm_head,16,1.0466254345453847,decomposed_hybrid,249.0,11.0,0.37174411335694935,0.6282558866430507,decomposed_hybrid,97.0,4.0,0.6834786534309387,0.7153461426496506,0.6835259199142456
Qwen2.5,1.5B,Qwen2.5-1.5B,lm_head,32,1.0357383151051338,decomposed_hybrid,399.0,24.0,0.4840281396560709,0.5159718603439292,decomposed_hybrid,224.0,11.0,0.7142037153244019,0.7397281527519226,0.7142253965139389
Qwen2.5,1.5B,Qwen2.5-1.5B,lm_head,64,1.0266936755396399,decomposed_hybrid,649.0,51.0,0.6126804607286184,0.38731953927138163,decomposed_hybrid,460.0,30.0,0.7474909424781799,0.7674442231655121,0.7474927455186844
Qwen2.5,3B,Qwen2.5-3B,lm_head,1,1.0,pure_W_fallback,0.0,1.0,1.0,0.0,pure_W_fallback,0.0,1.0,0.5176088809967041,0.5176088809967041,0.5176088809967041
Qwen2.5,3B,Qwen2.5-3B,lm_head,2,1.0804806639198845,decomposed_hybrid,37.0,1.0,0.569364161849711,0.43063583815028905,decomposed_hybrid,5.0,1.0,0.5492799878120422,0.5934864059090614,0.5530237630009651
Qwen2.5,3B,Qwen2.5-3B,lm_head,4,1.081075193901079,decomposed_hybrid,75.0,2.0,0.3386495443247722,0.6613504556752279,decomposed_hybrid,13.0,1.0,0.5735723972320557,0.6200748905539513,0.5748030915856361
Qwen2.5,3B,Qwen2.5-3B,lm_head,8,1.0675214593178506,decomposed_hybrid,112.0,5.0,0.32894190871369294,0.6710580912863071,decomposed_hybrid,61.0,1.0,0.6014469265937805,0.6420575007796288,0.6014476791024208
Qwen2.5,3B,Qwen2.5-3B,lm_head,16,1.0524267174495565,decomposed_hybrid,225.0,10.0,0.3476432724252492,0.6523567275747508,decomposed_hybrid,96.0,3.0,0.6307701468467712,0.6638393551111221,0.6307849213480949
Qwen2.5,3B,Qwen2.5-3B,lm_head,32,1.039849672991996,decomposed_hybrid,338.0,23.0,0.47647486497714997,0.52352513502285,decomposed_hybrid,197.0,10.0,0.662178635597229,0.6885662376880646,0.662208154797554
Qwen2.5,3B,Qwen2.5-3B,lm_head,64,1.0296850124034314,decomposed_hybrid,563.0,49.0,0.6100664865987949,0.3899335134012051,decomposed_hybrid,415.0,28.0,0.6965086460113525,0.7171845138072968,0.6965347677469254
Qwen2.5,7B,Qwen2.5-7B,lm_head,1,1.1581913616300183,decomposed_hybrid,21.0,0.0,0.15755627009646303,0.842443729903537,decomposed_hybrid,3.0,0.0,0.31860554218292236,0.3690061867237091,0.32295116782188416
Qwen2.5,7B,Qwen2.5-7B,lm_head,2,1.1182425749120735,decomposed_hybrid,21.0,1.0,0.3983739837398374,0.6016260162601625,decomposed_hybrid,17.0,0.0,0.3639683425426483,0.4070048965513706,0.3644997179508209
Qwen2.5,7B,Qwen2.5-7B,lm_head,4,1.1204019506381238,decomposed_hybrid,43.0,2.0,0.3687653311529027,0.6312346688470973,decomposed_hybrid,10.0,1.0,0.3887304365634918,0.4355343393981457,0.3898921050131321
Qwen2.5,7B,Qwen2.5-7B,lm_head,8,1.1087674600877921,decomposed_hybrid,108.0,3.0,0.33415334153341536,0.6658466584665846,decomposed_hybrid,36.0,1.0,0.41822680830955505,0.4637162759900093,0.41838691011071205
Qwen2.5,7B,Qwen2.5-7B,lm_head,16,1.0940704612017709,decomposed_hybrid,195.0,7.0,0.3676863067132006,0.6323136932867994,decomposed_hybrid,84.0,2.0,0.4509658217430115,0.4933883845806122,0.45114387199282646
Qwen2.5,7B,Qwen2.5-7B,lm_head,32,1.0788426118417358,decomposed_hybrid,304.0,18.0,0.4340010272213662,0.5659989727786339,decomposed_hybrid,171.0,6.0,0.48726600408554077,0.5256833285093307,0.4873380586504936
Qwen2.5,7B,Qwen2.5-7B,lm_head,64,1.0582167258539872,decomposed_hybrid,434.0,44.0,0.5684118583979859,0.4315881416020141,decomposed_hybrid,312.0,22.0,0.5320753455162048,0.5630510300397873,0.5321282222867012
Qwen2.5,14B,Qwen2.5-14B,lm_head,1,1.180735106429181,decomposed_hybrid,15.0,0.0,0.22082018927444794,0.7791798107255521,decomposed_hybrid,3.0,0.0,0.3190900385379791,0.3767608106136322,0.3217822313308716
Qwen2.5,14B,Qwen2.5-14B,lm_head,2,1.1816823376566834,decomposed_hybrid,15.0,1.0,0.2724358974358974,0.7275641025641026,decomposed_hybrid,8.0,0.0,0.3518429696559906,0.4157666228711605,0.3560733199119568
Qwen2.5,14B,Qwen2.5-14B,lm_head,4,1.1606777937300539,decomposed_hybrid,46.0,1.0,0.3691437802907916,0.6308562197092085,decomposed_hybrid,7.0,1.0,0.3894403278827667,0.4520147405564785,0.3902030251920223
Qwen2.5,14B,Qwen2.5-14B,lm_head,8,1.1254976380607888,decomposed_hybrid,76.0,3.0,0.3150851581508516,0.6849148418491484,decomposed_hybrid,23.0,1.0,0.42935627698898315,0.48323947563767433,0.429830189794302
Qwen2.5,14B,Qwen2.5-14B,lm_head,16,1.0947522742574938,decomposed_hybrid,107.0,9.0,0.3827712312068265,0.6172287687931735,decomposed_hybrid,63.0,2.0,0.471757709980011,0.5164578258991241,0.4719921685755253
Qwen2.5,14B,Qwen2.5-14B,lm_head,32,1.0632112928185866,decomposed_hybrid,184.0,20.0,0.5362009355297946,0.46379906447020536,decomposed_hybrid,125.0,9.0,0.5198909044265747,0.5527538806200027,0.5199890732765198
Qwen2.5,14B,Qwen2.5-14B,lm_head,64,1.036050780303006,decomposed_hybrid,276.0,46.0,0.7159426187811578,0.28405738121884216,decomposed_hybrid,212.0,32.0,0.5735979676246643,0.5942766219377518,0.5736172273755074
Qwen2.5,32B,Qwen2.5-32B,lm_head,1,1.0882538107939672,decomposed_hybrid,15.0,0.0,0.28391167192429023,0.7160883280757098,decomposed_hybrid,4.0,0.0,0.3846670389175415,0.4186153709888458,0.38765865564346313
Qwen2.5,32B,Qwen2.5-32B,lm_head,2,1.1027073113549906,decomposed_hybrid,15.0,1.0,0.4326923076923077,0.5673076923076923,decomposed_hybrid,13.0,0.0,0.4138975143432617,0.4564078152179718,0.41555255651474
Qwen2.5,32B,Qwen2.5-32B,lm_head,4,1.0904310243310065,decomposed_hybrid,30.0,2.0,0.401453957996769,0.598546042003231,decomposed_hybrid,9.0,1.0,0.4426300823688507,0.4826575741171837,0.4449484348297119
Qwen2.5,32B,Qwen2.5-32B,lm_head,8,1.080076704663227,decomposed_hybrid,76.0,3.0,0.3799675587996756,0.6200324412003244,decomposed_hybrid,31.0,1.0,0.4723128378391266,0.5101340934634209,0.47280487418174744
Qwen2.5,32B,Qwen2.5-32B,lm_head,16,1.067960773518391,decomposed_hybrid,122.0,8.0,0.42482730597318163,0.5751726940268184,decomposed_hybrid,58.0,3.0,0.5036322474479675,0.5378594845533371,0.504009060561657
Qwen2.5,32B,Qwen2.5-32B,lm_head,32,1.0508255584684525,decomposed_hybrid,199.0,19.0,0.540268456375839,0.459731543624161,decomposed_hybrid,127.0,9.0,0.5411148071289062,0.5686172693967819,0.5411449670791626
Qwen2.5,32B,Qwen2.5-32B,lm_head,64,1.0332121912393186,decomposed_hybrid,291.0,45.0,0.7091260555499034,0.2908739444500966,decomposed_hybrid,236.0,30.0,0.5865811109542847,0.6060627549886703,0.5866069570183754
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,1,1.0807341592157709,decomposed_hybrid,9.0,0.0,0.3404255319148936,0.6595744680851063,decomposed_hybrid,3.0,0.0,0.3458186984062195,0.3737380802631378,0.35174500942230225
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,2,1.052880129401888,decomposed_hybrid,9.0,1.0,0.7118380062305296,0.2881619937694704,decomposed_hybrid,4.0,1.0,0.3838179111480713,0.40411425195634365,0.38797024451196194
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,4,1.0598919212390707,decomposed_hybrid,19.0,2.0,0.4865930599369085,0.5134069400630915,decomposed_hybrid,9.0,1.0,0.40301981568336487,0.4271574467420578,0.40411425195634365
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,8,1.0494535001716694,decomposed_hybrid,39.0,4.0,0.48333333333333334,0.5166666666666666,decomposed_hybrid,18.0,2.0,0.425934761762619,0.4469987265765667,0.42626212537288666
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,16,1.039792519642973,decomposed_hybrid,88.0,7.0,0.570859872611465,0.429140127388535,decomposed_hybrid,50.0,4.0,0.45101431012153625,0.46896130591630936,0.45103610679507256
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,32,1.0342272598094036,decomposed_hybrid,156.0,16.0,0.6460326953748007,0.3539673046251993,decomposed_hybrid,114.0,9.0,0.477771520614624,0.4941243305802345,0.47778037562966347
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,64,1.0271397241855988,decomposed_hybrid,264.0,37.0,0.7367817238627294,0.26321827613727056,decomposed_hybrid,197.0,27.0,0.5101701021194458,0.5240159779787064,0.5101702660322189
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,1,6.001783477034198,decomposed_hybrid,74.0,0.0,0.03325020781379884,0.9667497921862012,decomposed_hybrid,2.0,0.0,0.03635311871767044,0.21818354725837708,0.0450565405189991
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,2,4.011170620122497,decomposed_hybrid,149.0,0.0,0.030025020850708923,0.9699749791492911,decomposed_hybrid,4.0,0.0,0.061082031577825546,0.24501045048236847,0.07389568537473679
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,4,2.6983094879785474,decomposed_hybrid,224.0,1.0,0.028404344193817876,0.9715956558061821,decomposed_hybrid,8.0,0.0,0.10595373064279556,0.28589595668017864,0.1112007200717926
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,8,1.9866744806094276,decomposed_hybrid,448.0,2.0,0.039297658862876256,0.9607023411371237,decomposed_hybrid,23.0,0.0,0.1643640249967575,0.3265378139913082,0.16623511910438538
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,16,1.6001636910362182,decomposed_hybrid,672.0,7.0,0.08155583437892096,0.918444165621079,decomposed_hybrid,97.0,0.0,0.22846360504627228,0.36557916551828384,0.2286185771226883
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,32,1.3925154597779976,decomposed_hybrid,896.0,20.0,0.14092240117130309,0.8590775988286969,decomposed_hybrid,187.0,2.0,0.29376721382141113,0.40907538682222366,0.2939118407666683
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,64,1.2476366753532413,decomposed_hybrid,970.0,51.0,0.2736115469093191,0.7263884530906809,decomposed_hybrid,710.0,8.0,0.37092047929763794,0.46277399361133575,0.3709278628230095
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,1,4.180041207193779,decomposed_hybrid,37.0,0.0,0.06562756357670221,0.9343724364232978,decomposed_hybrid,2.0,0.0,0.040746837854385376,0.1703234612941742,0.05575612187385559
