family,size,model_a,matrix_kind,stable_small_budget_gain,stable_small_budget_param_saving,stable_small_budget_both,min_gain_ratio_1_2_4_8,median_gain_ratio_1_2_4_8,max_match_param_ratio_1_2_4_8,median_match_param_ratio_1_2_4_8,gain_ratio_r1,gain_ratio_r2,gain_ratio_r4,gain_ratio_r8,match_param_ratio_r1,match_param_ratio_r2,match_param_ratio_r4,match_param_ratio_r8
Qwen2.5,0.5B,Qwen2.5-0.5B,lm_head,True,True,True,1.4529503403159865,1.4666536598602287,0.07835547651427974,0.043145936569888924,1.5778156129877643,1.4529503403159865,1.4699034500671595,1.4634038696532976,0.029142381348875937,0.037995824634655534,0.048296048505122306,0.07835547651427974
Qwen2.5,1.5B,Qwen2.5-1.5B,lm_head,False,False,False,1.0,1.0660737725980036,1.0,0.43951462293135235,1.0,1.0724589967839353,1.0721863334618096,1.0599612117341977,1.0,0.5522821576763486,0.32674708818635606,0.3259058725531029
Qwen2.5,3B,Qwen2.5-3B,lm_head,False,False,False,1.0,1.0740010616188675,1.0,0.45400685308724154,1.0,1.0804806639198845,1.081075193901079,1.0675214593178506,1.0,0.569364161849711,0.3386495443247722,0.32894190871369294
Qwen2.5,7B,Qwen2.5-7B,lm_head,True,True,True,1.1087674600877921,1.1193222627750985,0.3983739837398374,0.35145933634315907,1.1581913616300183,1.1182425749120735,1.1204019506381238,1.1087674600877921,0.15755627009646303,0.3983739837398374,0.3687653311529027,0.33415334153341536
Qwen2.5,14B,Qwen2.5-14B,lm_head,True,True,True,1.1254976380607888,1.1707064500796174,0.3691437802907916,0.29376052779337447,1.180735106429181,1.1816823376566834,1.1606777937300539,1.1254976380607888,0.22082018927444794,0.2724358974358974,0.3691437802907916,0.3150851581508516
Qwen2.5,32B,Qwen2.5-32B,lm_head,True,True,True,1.080076704663227,1.0893424175624868,0.4326923076923077,0.3907107583982223,1.0882538107939672,1.1027073113549906,1.0904310243310065,1.080076704663227,0.28391167192429023,0.4326923076923077,0.401453957996769,0.3799675587996756
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,True,True,True,1.0494535001716694,1.0563860253204793,0.7118380062305296,0.4849631966351209,1.0807341592157709,1.052880129401888,1.0598919212390707,1.0494535001716694,0.3404255319148936,0.7118380062305296,0.4865930599369085,0.48333333333333334
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,True,True,True,1.9866744806094276,3.3547400540505223,0.039297658862876256,0.03163761433225388,6.001783477034198,4.011170620122497,2.6983094879785474,1.9866744806094276,0.03325020781379884,0.030025020850708923,0.028404344193817876,0.039297658862876256
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,True,True,True,1.6612653690447516,2.4312824293345425,0.07800829875518672,0.05766879421585732,4.180041207193779,2.79405697853635,2.068507880132735,1.6612653690447516,0.06562756357670221,0.046242774566473986,0.04971002485501243,0.07800829875518672
Qwen3,4B,Qwen3-4B-Base,lm_head,True,True,True,1.8374415316284194,2.9541194951264,0.08149959250203749,0.06286424610969785,4.989307639485412,3.5158636189247097,2.3923753713280904,1.8374415316284194,0.08149959250203749,0.05751848808545604,0.05363036303630363,0.06821000413393964
