model_a,model_b,series,hidden_dim,actual_tied,gcorr_E_cos,gcorr_E_euc,gcorr_U_cos,E_R2,A_minus_I_rel,identity_cosine,E_delta_rank95,A_delta_rank95,E_delta_rank95_over_h,A_delta_rank95_over_h,E_delta_effective_rank,A_delta_effective_rank,E_delta_energy_5pct_h,A_delta_energy_5pct_h
Qwen3-0.6B-Base,Qwen3-0.6B,Qwen3,1024,True,0.989602742155382,0.9941811807515396,0.9895873459258249,0.9876894506828213,0.07291886955499649,0.9982119202613831,849,620,0.8291015625,0.60546875,358.93301939993523,136.4174931330087,0.41843727231025696,0.6687540411949158
Qwen3-1.7B-Base,Qwen3-1.7B,Qwen3,2048,True,0.9947217369919181,0.9983066092840538,0.9947305316595347,0.9938152314061097,0.05851603119637335,0.9986376762390137,1691,1060,0.82568359375,0.517578125,710.0533031767818,50.90342500098073,0.4067821204662323,0.775377631187439
Qwen3-4B-Base,Qwen3-4B,Qwen3,2560,True,0.9972287933955417,0.9974344658572731,0.9972289681796072,0.9901264236933547,0.06448034292855058,0.9984342455863953,2109,1320,0.823828125,0.515625,886.8474617231104,165.49280619051638,0.40416908264160156,0.7165668606758118
Qwen3-8B-Base,Qwen3-8B,Qwen3,4096,False,0.9940134077706431,0.9999576787927541,0.998338588907448,0.9956756144661487,0.025052404031157494,0.9997735619544983,2971,2287,0.725341796875,0.558349609375,2197.406484885284,1714.1603338597447,0.28411728143692017,0.3427428603172302
Qwen3-14B-Base,Qwen3-14B,Qwen3,5120,False,0.993438959771175,0.9999542850646249,0.9973446966187213,0.9955615155647812,0.0378302758138912,0.9993573427200317,2860,2031,0.55859375,0.3966796875,1857.0010738954843,1451.6229269597695,0.40855878591537476,0.45386937260627747
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,Qwen3,2048,False,0.986566049310611,0.999824467865066,0.9978858671316629,0.9921235164246368,0.01943287925058472,0.9999443888664246,1778,1555,0.8681640625,0.75927734375,1727.2537627490526,1516.4266203845154,0.1310274600982666,0.15601228177547455
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,Qwen3.5,1024,True,0.9994655435143891,0.9988445257353163,0.9994654861483402,0.9978601039448638,0.017749600112438202,0.9998884797096252,872,485,0.8515625,0.4736328125,641.3010921726988,122.80103839334679,0.2723273038864136,0.6928040385246277
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,Qwen3.5,2048,True,0.9995466729381094,0.998513586028977,0.9995466411623768,0.9965920500316764,0.021989225224206134,0.9998252391815186,1738,949,0.8486328125,0.46337890625,1207.4278993185148,265.4287682498624,0.2732696533203125,0.6698179841041565
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,Qwen3.5,2560,True,0.9996167128093348,0.9986087355845206,0.999616694012059,0.9971758936229157,0.020147343482795184,0.9998533725738525,2172,1176,0.8484375,0.459375,1520.0079618688167,345.57002274541435,0.2739056944847107,0.6483452320098877
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,Qwen3.5,4096,False,0.9984136182902994,0.999980284179076,0.9995285076503331,0.99859045379887,0.006728323642164469,0.9999858140945435,3586,2558,0.87548828125,0.62451171875,3231.9627013496183,2425.0599543014855,0.18647752702236176,0.2058858722448349
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,Qwen3.5,2048,False,0.9986758318014459,0.9999525800135786,0.9995838782788443,0.9987133610282297,0.00542984467738153,0.9999927282333374,1814,1364,0.8857421875,0.666015625,1693.0357328791813,1323.3510564703117,0.18222060799598694,0.18309935927391052
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,Qwen2.5,896,True,0.9980068702339273,0.9963720842850516,0.9980069120712726,0.9902607098733518,0.05646374614653687,0.9989098906517029,798,583,0.890625,0.6506696428571429,276.479344857125,98.81654562866044,0.36254245042800903,0.6658024787902832
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,Qwen2.5,1536,True,0.9996698821311473,0.9998633215251267,0.9996699740848258,0.9996813415065288,0.018933525417450473,0.9998307228088379,887,98,0.5774739583333334,0.06380208333333333,21.160559410460927,6.827455671334166,0.7910254597663879,0.9448009133338928
Qwen2.5-3B,Qwen2.5-3B-Instruct,Qwen2.5,2048,True,0.9996624903142762,0.9998918702158386,0.999662492709564,0.9997321531880566,0.017851907499003557,0.9998486042022705,1290,120,0.6298828125,0.05859375,35.849093649705694,6.2115837548412385,0.7550369501113892,0.946907103061676
Qwen2.5-7B,Qwen2.5-7B-Instruct,Qwen2.5,3584,False,0.999673037779141,0.9999956995201613,0.9998308740958355,0.9997231554449361,0.006701234082393903,0.9999781847000122,1761,1146,0.49135044642857145,0.3197544642857143,1166.8501491726727,843.1597072651052,0.40730199217796326,0.48527228832244873
Qwen2.5-14B,Qwen2.5-14B-Instruct,Qwen2.5,5120,False,0.9998070599536659,0.9999987433375468,0.9991420720812365,0.9998389456857062,0.0075125333983222355,0.999972403049469,2637,1567,0.5150390625,0.3060546875,1823.4781958255207,1201.6749714223079,0.3897538483142853,0.4830276072025299
Qwen2.5-32B,Qwen2.5-32B-Instruct,Qwen2.5,5120,False,0.9998459028997402,0.9999990515298396,0.9997075853501659,0.9998761118536126,0.007222882556841658,0.9999746084213257,2450,1562,0.478515625,0.305078125,1648.701774682012,1151.626037295315,0.4331914782524109,0.5051650404930115
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,Qwen2.5,8192,False,0.9997488564888981,0.9999955833983352,0.9998942733043406,0.9996872170493445,0.008752936326553003,0.9999623894691467,6405,3834,0.7818603515625,0.468017578125,4286.868395321972,3017.3279157828906,0.34103211760520935,0.37028324604034424
Llama-3.2-1B,Llama-3.2-1B-Instruct,Llama-3.2,2048,True,0.9814589202571341,0.970031128023914,0.9814611838942162,0.9753091845405636,0.11137755690282813,0.9960187077522278,1674,1309,0.8173828125,0.63916015625,420.2988617973984,384.99482944122354,0.49393826723098755,0.607408344745636
Llama-3.2-3B,Llama-3.2-3B-Instruct,Llama-3.2,3072,True,0.9863011898730909,0.9852069860425362,0.9863015613752288,0.9795068249326268,0.09923525209386531,0.996907114982605,2506,1945,0.8157552083333334,0.6331380208333334,694.0499195394286,620.6510245157746,0.4747985601425171,0.5818513035774231
Llama-3.1-8B,Llama-3.1-8B-Instruct,Llama-3.1,4096,False,0.9977256757940257,0.9999277225984048,0.9991734384270203,0.9984405304987342,0.00943620316684246,0.9999679327011108,3647,2489,0.890380859375,0.607666015625,3558.89394424934,2379.1894750887855,0.14328151941299438,0.2007552832365036
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,Llama-3.1,8192,False,0.9986162303743085,0.9999516434316114,0.9977741221769036,0.998559589191473,0.013432947409893979,0.9999215006828308,7011,4577,0.8558349609375,0.5587158203125,6317.974504146711,4146.899692442001,0.1912163645029068,0.25083088874816895
Gemma-2-2B,Gemma-2-2B-Instruct,Gemma-2,2304,True,0.9997445760900497,0.9992479468210079,0.9997446294573402,0.9993343784311904,0.05434300502141317,0.9985407590866089,1561,29,0.6775173611111112,0.012586805555555556,113.28114114393014,8.324171514891956,0.6888808608055115,0.9777856469154358
Gemma-2-9B,Gemma-2-9B-Instruct,Gemma-2,3584,True,0.9985101925184453,0.9960486492944828,0.9985098660804189,0.9911235620291692,0.05105314167415646,0.998698353767395,3123,941,0.8713727678571429,0.26255580357142855,544.4780207812272,90.43152147543216,0.46468037366867065,0.843457043170929
Gemma-2-27B,Gemma-2-27B-Instruct,Gemma-2,4608,True,0.9981624962631662,0.9820383003016147,0.998162393641493,0.9976057471139504,0.09913807697289077,0.9950746297836304,3676,43,0.7977430555555556,0.009331597222222222,404.6575959398745,10.347564961495625,0.5699486136436462,0.9843341708183289
Gemma-3-4B,Gemma-3-4B-Instruct,Gemma-3,2560,True,0.9791577562059511,0.8940217290409812,0.9791765473812724,0.9578971652648591,0.05289181983255705,0.9986153841018677,2329,1085,0.909765625,0.423828125,1700.9341781265343,242.72683704649623,0.21285511553287506,0.7054887413978577
Gemma-3-12B,Gemma-3-12B-Instruct,Gemma-3,3840,True,0.9883863310411382,0.9461472136682891,0.9883964500951045,0.9672602427168877,0.05031762104884014,0.9991525411605835,3473,2272,0.9044270833333333,0.5916666666666667,2685.651227064626,1089.8916230333832,0.20275670289993286,0.44884470105171204
Gemma-3-27B,Gemma-3-27B-Instruct,Gemma-3,5376,True,0.9898735731863937,0.9528294643306394,0.9898861022975582,0.9707730427305877,0.04499424056070478,0.9992287755012512,4815,3004,0.8956473214285714,0.5587797619047619,3944.328744223024,1622.136715500689,0.20068538188934326,0.42282330989837646
