model,info_exists,matrix_exists,info_has_embed,info_has_lm_head,reason,info_path,matrix_path
Gemma-4-E2B-Instruct,False,False,False,False,missing info and matrix files,/commondocument/wz/cross_encoder_workspace/get_useful/extracts/Gemma-4-E2B-Instruct.info.json,/commondocument/wz/cross_encoder_workspace/get_useful/extracts/Gemma-4-E2B-Instruct.safetensors
Gemma-4-E4B-Instruct,False,False,False,False,missing info and matrix files,/commondocument/wz/cross_encoder_workspace/get_useful/extracts/Gemma-4-E4B-Instruct.info.json,/commondocument/wz/cross_encoder_workspace/get_useful/extracts/Gemma-4-E4B-Instruct.safetensors
