model,matrix,mean,var,min,max,role,tied,vocab_size,hidden_dim
DeepSeek-V3,E,3.157227039337158,0.20514065027236938,0.49316585063934326,4.658169269561768,base,False,129280,7168
DeepSeek-V3,U,6.672220230102539,0.9241209626197815,1.094524621963501,10.52098560333252,base,False,129280,7168
DeepSeek-V3-Base,E,3.157236337661743,0.20514504611492157,0.49316585063934326,4.658177852630615,base,False,129280,7168
DeepSeek-V3-Base,U,6.672492980957031,0.9240091443061829,1.0977725982666016,10.521657943725586,base,False,129280,7168
DeepSeek-V3.1,E,3.155203104019165,0.20416206121444702,0.49316585063934326,4.655545711517334,base,False,129280,7168
DeepSeek-V3.1,U,6.668074131011963,0.9219340085983276,1.0931994915008545,10.499757766723633,base,False,129280,7168
DeepSeek-V3.1-Base,E,3.1552066802978516,0.2041652500629425,0.49316585063934326,4.656125068664551,base,False,129280,7168
DeepSeek-V3.1-Base,U,6.669332981109619,0.9218738079071045,1.0977718830108643,10.500714302062988,base,False,129280,7168
Gemma-2-27B,E,0.9992180466651917,2.2811996132077184e-06,0.967780590057373,1.0089586973190308,base,True,256000,4608
Gemma-2-27B,U,0.9992180466651917,2.2811996132077184e-06,0.967780590057373,1.0089586973190308,base,True,256000,4608
Gemma-2-27B-Instruct,E,0.9936171770095825,1.46364809552324e-05,0.974103569984436,1.0130709409713745,instruct,True,256000,4608
Gemma-2-27B-Instruct,U,0.9936171770095825,1.46364809552324e-05,0.974103569984436,1.0130709409713745,instruct,True,256000,4608
Gemma-2-2B,E,1.7797690629959106,0.0638558566570282,1.0731253623962402,4.871137619018555,base,True,256000,2304
Gemma-2-2B,U,1.7797690629959106,0.0638558566570282,1.0731253623962402,4.871137619018555,base,True,256000,2304
Gemma-2-2B-Instruct,E,1.7720335721969604,0.06352157890796661,1.0645421743392944,4.863351821899414,instruct,True,256000,2304
Gemma-2-2B-Instruct,U,1.7720335721969604,0.06352157890796661,1.0645421743392944,4.863351821899414,instruct,True,256000,2304
Gemma-2-9B,E,1.722504734992981,0.045349303632974625,1.0138236284255981,4.256280899047852,base,True,256000,3584
Gemma-2-9B,U,1.722504734992981,0.045349303632974625,1.0138236284255981,4.256280899047852,base,True,256000,3584
Gemma-2-9B-Instruct,E,1.7215255498886108,0.04559020698070526,1.0204237699508667,4.276258945465088,instruct,True,256000,3584
Gemma-2-9B-Instruct,U,1.7215255498886108,0.04559020698070526,1.0204237699508667,4.276258945465088,instruct,True,256000,3584
Gemma-3-12B,E,0.9645566940307617,0.00022783130407333374,0.004741297569125891,0.9674243927001953,base,True,262208,3840
Gemma-3-12B,U,0.9645566940307617,0.00022783130407333374,0.004741297569125891,0.9674243927001953,base,True,262208,3840
Gemma-3-12B-Instruct,E,0.9502406120300293,0.00033562071621418,0.0047323317267000675,1.0044832229614258,instruct,True,262208,3840
Gemma-3-12B-Instruct,U,0.9502406120300293,0.00033562071621418,0.0047323317267000675,1.0044832229614258,instruct,True,262208,3840
Gemma-3-1B,E,1.046724796295166,2.0126249111740435e-08,1.0449693202972412,1.0481470823287964,base,True,262144,1152
Gemma-3-1B,U,1.046724796295166,2.0126249111740435e-08,1.0449693202972412,1.0481470823287964,base,True,262144,1152
Gemma-3-1B-Instruct,E,0.947531521320343,0.0007429362740367651,0.7278562188148499,1.1100610494613647,instruct,True,262144,1152
Gemma-3-1B-Instruct,U,0.947531521320343,0.0007429362740367651,0.7278562188148499,1.1100610494613647,instruct,True,262144,1152
Gemma-3-27B,E,1.0307968854904175,0.000260220724157989,0.005096373613923788,1.0320360660552979,base,True,262208,5376
Gemma-3-27B,U,1.0307968854904175,0.000260220724157989,0.005096373613923788,1.0320360660552979,base,True,262208,5376
Gemma-3-27B-Instruct,E,1.0202463865280151,0.0003491851093713194,0.005080182570964098,1.0795257091522217,instruct,True,262208,5376
Gemma-3-27B-Instruct,U,1.0202463865280151,0.0003491851093713194,0.005080182570964098,1.0795257091522217,instruct,True,262208,5376
Gemma-3-4B,E,0.9722772836685181,0.00023127188615035266,0.005096142645925283,0.9748662710189819,base,True,262208,2560
Gemma-3-4B,U,0.9722772836685181,0.00023127188615035266,0.005096142645925283,0.9748662710189819,base,True,262208,2560
Gemma-3-4B-Instruct,E,0.9982269406318665,0.00048541283467784524,0.00560167757794261,1.0844591856002808,instruct,True,262208,2560
Gemma-3-4B-Instruct,U,0.9982269406318665,0.00048541283467784524,0.00560167757794261,1.0844591856002808,instruct,True,262208,2560
Gemma-4-26B-A4B,E,0.9999024271965027,3.7517500217632005e-09,0.9987017512321472,1.0010464191436768,base,True,262144,2816
Gemma-4-26B-A4B,U,0.9999024271965027,3.7517500217632005e-09,0.9987017512321472,1.0010464191436768,base,True,262144,2816
Gemma-4-26B-A4B-Instruct,E,1.5153628587722778,0.0345567986369133,0.9981152415275574,6.022451877593994,instruct,True,262144,2816
Gemma-4-26B-A4B-Instruct,U,1.5153628587722778,0.0345567986369133,0.9981152415275574,6.022451877593994,instruct,True,262144,2816
Gemma-4-31B,E,0.9997997879981995,5.6082637200916e-08,0.9980823397636414,1.0017658472061157,base,True,262144,5376
Gemma-4-31B,U,0.9997997879981995,5.6082637200916e-08,0.9980823397636414,1.0017658472061157,base,True,262144,5376
Gemma-4-31B-Instruct,E,1.1182231903076172,0.006929317489266396,0.5022780299186707,6.815074920654297,instruct,True,262144,5376
Gemma-4-31B-Instruct,U,1.1182231903076172,0.006929317489266396,0.5022780299186707,6.815074920654297,instruct,True,262144,5376
Gemma-4-E2B,E,0.9999984502792358,6.2691820623683725e-09,0.9988951086997986,1.0008153915405273,base,True,262144,1536
Gemma-4-E2B,U,0.9999984502792358,6.2691820623683725e-09,0.9988951086997986,1.0008153915405273,base,True,262144,1536
Gemma-4-E2B-Instruct,E,1.193636178970337,0.0059604886919260025,0.8757172226905823,2.009485960006714,instruct,True,262144,1536
Gemma-4-E2B-Instruct,U,1.193636178970337,0.0059604886919260025,0.8757172226905823,2.009485960006714,instruct,True,262144,1536
Gemma-4-E4B,E,0.9999985694885254,3.827091976660313e-09,0.9991270303726196,1.0005927085876465,base,True,262144,2560
Gemma-4-E4B,U,0.9999985694885254,3.827091976660313e-09,0.9991270303726196,1.0005927085876465,base,True,262144,2560
Gemma-4-E4B-Instruct,E,1.2063524723052979,0.006973818875849247,0.8798456192016602,1.7347546815872192,instruct,True,262144,2560
Gemma-4-E4B-Instruct,U,1.2063524723052979,0.006973818875849247,0.8798456192016602,1.7347546815872192,instruct,True,262144,2560
Llama-3.1-70B-Base,E,0.8177502751350403,0.014332074671983719,2.491706982254982e-05,1.1082264184951782,base,False,128256,8192
Llama-3.1-70B-Base,U,0.9571791291236877,0.02163834497332573,0.3590087592601776,1.8337916135787964,base,False,128256,8192
