subset,model,model_group,role,matrix,tied,vocab_size,hidden_dim,mean,var,min,max,mean_vec_norm,mu_over_row_norm,sigma1,sigma1_centered,sigma1_over_mean_row,sigma1_c_over_mean_row,sigma1_over_mean_sqrt_n,sigma1_c_over_mean_sqrt_n,cos_v1_mu,cos_v1_v1_centered,rank1_energy_frac,rank5_energy_frac,rank10_energy_frac,participation_ratio,effective_rank,isotropy_pr_over_d,sigma_ratio,rank1_centered_energy_frac,rank5_centered_energy_frac,participation_ratio_centered,effective_rank_centered,isotropy_pr_over_d_centered,sigma_ratio_centered
base_instruct,DeepSeek-V3,deepseek_v3_moe,base,E,False,129280,7168,3.157227039337158,0.20514065027236938,0.49316585063934326,4.658169269561768,0.24874721467494965,0.07878660976094158,105.24723052978516,98.53486633300781,33.33533800973693,31.209306491209656,0.09271269199348392,0.0867997444395073,0.6771459579467773,0.859865128993988,0.008422126062214375,0.030581478029489517,0.05088045820593834,1330.31005859375,3784.88037109375,0.18559013094220841,22.02331651712557,0.007427471224218607,0.02890126220881939,1397.2135009765625,3838.940185546875,0.1949237585067749,20.692380144612187
base_instruct,DeepSeek-V3,deepseek_v3_moe,base,U,False,129280,7168,6.672220230102539,0.9241209626197815,1.094524621963501,10.52098560333252,0.5329777598381042,0.07988012107776506,256.23529052734375,235.0500946044922,38.40330230277874,35.22816791089043,0.10680778268665515,0.09797705606174212,0.7973135113716125,0.7493739128112793,0.011175662279129028,0.02840595319867134,0.03771703690290451,2103.1201171875,4920.38720703125,0.29340403420584543,90.10455135299283,0.009463475085794926,0.024104513227939606,2467.43505859375,5012.564453125,0.34422922134399414,97.35088655648964
base_instruct,DeepSeek-V3-Base,deepseek_v3_moe,base,E,False,129280,7168,3.157236337661743,0.20514504611492157,0.49316585063934326,4.658177852630615,0.24874533712863922,0.07878578304748025,105.24549102783203,98.53364562988281,33.3346888772277,31.208827940596006,0.09271088661738804,0.08679841348808169,0.6771398782730103,0.8598593473434448,0.008421797305345535,0.030581189319491386,0.050879962742328644,1330.3359375,3784.923583984375,0.18559374128069198,22.020643250093592,0.0074272421188652515,0.02890104055404663,1397.2381591796875,3838.98779296875,0.19492719854627336,20.68997118282723
base_instruct,DeepSeek-V3-Base,deepseek_v3_moe,base,U,False,129280,7168,6.672492980957031,0.9240091443061829,1.0977725982666016,10.521657943725586,0.5337429642677307,0.07999153626553179,256.3831481933594,235.1259765625,38.4238917785398,35.23810024731956,0.10686504641453408,0.0980046800098737,0.7975395321846008,0.749174952507019,0.01118769682943821,0.028441645205020905,0.037767864763736725,2100.817138671875,4919.28466796875,0.2930827481406076,90.16718145902382,0.009469018317759037,0.024132512509822845,2465.55078125,5011.69482421875,0.3439663478306362,100.32872432262957
base_instruct,DeepSeek-V3.1,deepseek_v3_moe,base,E,False,129280,7168,3.155203104019165,0.20416206121444702,0.49316585063934326,4.655545711517334,0.24884194135665894,0.07886717056017052,105.28929901123047,98.56958770751953,33.37005685407454,31.240332842673503,0.09280925251194941,0.08688603534695538,0.6771912574768066,0.8599218726158142,0.008440273813903332,0.03063010796904564,0.05095834285020828,1327.412353515625,3781.229248046875,0.18518587521144322,22.139668989341498,0.007442868314683437,0.028945229947566986,1394.298095703125,3835.368896484375,0.19451703344072616,20.80169283170505
base_instruct,DeepSeek-V3.1,deepseek_v3_moe,base,U,False,129280,7168,6.668074131011963,0.9219340085983276,1.0931994915008545,10.499757766723633,0.527778148651123,0.07915001217465861,254.40463256835938,234.21630859375,38.152634656532015,35.125025681196185,0.10611062244569955,0.09769019550042517,0.7911380529403687,0.7506957650184631,0.011030501686036587,0.028076432645320892,0.037274278700351715,2129.397216796875,4933.77880859375,0.297069924218314,89.41012364741101,0.009407282806932926,0.02390473708510399,2488.364013671875,5023.935546875,0.34714899744306293,84.43394264183758
base_instruct,DeepSeek-V3.1-Base,deepseek_v3_moe,base,E,False,129280,7168,3.1552066802978516,0.2041652500629425,0.49316585063934326,4.656125068664551,0.24883738160133362,0.07886563601527471,105.2882308959961,98.57015991210938,33.36967546294187,31.240474064442243,0.09280819178178366,0.08688642811484465,0.6771366596221924,0.859948456287384,0.008440081030130386,0.03063155524432659,0.05095967277884483,1327.4091796875,3781.268798828125,0.18518543243408203,22.138123659634065,0.0074429321102797985,0.02894684299826622,1394.28759765625,3835.4052734375,0.1945155688694545,20.800720953221997
base_instruct,DeepSeek-V3.1-Base,deepseek_v3_moe,base,U,False,129280,7168,6.669332981109619,0.9218738079071045,1.0977718830108643,10.500714302062988,0.529694139957428,0.07942235624728088,254.7626953125,234.3738555908203,38.199123933283026,35.14202087339845,0.10623991904965652,0.09773746275835903,0.7921059131622314,0.7496278285980225,0.011057499796152115,0.028155511245131493,0.03738759458065033,2124.104736328125,4931.21044921875,0.2963315759386335,89.53537157330258,0.009416874498128891,0.02396468259394169,2484.2666015625,5021.95263671875,0.3465773718697684,85.57853895935705
base_instruct,Gemma-2-27B,gemma2,base,E,True,256000,4608,0.9992180466651917,2.2811996132077184e-06,0.967780590057373,1.0089586973190308,0.14210942387580872,0.14222063377466737,85.61847686767578,71.80679321289062,85.6854686911596,71.8629781415631,0.16935077715194446,0.142031681481396,0.8867964744567871,0.7331209182739258,0.028679855167865753,0.0678827166557312,0.08993613719940186,611.029541015625,2973.59423828125,0.1326018969217936,271.54795735382737,0.02058958262205124,0.05127386748790741,949.6524658203125,3201.265380859375,0.20608777470058864,232.65082391107393
base_instruct,Gemma-2-27B,gemma2,base,U,True,256000,4608,0.9992180466651917,2.2811996132077184e-06,0.967780590057373,1.0089586973190308,0.14210942387580872,0.14222063377466737,85.61847686767578,71.80679321289062,85.6854686911596,71.8629781415631,0.16935077715194446,0.142031681481396,0.8867964744567871,0.7331209182739258,0.028679855167865753,0.0678827166557312,0.08993613719940186,611.029541015625,2973.59423828125,0.1326018969217936,271.54795735382737,0.02058958262205124,0.05127386748790741,949.6524658203125,3201.265380859375,0.20608777470058864,232.65082391107393
base_instruct,Gemma-2-27B-Instruct,gemma2,instruct,E,True,256000,4608,0.9936171770095825,1.46364809552324e-05,0.974103569984436,1.0130709409713745,0.1479528695344925,0.14890329289573626,87.01699829101562,71.29094696044922,87.57597501783279,71.74890323297399,0.17308721835397295,0.1418062211470103,0.9094350337982178,0.6876587867736816,0.02995743602514267,0.0695292204618454,0.09165489673614502,580.2246704101562,2948.893798828125,0.12591681215498182,198.2409934213121,0.020564831793308258,0.051225826144218445,951.36572265625,3200.758544921875,0.20645957522922093,173.51906468291278
base_instruct,Gemma-2-27B-Instruct,gemma2,instruct,U,True,256000,4608,0.9936171770095825,1.46364809552324e-05,0.974103569984436,1.0130709409713745,0.1479528695344925,0.14890329289573626,87.01699829101562,71.29094696044922,87.57597501783279,71.74890323297399,0.17308721835397295,0.1418062211470103,0.9094350337982178,0.6876587867736816,0.02995743602514267,0.0695292204618454,0.09165489673614502,580.2246704101562,2948.893798828125,0.12591681215498182,198.2409934213121,0.020564831793308258,0.051225826144218445,951.36572265625,3200.758544921875,0.20645957522922093,173.51906468291278
base_instruct,Gemma-2-2B,gemma2,base,E,True,256000,2304,1.7797690629959106,0.0638558566570282,1.0731253623962402,4.871137619018555,0.734873354434967,0.4129037692103403,409.6663818359375,191.76483154296875,230.1795161819142,107.74703051651447,0.4549322136565208,0.21295376721990897,0.9955878257751465,0.9067185521125793,0.2028750628232956,0.2383703589439392,0.25363197922706604,23.874555587768555,651.6728515625,0.010362220307191214,222.475869077123,0.053373366594314575,0.08813517540693283,270.1596984863281,1527.071533203125,0.11725681357913548,135.21380582170357
