side,group,rank_w,n,mean_shift_over_raw_median,P_over_D_median,full_affine_over_raw_median,w_gain_centered_median,aff_gain_centered_median,w_gain_raw_median,aff_gain_raw_median,aff_over_w_centered_median,affine_wins
E,tied,1,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.036353117161560346,0.15628674601373144,0.11297872576933075,0.2327982104970866,3.035174200719873,15
E,tied,2,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.06108203007157744,0.19337541184400553,0.13929818090043933,0.25411434921572357,2.602424011917603,15
E,tied,4,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.10068328797285953,0.21440410024466075,0.17377140739732924,0.27355957461942665,1.9109778265726183,14
E,tied,8,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.13499254678112,0.23637029163083714,0.2162645449998723,0.2938717089107775,1.4342693149552623,14
E,tied,16,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.1797963527477904,0.25601588377234114,0.2620162616008499,0.3153130241985583,1.2268668342648803,13
E,tied,32,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.23176177033948894,0.26297308059363933,0.30781878441066557,0.3369950004755724,1.0320251237172848,8
E,tied,64,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.2800915375284968,0.26794700342453015,0.36185105517842675,0.3498717932138018,0.8396714270991652,3
E,untied,1,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.007410005182688876,0.002820636976187622,0.007654616200457542,0.0028952058150470855,0.33948935761734844,0
E,untied,2,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.012353895191548695,0.004564192201868955,0.013366869567408044,0.004638630658077626,0.3281176766021699,0
E,untied,4,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.019147428378728244,0.007550182329861263,0.02015343500064551,0.007624397494428584,0.32779976686205886,0
E,untied,8,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.030230336996200504,0.012127338207420313,0.03122497648733597,0.01220121109334477,0.3376871058520558,0
E,untied,16,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.047875924893148555,0.019004538793466388,0.04885246627373657,0.019077897403944197,0.38126541904260974,0
E,untied,32,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.07766113358061012,0.026230441748933322,0.07860712590821942,0.02631266138561927,0.37800758171031,0
E,untied,64,9,0.00014351091645313038,0.049104489454442984,0.0491873996957322,0.1275108354230231,0.033550310651567564,0.12840569964881055,0.03358828746503564,0.34167437834390196,0
E,qwen_tied_special,1,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.5452981882917143,0.5217804536974033,0.6036784861255954,0.5833725092030289,0.9581497912908371,0
E,qwen_tied_special,2,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.5754835778708183,0.5318622503514705,0.6299841455885893,0.5921633483136148,0.9251773237416335,0
E,qwen_tied_special,4,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.5996333047970662,0.5406294736347814,0.6510175806938219,0.5998065811285171,0.9024913641859704,0
E,qwen_tied_special,8,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.6277877168394858,0.5484587275112038,0.6755336759230955,0.6066331441796244,0.8744727988433567,0
E,qwen_tied_special,16,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.6571243995240659,0.5552335198574596,0.701082538348867,0.6125419438543878,0.8457068324423276,0
E,qwen_tied_special,32,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.6881911826394518,0.5598925199195128,0.7281423136667018,0.6166163732341875,0.8142756477584767,0
E,qwen_tied_special,64,2,0.12911008260988718,0.5610276651519104,0.6176183363056452,0.7219997941176386,0.5610276651519104,0.7575920366644375,0.6176183363056452,0.7776631571804025,0
U,tied,1,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.036353117161560346,0.15628674601373144,0.11297872049564198,0.23279820593577155,3.035174200719873,15
U,tied,2,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.06108203007157744,0.19337541184400553,0.13929817578323003,0.2541143447811413,2.602424011917603,15
U,tied,4,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.10068328797285953,0.21440410024466075,0.17377140248507678,0.27355957030045386,1.9109778265726183,14
U,tied,8,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.13499254678112,0.23637029163083714,0.21626454034025816,0.29387170471256835,1.4342693149552623,14
U,tied,16,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.1797963527477904,0.25601588377234114,0.2620162572132476,0.31531302012782614,1.2268668342648803,13
U,tied,32,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.23176177033948894,0.26297308059363933,0.30781878029537724,0.3369949965337481,1.0320251237172848,8
U,tied,64,15,0.07863214865672695,0.26866272928414836,0.3533945318498269,0.2800915375284968,0.26794700342453015,0.36185105138438134,0.3498717932138018,0.8396714270991652,3
U,untied,1,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.08102399635875246,0.20343969061042474,0.15564530656795833,0.27509600694247327,2.1816592356163937,9
U,untied,2,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.11186465061449251,0.2514745983707991,0.17889300117741191,0.31880983002804647,2.003076393612503,9
U,untied,4,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.1546747437295017,0.28872998308832615,0.21935277278549536,0.35271382552755304,1.7932565882461635,8
U,untied,8,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.20243413782608222,0.32116242399429024,0.2673915352468201,0.38222873562312665,1.5702926330760514,6
U,untied,16,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.2652445780668158,0.35541419084087184,0.33039787211747457,0.40793239485277294,1.3224683846928653,5
U,untied,32,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.3446121103814071,0.3896116201695936,0.40356895443341906,0.4316365811562284,1.0800586839209183,5
U,untied,64,9,0.08995717648417684,0.46217183491235747,0.514295917156857,0.4260493629075538,0.4189016995403437,0.4776803416616847,0.45891005194869383,0.916513084443558,3
U,qwen_tied_special,1,2,0.1291100931568854,0.5610276651519104,0.6176183409150704,0.5452981882917143,0.5217804536974033,0.603678490843043,0.5833725142105997,0.9581497912908371,0
