group,n,E_identity_R2_mean,E_identity_R2_median,E_full_affine_R2_mean,E_full_affine_R2_median,E_delta_R2_mean,E_delta_R2_median,E_delta_over_Yc_mean,E_delta_over_Yc_median,E_P_over_D_full_affine_gain_mean,E_P_over_D_full_affine_gain_median,E_R_over_D_mean,E_R_over_D_median,E_mean_shift_over_raw_delta_mean,E_mean_shift_over_raw_delta_median,E_D_rank95_over_h_mean,E_D_rank95_over_h_median,E_P_rank95_over_h_mean,E_P_rank95_over_h_median,E_AminusI_rank95_over_h_mean,E_AminusI_rank95_over_h_median,E_R_rank95_over_h_mean,E_R_rank95_over_h_median,E_D_eff_over_h_mean,E_D_eff_over_h_median,E_P_eff_over_h_mean,E_P_eff_over_h_median,E_AminusI_eff_over_h_mean,E_AminusI_eff_over_h_median,E_R_eff_over_h_mean,E_R_eff_over_h_median,E_D_energy_5pct_h_mean,E_D_energy_5pct_h_median,E_P_energy_5pct_h_mean,E_P_energy_5pct_h_median,E_AminusI_energy_5pct_h_mean,E_AminusI_energy_5pct_h_median,E_R_energy_5pct_h_mean,E_R_energy_5pct_h_median,E_aff_vs_W_ratio_r1_mean,E_aff_vs_W_ratio_r1_median,E_aff_vs_W_ratio_r2_mean,E_aff_vs_W_ratio_r2_median,E_aff_vs_W_ratio_r4_mean,E_aff_vs_W_ratio_r4_median,E_aff_vs_W_ratio_r8_mean,E_aff_vs_W_ratio_r8_median,E_aff_vs_W_ratio_r16_mean,E_aff_vs_W_ratio_r16_median,E_aff_vs_W_ratio_r32_mean,E_aff_vs_W_ratio_r32_median,E_aff_vs_W_ratio_r64_mean,E_aff_vs_W_ratio_r64_median,E_aff_rank_budget_r1_mean,E_aff_rank_budget_r1_median,E_aff_rank_budget_r8_mean,E_aff_rank_budget_r8_median,E_boundary_rank_w_first_3_losses_mean,E_boundary_rank_w_first_3_losses_median,U_identity_R2_mean,U_identity_R2_median,U_full_affine_R2_mean,U_full_affine_R2_median,U_delta_R2_mean,U_delta_R2_median,U_delta_over_Yc_mean,U_delta_over_Yc_median,U_P_over_D_full_affine_gain_mean,U_P_over_D_full_affine_gain_median,U_R_over_D_mean,U_R_over_D_median,U_mean_shift_over_raw_delta_mean,U_mean_shift_over_raw_delta_median,U_D_rank95_over_h_mean,U_D_rank95_over_h_median,U_P_rank95_over_h_mean,U_P_rank95_over_h_median,U_AminusI_rank95_over_h_mean,U_AminusI_rank95_over_h_median,U_R_rank95_over_h_mean,U_R_rank95_over_h_median,U_D_eff_over_h_mean,U_D_eff_over_h_median,U_P_eff_over_h_mean,U_P_eff_over_h_median,U_AminusI_eff_over_h_mean,U_AminusI_eff_over_h_median,U_R_eff_over_h_mean,U_R_eff_over_h_median,U_D_energy_5pct_h_mean,U_D_energy_5pct_h_median,U_P_energy_5pct_h_mean,U_P_energy_5pct_h_median,U_AminusI_energy_5pct_h_mean,U_AminusI_energy_5pct_h_median,U_R_energy_5pct_h_mean,U_R_energy_5pct_h_median,U_aff_vs_W_ratio_r1_mean,U_aff_vs_W_ratio_r1_median,U_aff_vs_W_ratio_r2_mean,U_aff_vs_W_ratio_r2_median,U_aff_vs_W_ratio_r4_mean,U_aff_vs_W_ratio_r4_median,U_aff_vs_W_ratio_r8_mean,U_aff_vs_W_ratio_r8_median,U_aff_vs_W_ratio_r16_mean,U_aff_vs_W_ratio_r16_median,U_aff_vs_W_ratio_r32_mean,U_aff_vs_W_ratio_r32_median,U_aff_vs_W_ratio_r64_mean,U_aff_vs_W_ratio_r64_median,U_aff_rank_budget_r1_mean,U_aff_rank_budget_r1_median,U_aff_rank_budget_r8_mean,U_aff_rank_budget_r8_median,U_boundary_rank_w_first_3_losses_mean,U_boundary_rank_w_first_3_losses_median,U_minus_E_full_affine_gain_mean,U_minus_E_full_affine_gain_median,U_over_E_full_affine_gain_mean,U_over_E_full_affine_gain_median,U_minus_E_aff_vs_W_ratio_r1_mean,U_minus_E_aff_vs_W_ratio_r1_median,E_aff_wins_r1,E_aff_wins_r8,U_aff_wins_r1,U_aff_wins_r8
DeepSeek,2,3.698604585500309e-05,3.698604585500309e-05,0.9999903778798234,0.9999903778798234,0.9999533918339683,0.9999533918339683,0.999963013954145,0.999963013954145,0.06040319082501344,0.06040319082501344,0.9396083677418076,0.9396083677418076,3.698604585502063e-05,3.698604585502063e-05,0.88525390625,0.88525390625,0.5821010044642858,0.5821010044642858,0.5380161830357143,0.5380161830357143,0.8842075892857143,0.8842075892857143,0.8118861520207064,0.8118861520207064,0.5248155781642566,0.5248155781642566,0.47633338422686405,0.47633338422686405,0.8106185234762784,0.8106185234762784,0.1769571229815483,0.1769571229815483,0.24487227201461792,0.24487227201461792,0.26742708683013916,0.26742708683013916,0.17715680599212646,0.17715680599212646,0.26600155167758416,0.26600155167758416,0.2711562374206363,0.2711562374206363,0.26496304538346394,0.26496304538346394,0.2631357815768421,0.2631357815768421,0.2647131174412237,0.2647131174412237,0.2768114165893867,0.2768114165893867,0.30041888480770573,0.30041888480770573,9.0,9.0,76.0,76.0,1.0,1.0,0.03078091638168101,0.03078091638168101,0.9999938124715713,0.9999938124715713,0.9692128960898903,0.9692128960898903,0.969219083618319,0.969219083618319,0.11667116785141193,0.11667116785141193,0.8833385149038231,0.8833385149038231,0.030780927274825395,0.030780927274825395,0.8542131696428571,0.8542131696428571,0.42452566964285715,0.42452566964285715,0.4072963169642857,0.4072963169642857,0.8649553571428572,0.8649553571428572,0.2671762878496956,0.2671762878496956,0.025872452132245163,0.025872452132245163,0.04088711498826255,0.04088711498826255,0.3951289377259486,0.3951289377259486,0.40852639079093933,0.40852639079093933,0.7172720432281494,0.7172720432281494,0.6663261651992798,0.6663261651992798,0.35028308629989624,0.35028308629989624,0.9471591625604415,0.9471591625604415,0.6015371023617083,0.6015371023617083,0.4712680837061898,0.4712680837061898,0.39200128610861806,0.39200128610861806,0.3545340630261742,0.3545340630261742,0.3325444691553373,0.3325444691553373,0.31623242484755854,0.31623242484755854,9.0,9.0,76.0,76.0,1.5,1.5,0.05626797702639849,0.05626797702639849,1.9317076111832279,1.9317076111832279,0.6811576108828574,0.6811576108828574,0,0,1,0
Gemma-2,3,0.9944289277800923,0.9964781784501565,0.9960212255427588,0.997605742209408,0.0015922977626665242,0.001127563759251493,0.005571072219907651,0.003521821549843446,0.31912583803268607,0.32016493263309553,0.6808719226487641,0.6798333493332521,0.1887302466142591,0.1894499118347798,0.7822110615079365,0.7977430555555556,0.1704592427248677,0.1519097222222222,0.09482473544973544,0.012586805555555556,0.8643766534391534,0.8726128472222222,0.09630085704597789,0.08781631856334082,0.01414628167218831,0.013102161703848704,0.010363498772505851,0.003612921664449634,0.5620628232189561,0.5955164744350223,0.5745032827059428,0.5699486136436462,0.8945483962694804,0.9065914750099182,0.9351922869682312,0.9777856469154358,0.2981869826714198,0.2682991921901703,2.2984241965389356,2.6002796816567635,1.67491702850234,1.8233153782803804,1.3254715155217927,1.4893802217339362,1.117709111324651,1.1994636445723916,0.9920309170606949,1.0409606986792963,0.8942850706660934,0.9233715223088537,0.8111614786435473,0.8387937693731109,40.0,36.0,321.0,289.0,21.666666666666668,20.0,0.9944289277800923,0.9964781784501565,0.9960212255427588,0.997605742209408,0.0015922977626665242,0.001127563759251493,0.005571072219907651,0.003521821549843446,0.31912583803268607,0.32016493263309553,0.6808719136489326,0.67983337178456,0.18873023199261418,0.18944989034565943,0.7822110615079365,0.7977430555555556,0.1704592427248677,0.1519097222222222,0.09482473544973544,0.012586805555555556,0.8643766534391534,0.8726128472222222,0.09630172634144846,0.08781631856334082,0.014146285181894478,0.013102167951447747,0.010363498772505851,0.003612921664449634,0.5620626560369197,0.5955161904707067,0.5745023886362711,0.5699484944343567,0.8945483962694804,0.9065914750099182,0.9351923068364462,0.9777857065200806,0.29818696280320484,0.2682991921901703,2.2984241965389356,2.6002796816567635,1.67491702850234,1.8233153782803804,1.3254715155217927,1.4893802217339362,1.117709111324651,1.1994636445723916,0.9920309170606949,1.0409606986792963,0.8942850706660934,0.9233715223088537,0.8111614786435473,0.8387937693731109,40.0,36.0,321.0,289.0,21.666666666666668,20.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2,3,2
Gemma-3,3,0.9611273453652348,0.962656724315314,0.9653101491310172,0.9672602147356555,0.004182803765782395,0.004603490420341472,0.03887265463476516,0.037343275684686005,0.10779214351329093,0.1009840327263784,0.8922074008062338,0.8990161820775457,0.02509289662881759,0.016466287288620318,0.903280009920635,0.9044270833333333,0.3889260912698413,0.44568452380952384,0.5247581845238095,0.5587797619047619,0.911780753968254,0.91328125,0.6991692854773823,0.699388340381413,0.043572773502484057,0.042078712718119235,0.22679261815135587,0.2838259434982769,0.9137876783237548,0.9150347716747179,0.20543240010738373,0.20275670289993286,0.7599088748296102,0.7308074235916138,0.5257189174493154,0.44884470105171204,0.12291694184144338,0.12136353552341461,3.0234348483354014,2.5753876172903576,2.2602494188486952,2.1087537995513226,1.731126095655402,1.7220621107178193,1.4013229036147852,1.4277549108278016,1.1640269798913505,1.1637782951800208,0.988754511509519,0.966740140044882,0.8414527890160897,0.8347593924140946,36.333333333333336,34.0,296.3333333333333,277.0,33.666666666666664,28.0,0.9611273453652348,0.962656724315314,0.9653101491310172,0.9672602147356555,0.004182803765782395,0.004603490420341472,0.03887265463476516,0.037343275684686005,0.10779214351329093,0.1009840327263784,0.892207425554844,0.8990162563233763,0.025092897837877402,0.016466287288620318,0.903280009920635,0.9044270833333333,0.3889260912698413,0.44568452380952384,0.5247581845238095,0.5587797619047619,0.911780753968254,0.91328125,0.6991723696873885,0.6993920088288696,0.043572773502484057,0.042078712718119235,0.226792633221825,0.2838259434982769,0.9137879594796914,0.9150347716747179,0.20543106396993002,0.20275534689426422,0.7599088549613953,0.7308074235916138,0.5257189571857452,0.44884470105171204,0.12291693935791652,0.12136353552341461,3.0234348483354014,2.5753876172903576,2.2602494188486952,2.1087537995513226,1.731126095655402,1.7220621107178193,1.4013229036147852,1.4277549108278016,1.1640269798913505,1.1637782951800208,0.988754511509519,0.966740140044882,0.8414527890160897,0.8347593924140946,36.333333333333336,34.0,296.3333333333333,277.0,33.666666666666664,28.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3,3,3
Llama-3.1,2,0.9983957780296963,0.9983957780296963,0.9985000588859174,0.9985000588859174,0.00010428085622121719,0.00010428085622121719,0.0016042219703037292,0.0016042219703037292,0.06536998514723728,0.06536998514723728,0.9346290134144741,0.9346290134144741,0.00023431792372091752,0.00023431792372091752,0.87310791015625,0.87310791015625,0.5960693359375,0.5960693359375,0.58319091796875,0.58319091796875,0.8714599609375,0.8714599609375,0.8200538569729854,0.8200538569729854,0.5497172419823257,0.5497172419823257,0.5435350734020734,0.5435350734020734,0.8182628447881903,0.8182628447881903,0.1672489419579506,0.1672489419579506,0.22914569079875946,0.22914569079875946,0.22579308599233627,0.22579308599233627,0.16762060672044754,0.16762060672044754,0.30745446217674044,0.30745446217674044,0.30090244231885477,0.30090244231885477,0.3317020853300715,0.3317020853300715,0.3581537723058199,0.3581537723058199,0.38675675298528367,0.38675675298528367,0.4113126806864498,0.4113126806864498,0.4243012475309214,0.4243012475309214,12.0,12.0,97.5,97.5,1.0,1.0,0.9954531099964103,0.9954531099964103,0.9974901035595423,0.9974901035595423,0.0020369935631319724,0.0020369935631319724,0.004546890003589692,0.004546890003589692,0.44484422066992146,0.44484422066992146,0.5551529995568036,0.5551529995568036,0.07940335972799971,0.07940335972799971,0.6365966796875,0.6365966796875,0.226806640625,0.226806640625,0.20245361328125,0.20245361328125,0.7579345703125,0.7579345703125,0.11202985664726436,0.11202985664726436,0.033254437863908595,0.033254437863908595,0.03960428021172352,0.03960428021172352,0.3866806016596128,0.3866806016596128,0.6362179219722748,0.6362179219722748,0.8410533666610718,0.8410533666610718,0.8545736074447632,0.8545736074447632,0.4276988059282303,0.4276988059282303,2.5000555329176875,2.5000555329176875,2.2881550035500324,2.2881550035500324,1.9119512902453955,1.9119512902453955,1.6087510602222128,1.6087510602222128,1.3312086616291603,1.3312086616291603,1.1141437908278555,1.1141437908278555,0.9657065959924118,0.9657065959924118,12.0,12.0,97.5,97.5,57.0,57.0,0.3794742355226842,0.3794742355226842,7.159399656633326,7.159399656633326,2.192601070740947,2.192601070740947,0,0,2,2
Llama-3.2,2,0.9619957870893254,0.9619957870893254,0.9774080024290916,0.9774080024290916,0.015412215339766222,0.015412215339766222,0.03800421291067464,0.03800421291067464,0.40526330926671894,0.40526330926671894,0.594736590708247,0.594736590708247,0.1403661381735618,0.1403661381735618,0.8165690104166667,0.8165690104166667,0.5436197916666667,0.5436197916666667,0.6361490885416667,0.6361490885416667,0.8798828125,0.8798828125,0.21557588089770935,0.21557588089770935,0.12384274905379278,0.12384274905379278,0.19501029763632974,0.19501029763632974,0.7080520703333619,0.7080520703333619,0.4843684136867523,0.4843684136867523,0.6714302599430084,0.6714302599430084,0.5946298241615295,0.5946298241615295,0.22638027369976044,0.22638027369976044,2.957292221797525,2.957292221797525,2.7092050750909538,2.7092050750909538,2.38990319434682,2.38990319434682,2.0289859249786075,2.0289859249786075,1.689909831787472,1.689909831787472,1.4150070571462265,1.4150070571462265,1.2043885803489207,1.2043885803489207,26.0,26.0,212.5,212.5,109.0,109.0,0.9619957870893254,0.9619957870893254,0.9774080024290916,0.9774080024290916,0.015412215339766222,0.015412215339766222,0.03800421291067464,0.03800421291067464,0.40526330926671894,0.40526330926671894,0.5947366179376015,0.5947366179376015,0.1403661381735618,0.1403661381735618,0.8165690104166667,0.8165690104166667,0.5436197916666667,0.5436197916666667,0.6361490885416667,0.6361490885416667,0.8798828125,0.8798828125,0.21557649766613418,0.21557649766613418,0.12384277849581371,0.12384277849581371,0.19501025281704346,0.19501025281704346,0.7080520703333619,0.7080520703333619,0.4843677431344986,0.4843677431344986,0.6714302599430084,0.6714302599430084,0.5946297943592072,0.5946297943592072,0.22638027369976044,0.22638027369976044,2.957292221797525,2.957292221797525,2.7092050750909538,2.7092050750909538,2.38990319434682,2.38990319434682,2.0289859249786075,2.0289859249786075,1.689909831787472,1.689909831787472,1.4150070571462265,1.4150070571462265,1.2043885803489207,1.2043885803489207,26.0,26.0,212.5,212.5,109.0,109.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2,2,2
Qwen2.5,7,0.9978048297169443,0.9996624244489689,0.9983999471813539,0.999723155960061,0.0005951174644096875,2.4792906229031964e-05,0.0021951702830557223,0.000337575551031072,0.22578602419621624,0.07344402209621359,0.7742134219885157,0.9265561096899293,0.05840380652919379,8.719174753664179e-05,0.6235353223320579,0.5774739583333334,0.3423213621386054,0.37472098214285715,0.31028147587159866,0.3060546875,0.6853263180272109,0.77978515625,0.2666975838417252,0.3220120653675805,0.19001267137305022,0.27610840726556096,0.16871088012228355,0.2249269604092412,0.4034190438707629,0.3248221291393471,0.49712632809366497,0.40730199217796326,0.6061182788440159,0.44070959091186523,0.6287512396063123,0.5051650404930115,0.3780395505683763,0.4080217480659485,0.646740974798598,0.33948935761734844,0.6217251727096907,0.34182833964430936,0.6275885264687856,0.37096836808607236,0.6249208639601481,0.3911462125174761,0.5977074543863108,0.39178369390161044,0.5514709324983418,0.37800758171031,0.48958254708011795,0.34419458251573853,33.0,21.0,268.0,173.0,8.142857142857142,1.0,0.9973833827414889,0.9992619361598801,0.9982370948981816,0.999681339395026,0.0008537121566927526,0.0004194032351458876,0.002616617258511174,0.0007380638401198979,0.4746571802497062,0.4864189580733371,0.5253315683605184,0.5135674097720127,0.1461719118172407,0.15032080620998606,0.6687421941432823,0.6339111328125,0.16350180697278913,0.083984375,0.1631095211522109,0.0822265625,0.8242004809736395,0.8107421875,0.06219826767106329,0.02005193740832725,0.010807158800010427,0.002607779607693851,0.021405242171216022,0.004444957589477913,0.3830781901751679,0.31244936252049693,0.6806818459715162,0.7327134013175964,0.8978796345846993,0.9329643249511719,0.8949088454246521,0.9347857236862183,0.3937537914940289,0.44697266817092896,1.143147109355167,1.088253814790557,1.076599896174633,1.0491208566499917,1.0482940536133103,1.0183963146340453,1.0150304606194926,0.9868679677749534,0.9664722247232622,0.9529595748925483,0.9095516283204487,0.9080124555211851,0.8440620570309223,0.854065251482529,33.0,21.0,268.0,173.0,11.714285714285714,7.0,0.24887115605348997,0.4070898891115103,6.406682398575026,6.542859411732814,0.4964061345565691,0.7412446773935889,1,1,5,2
Qwen3,6,0.8250023090538996,0.9885726946377169,0.9924986192076842,0.9929693729941047,0.1674963101537847,0.00339812139986001,0.17499769094610043,0.011427305362283119,0.18310259085129812,0.1874278261964802,0.8168964311218774,0.8125711531683987,0.04455851467849207,0.038183326107442996,0.7717854817708334,0.824755859375,0.5713053385416667,0.564453125,0.5588297526041667,0.5379638671875,0.7919759114583333,0.86474609375,0.46436812904654956,0.35660802450148055,0.33017726791746294,0.26742906199019023,0.27752999790996963,0.2083701555297669,0.640073459740812,0.6982895843267203,0.3421819905440013,0.40547560155391693,0.47215931862592697,0.5081120431423187,0.5188871746261915,0.5613117069005966,0.2530202269554138,0.22984035313129425,2.9500836636597123,2.8289230124061926,2.0945143358716383,2.0674303974697628,1.5245479877671888,1.6227883804224295,1.207999958014922,1.3334044967795313,1.0102382433296375,1.1285715595736352,0.8505947057163664,0.9110515438409559,0.6817991965048563,0.656936302523764,35.333333333333336,33.5,285.3333333333333,270.5,31.5,27.5,0.8352871434079722,0.9883559115183433,0.9923452763076257,0.9937675293322625,0.15705813289965356,0.003567204287923509,0.16471285659202783,0.011644088481656623,0.3073347128148089,0.3097740457647785,0.6926641780719384,0.6902246580552949,0.07254231727317144,0.07265705845631407,0.825634765625,0.824755859375,0.5231689453125,0.52275390625,0.5226969401041667,0.5166015625,0.8658610026041667,0.86484375,0.3451831324539931,0.3465671519621173,0.10999495887290359,0.10280827147435845,0.05555987934800902,0.0458684411596052,0.690242033713335,0.6868548175764233,0.4125364323457082,0.40866853296756744,0.6846025089422861,0.6902339458465576,0.734353095293045,0.7454572916030884,0.23948667695124945,0.23876923322677612,4.848110078871247,4.718329634327528,3.2165046111926543,3.049024381983317,2.197577962435557,2.1107373031829324,1.6780841868660907,1.6696287848376083,1.373809168236188,1.3623619471126247,1.1687365676110724,1.1899120667026857,0.9898076644791101,1.0249061457037696,35.333333333333336,33.5,285.3333333333333,270.5,65.8,76.0,0.12423212196351077,0.11751304194103482,3.143999451560184,2.5217628077732015,1.8980264152115343,1.847173612784899,4,4,6,6
Qwen3.5,5,0.7978499106777602,0.9967907101000678,0.9977863707828886,0.9978601038593179,0.1999364601051284,0.0003851765444571331,0.2021500893222398,0.0032092898999321936,0.08074262345238482,0.11506962626484923,0.9192566244161275,0.8849301926131902,0.019154311705188377,0.02854861822704608,0.86197265625,0.8515625,0.534541015625,0.4697265625,0.5373828125,0.4736328125,0.870654296875,0.8662109375,0.6850639796209396,0.6262705978249011,0.31642541584978906,0.13324873362235948,0.32454764617714277,0.13498829013492747,0.7793959697531199,0.766706868326627,0.2376401573419571,0.2723273038864136,0.48388731479644775,0.6428479552268982,0.47999049723148346,0.6483452320098877,0.1957040995359421,0.20050852000713348,2.339585172733033,3.035174200719873,1.7131815614248715,2.449906958584335,1.352637379731157,1.811480621451709,1.0614756099616471,1.257404083990151,0.8198935471135478,0.8681598297909044,0.6096605041174632,0.6070603784350297,0.4330123407519088,0.4290713123547927,64.4,61.0,518.0,489.0,14.2,13.0,0.8049959637539383,0.9967907101000678,0.9977366051894991,0.9978601038593179,0.19274064143556088,0.00044314400367595486,0.19500403624606172,0.0032092898999321936,0.15429515833214436,0.12001924303107303,0.8457036731280573,0.8799782269513602,0.03387052268996638,0.03670703042816029,0.839462890625,0.8484375,0.456611328125,0.46337890625,0.466875,0.46337890625,0.859375,0.86328125,0.5518905042181166,0.5895644039641186,0.12931295664300213,0.13199188225327,0.12467667988512926,0.12960389074700313,0.7380931977684398,0.7553678478594668,0.30291149616241453,0.27390527725219727,0.6631693720817566,0.6555432081222534,0.6744015693664551,0.6698179841041565,0.21749470233917237,0.2067493200302124,4.207780692718458,4.265433678628369,2.8740839359345784,2.6914248542879027,2.1760829806409605,2.1187751365960645,1.6741640567660803,1.6698689148824992,1.2845284211178807,1.3086848129395592,0.9661533471489333,0.9794839099172171,0.7053099649980679,0.6910482210104442,64.4,61.0,518.0,489.0,31.5,28.0,0.07355253487975953,0.0,4.1043491907126235,1.0,1.8681955199854259,0.0,3,3,5,5
