group,n,E_identity_R2_mean,E_identity_R2_median,E_full_affine_R2_mean,E_full_affine_R2_median,E_delta_R2_mean,E_delta_R2_median,E_P_over_D_full_affine_gain_mean,E_P_over_D_full_affine_gain_median,E_R_over_D_mean,E_R_over_D_median,E_D_rank95_over_h_mean,E_D_rank95_over_h_median,E_P_rank95_over_h_mean,E_P_rank95_over_h_median,E_D_eff_over_h_mean,E_D_eff_over_h_median,E_P_eff_over_h_mean,E_P_eff_over_h_median,E_D_energy_5pct_h_mean,E_D_energy_5pct_h_median,E_P_energy_5pct_h_mean,E_P_energy_5pct_h_median,E_aff_vs_W_ratio_r1_mean,E_aff_vs_W_ratio_r1_median,E_aff_vs_W_ratio_r4_mean,E_aff_vs_W_ratio_r4_median,E_aff_vs_W_ratio_r8_mean,E_aff_vs_W_ratio_r8_median,E_hybrid_min_gain_ratio_1_2_4_8_mean,E_hybrid_min_gain_ratio_1_2_4_8_median,E_hybrid_median_match_param_ratio_1_2_4_8_mean,E_hybrid_median_match_param_ratio_1_2_4_8_median,E_aff_wins_r1,E_aff_wins_r8,E_hybrid_stable_count,U_identity_R2_mean,U_identity_R2_median,U_full_affine_R2_mean,U_full_affine_R2_median,U_delta_R2_mean,U_delta_R2_median,U_P_over_D_full_affine_gain_mean,U_P_over_D_full_affine_gain_median,U_R_over_D_mean,U_R_over_D_median,U_D_rank95_over_h_mean,U_D_rank95_over_h_median,U_P_rank95_over_h_mean,U_P_rank95_over_h_median,U_D_eff_over_h_mean,U_D_eff_over_h_median,U_P_eff_over_h_mean,U_P_eff_over_h_median,U_D_energy_5pct_h_mean,U_D_energy_5pct_h_median,U_P_energy_5pct_h_mean,U_P_energy_5pct_h_median,U_aff_vs_W_ratio_r1_mean,U_aff_vs_W_ratio_r1_median,U_aff_vs_W_ratio_r4_mean,U_aff_vs_W_ratio_r4_median,U_aff_vs_W_ratio_r8_mean,U_aff_vs_W_ratio_r8_median,U_hybrid_min_gain_ratio_1_2_4_8_mean,U_hybrid_min_gain_ratio_1_2_4_8_median,U_hybrid_median_match_param_ratio_1_2_4_8_mean,U_hybrid_median_match_param_ratio_1_2_4_8_median,U_aff_wins_r1,U_aff_wins_r8,U_hybrid_stable_count,U_minus_E_full_affine_gain_median,U_over_E_full_affine_gain_median
Qwen2.5,7,0.9978048297169443,0.9996624244489689,0.9983999471813539,0.999723155960061,0.0005951174644096875,2.4792906229031964e-05,0.22578602419621624,0.07344402209621359,0.7742134219885157,0.9265561096899293,0.6235353223320579,0.5774739583333334,0.3423213621386054,0.37472098214285715,0.2666975838417252,0.3220120653675805,0.19001267137305022,0.27610840726556096,0.49712632809366497,0.40730199217796326,0.6061182788440159,0.44070959091186523,0.646740974798598,0.33948935761734844,0.6275885264687856,0.37096836808607236,0.6249208639601481,0.3911462125174761,1.0647071914737123,1.0,0.7052382017983547,1.0,1,1,1,0.9973833827414889,0.9992619361598801,0.9982370948981816,0.999681339395026,0.0008537121566927526,0.0004194032351458876,0.4746571802497062,0.4864189580733371,0.5253315683605184,0.5135674097720127,0.6687421941432823,0.6339111328125,0.16350180697278913,0.083984375,0.06219826767106329,0.02005193740832725,0.010807158800010427,0.002607779607693851,0.6806818459715162,0.7327134013175964,0.8978796345846993,0.9329643249511719,1.143147109355167,1.088253814790557,1.0482940536133103,1.0183963146340453,1.0150304606194926,0.9868679677749534,1.1166779490427805,1.080076704663227,0.3510801759654799,0.3907107583982223,5,2,5,0.4070898891115103,6.542859411732814
Qwen3,5,0.989956444548216,0.9912145794555884,0.9925736397642938,0.9938152295635725,0.002617195216077772,0.0026006501079840483,0.211539293683715,0.29601885246555293,0.7884595558212375,0.7039808711886887,0.752509765625,0.823828125,0.53546875,0.5556640625,0.3885645491558571,0.35052052675774925,0.2517577880378552,0.1603095123775953,0.38441290855407717,0.4067821204662323,0.5319608986377716,0.6545668244361877,3.244539441269013,4.180041249199177,1.5830169036626875,2.0133733525551643,1.2263470242820815,1.550544366879938,1.4970762762565197,1.6612653690447516,0.4304341309315618,0.06286424610969785,3,3,3,0.9883417623210226,0.9907810132168415,0.9919164594299015,0.9937198291009526,0.0035746971088789214,0.0029388158841110457,0.3065328744654832,0.30820418696811974,0.6934658327213378,0.6917934112856481,0.822890625,0.823828125,0.509638671875,0.48984375,0.3408807232133385,0.346428093515589,0.1044228374504146,0.10217782295614712,0.4149519741535187,0.4105552136898041,0.6935147404670715,0.6949618458747864,4.783301694408895,4.447351932175511,2.23466697287838,2.203687931792225,1.695904309525658,1.7316487518436252,1.777392479142344,1.74079808580445,0.0740036388619877,0.06286424610969785,5,5,5,0.0,1.0
Qwen3.5,4,0.9972644150906681,0.9971803919602684,0.9975546232215533,0.9975179952519214,0.0002902081308852611,0.0003376032916530547,0.0959258417629569,0.11721358882778382,0.9040732220739564,0.8827863008469432,0.8560302734375,0.85009765625,0.50277099609375,0.466552734375,0.6496603764445525,0.6100118539649538,0.24301594825791725,0.13262033940713924,0.25149504467844963,0.27279847860336304,0.5497961938381195,0.6491955816745758,2.776661037408217,3.2447757951457703,1.5810626571795956,1.9388378626301295,1.224654305570071,1.4455306007728643,1.5367243813106215,1.6801581603759657,0.2925487280206128,0.06741197895001085,3,3,3,0.9970681998567487,0.9971803919602684,0.9974653113630736,0.9975179952519214,0.00039711150632495973,0.000414160274066544,0.14115055853719355,0.11968839721089572,0.8588480763592634,0.8803103575446135,0.84071044921875,0.84853515625,0.43721923828125,0.458056640625,0.5601979189786217,0.5916591817201848,0.12008554367845134,0.13075871887465518,0.29761630296707153,0.2735873907804489,0.6770877689123154,0.6667778789997101,3.948108624359253,3.859905534100018,2.1171139715067,2.092485120202307,1.628531551935692,1.6517630162190384,1.7798825402036513,1.784545948110448,0.06111462652663109,0.06714690650410922,4,4,4,0.0,1.0
Llama-3.1,2,0.9983957780296963,0.9983957780296963,0.9985000588859174,0.9985000588859174,0.00010428085622121719,0.00010428085622121719,0.06536998514723728,0.06536998514723728,0.9346290134144741,0.9346290134144741,0.87310791015625,0.87310791015625,0.5960693359375,0.5960693359375,0.8200538569729854,0.8200538569729854,0.5497172419823257,0.5497172419823257,0.1672489419579506,0.1672489419579506,0.22914569079875946,0.22914569079875946,0.30745446217674044,0.30745446217674044,0.3317020853300715,0.3317020853300715,0.3581537723058199,0.3581537723058199,1.0,1.0,1.0,1.0,0,0,0,0.9954531099964103,0.9954531099964103,0.9974901035595423,0.9974901035595423,0.0020369935631319724,0.0020369935631319724,0.44484422066992146,0.44484422066992146,0.5551529995568036,0.5551529995568036,0.6365966796875,0.6365966796875,0.226806640625,0.226806640625,0.11202985664726436,0.11202985664726436,0.033254437863908595,0.033254437863908595,0.6362179219722748,0.6362179219722748,0.8410533666610718,0.8410533666610718,2.5000555329176875,2.5000555329176875,1.9119512902453955,1.9119512902453955,1.6087510602222128,1.6087510602222128,1.637942956933756,1.637942956933756,0.1577168834053848,0.1577168834053848,2,2,2,0.3794742355226842,7.159399656633326
Llama-3.2,2,0.9619957870893254,0.9619957870893254,0.9774080024290916,0.9774080024290916,0.015412215339766222,0.015412215339766222,0.40526330926671894,0.40526330926671894,0.594736590708247,0.594736590708247,0.8165690104166667,0.8165690104166667,0.5436197916666667,0.5436197916666667,0.21557588089770935,0.21557588089770935,0.12384274905379278,0.12384274905379278,0.4843684136867523,0.4843684136867523,0.6714302599430084,0.6714302599430084,2.957292221797525,2.957292221797525,2.38990319434682,2.38990319434682,2.0289859249786075,2.0289859249786075,2.113227835776047,2.113227835776047,0.0813462509607259,0.0813462509607259,2,2,2,0.9619957870893254,0.9619957870893254,0.9774080024290916,0.9774080024290916,0.015412215339766222,0.015412215339766222,0.40526330926671894,0.40526330926671894,0.5947366179376015,0.5947366179376015,0.8165690104166667,0.8165690104166667,0.5436197916666667,0.5436197916666667,0.21557649766613418,0.21557649766613418,0.12384277849581371,0.12384277849581371,0.4843677431344986,0.4843677431344986,0.6714302599430084,0.6714302599430084,2.957292221797525,2.957292221797525,2.38990319434682,2.38990319434682,2.0289859249786075,2.0289859249786075,2.113227835776047,2.113227835776047,0.0813462509607259,0.0813462509607259,2,2,2,0.0,1.0
Gemma-2,3,0.9944289277800923,0.9964781784501565,0.9960212255427588,0.997605742209408,0.0015922977626665242,0.001127563759251493,0.31912583803268607,0.32016493263309553,0.6808719226487641,0.6798333493332521,0.7822110615079365,0.7977430555555556,0.1704592427248677,0.1519097222222222,0.09630085704597789,0.08781631856334082,0.01414628167218831,0.013102161703848704,0.5745032827059428,0.5699486136436462,0.8945483962694804,0.9065914750099182,2.2984241965389356,2.6002796816567635,1.3254715155217927,1.4893802217339362,1.117709111324651,1.1994636445723916,1.302063015753517,1.3454929015519965,0.1159542469044371,0.08084460639472865,3,2,3,0.9944289277800923,0.9964781784501565,0.9960212255427588,0.997605742209408,0.0015922977626665242,0.001127563759251493,0.31912583803268607,0.32016493263309553,0.6808719136489326,0.67983337178456,0.7822110615079365,0.7977430555555556,0.1704592427248677,0.1519097222222222,0.09630172634144846,0.08781631856334082,0.014146285181894478,0.013102167951447747,0.5745023886362711,0.5699484944343567,0.8945483962694804,0.9065914750099182,2.2984241965389356,2.6002796816567635,1.3254715155217927,1.4893802217339362,1.117709111324651,1.1994636445723916,1.302063015753517,1.3454929015519965,0.1159542469044371,0.08084460639472865,3,2,3,0.0,1.0
Gemma-3,3,0.9611273453652348,0.962656724315314,0.9653101491310172,0.9672602147356555,0.004182803765782395,0.004603490420341472,0.10779214351329093,0.1009840327263784,0.8922074008062338,0.8990161820775457,0.903280009920635,0.9044270833333333,0.3889260912698413,0.44568452380952384,0.6991692854773823,0.699388340381413,0.043572773502484057,0.042078712718119235,0.20543240010738373,0.20275670289993286,0.7599088748296102,0.7308074235916138,3.0234348483354014,2.5753876172903576,1.731126095655402,1.7220621107178193,1.4013229036147852,1.4277549108278016,1.4967680467887687,1.5133634205120734,0.06345823488560969,0.06613119271832883,3,3,3,0.9611273453652348,0.962656724315314,0.9653101491310172,0.9672602147356555,0.004182803765782395,0.004603490420341472,0.10779214351329093,0.1009840327263784,0.892207425554844,0.8990162563233763,0.903280009920635,0.9044270833333333,0.3889260912698413,0.44568452380952384,0.6991723696873885,0.6993920088288696,0.043572773502484057,0.042078712718119235,0.20543106396993002,0.20275534689426422,0.7599088549613953,0.7308074235916138,3.0234348483354014,2.5753876172903576,1.731126095655402,1.7220621107178193,1.4013229036147852,1.4277549108278016,1.4967680467887687,1.5133634205120734,0.06345823488560969,0.06613119271832883,3,3,3,0.0,1.0
