model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Gemma-2-2B-Instruct,Gemma-2-9B-Instruct,task2_model_series,id,255993,24000,2304,3584,256000,256000,True,True,0.4319945970466982,0.6620538683827796,37.74238967895508,0.7721409797668457,0.4319945970466982,0.6620538683827796,37.74238967895508,0.7721409797668457
Qwen3-32B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,5120,4096,151936,151936,False,False,0.34601811732357124,0.8072242405347557,83.49762725830078,0.04439924657344818,0.5611289254301364,0.6580280576863472,54.82027816772461,0.18511685729026794
Gemma-2-9B-Instruct,Gemma-2-27B-Instruct,task2_model_series,id,255993,24000,3584,4608,256000,256000,True,True,0.3502384788066417,0.7971224657978551,26.94585418701172,0.34124794602394104,0.3502384788066417,0.7971224657978551,26.94585418701172,0.34124794602394104
Gemma-3-1B-Instruct,Gemma-3-12B-Instruct,task2_model_series,string,262137,24000,1152,3840,262144,262208,True,True,0.23622087815468507,0.8662378889646747,16.685327529907227,0.16793419420719147,0.23622087815468507,0.8662378889646747,16.685327529907227,0.16793419420719147
Gemma-3-4B-Instruct,Gemma-3-12B-Instruct,task2_model_series,id,262137,24000,2560,3840,262208,262208,True,True,0.4092703026596497,0.761830089830135,29.08070182800293,0.13081464171409607,0.4092703026596497,0.761830089830135,29.08070182800293,0.13081464171409607
Gemma-3-1B-Instruct,Gemma-3-27B-Instruct,task2_model_series,string,262137,24000,1152,5376,262144,262208,True,True,0.20932564639615203,0.8845742050482689,17.07377052307129,0.17812195420265198,0.20932564639615203,0.8845742050482689,17.07377052307129,0.17812195420265198
Qwen3.5-2B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,2048,5120,248320,248320,True,False,0.18382406534481155,0.8988976694985565,29.172163009643555,0.15755517780780792,0.26590092608722027,0.8281556506600263,37.068206787109375,0.14480017125606537
Gemma-3-4B-Instruct,Gemma-3-27B-Instruct,task2_model_series,id,262137,24000,2560,5376,262208,262208,True,True,0.36046829824425664,0.7956144842982047,29.701698303222656,0.14578887820243835,0.36046829824425664,0.7956144842982047,29.701698303222656,0.14578887820243835
Gemma-4-E2B-Instruct,Gemma-4-26B-A4B-Instruct,task2_model_series,id,262120,24000,1536,2816,262144,262144,True,True,0.301542329613518,0.7982532243774222,28.09726333618164,0.9271330237388611,0.301542329613518,0.7982532243774222,28.09726333618164,0.9271330237388611
Gemma-3-12B-Instruct,Gemma-3-27B-Instruct,task2_model_series,id,262137,24000,3840,5376,262208,262208,True,True,0.48180663415666225,0.7161591816477128,45.06389617919922,0.09228065609931946,0.48180663415666225,0.7161591816477128,45.06389617919922,0.09228065609931946
Gemma-4-E4B-Instruct,Gemma-4-26B-A4B-Instruct,task2_model_series,id,262120,24000,2560,2816,262144,262144,True,True,0.3961488949343821,0.7421899090186689,39.39296340942383,0.6349592804908752,0.3961488949343821,0.7421899090186689,39.39296340942383,0.6349592804908752
Gemma-4-E2B-Instruct,Gemma-4-31B-Instruct,task2_model_series,id,262120,24000,1536,5376,262144,262144,True,True,0.21942475908738956,0.8662096069131672,18.067874908447266,0.9435016512870789,0.21942475908738956,0.8662096069131672,18.067874908447266,0.9435016512870789
Gemma-2-2B-Instruct,Gemma-2-27B-Instruct,task2_model_series,id,255993,24000,2304,4608,256000,256000,True,True,0.24172098010324328,0.8610896950661309,20.499380111694336,0.3476457893848419,0.24172098010324328,0.8610896950661309,20.499380111694336,0.3476457893848419
MiniMax-M2.5-Chat,MiniMax-M2.7,task2_model_series,id,200000,24000,3072,3072,200064,200064,False,False,0.9928088805945303,0.08444563568938826,55.20762634277344,0.047592636197805405,0.986528606120537,0.11327740103855187,55.77104568481445,0.054131414741277695
Gemma-4-E4B-Instruct,Gemma-4-31B-Instruct,task2_model_series,id,262120,24000,2560,5376,262144,262144,True,True,0.3001954922886759,0.8201939727404923,26.52105140686035,0.7095930576324463,0.3001954922886759,0.8201939727404923,26.52105140686035,0.7095930576324463
Gemma-4-26B-A4B-Instruct,Gemma-4-31B-Instruct,task2_model_series,id,262120,24000,2816,5376,262144,262144,True,True,0.3388240189528049,0.7972224642146091,22.894729614257812,0.49223464727401733,0.3388240189528049,0.7972224642146091,22.894729614257812,0.49223464727401733
Gemma-4-E2B-Instruct,Gemma-4-E4B-Instruct,task2_model_series,id,262120,24000,1536,2560,262144,262144,True,True,0.3996877709290714,0.7269373077550702,24.167028427124023,0.7810665965080261,0.3996877709290714,0.7269373077550702,24.167028427124023,0.7810665965080261
DeepSeek-V3-Base,DeepSeek-V3.1-Base,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999105526654907,0.009428537740179386,84.58133697509766,0.003993296530097723,0.9999594745855287,0.006346479219073734,84.66807556152344,0.11742164194583893
DeepSeek-V2-Lite,DeepSeek-V2-Lite-Chat,task2_model_series,id,100000,24000,2048,2048,102400,102400,False,False,0.9999670406780551,0.005680015456679474,45.254180908203125,0.0018600947223603725,0.9999655522552466,0.005714054694670049,45.245155334472656,0.004839347675442696
DeepSeek-V3,DeepSeek-V3.1-Base,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999073085650138,0.009597960117143952,84.58169555664062,0.0040427991189062595,0.9999579991715616,0.006461004635530994,84.6655044555664,0.09662006050348282
DeepSeek-V3-Base,DeepSeek-V3.2-Speciale,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9997962212437752,0.014230847009206479,84.48206329345703,0.007604967337101698,0.9999166026625652,0.009105114205052096,84.67674255371094,0.10085992515087128
DeepSeek-V3-Base,DeepSeek-V3.2,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9997937095737357,0.014318585910937485,84.47929382324219,0.007302454207092524,0.9999157343920748,0.009152316239987078,84.67666625976562,0.10979039967060089
DeepSeek-V3.1-Base,DeepSeek-V3.2,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9998963614336027,0.010148699245521163,84.56295013427734,0.00446515716612339,0.9999702738845808,0.005435689617681383,84.6748275756836,0.10646366328001022
DeepSeek-V3-Base,DeepSeek-V3.1,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999041434843855,0.009760452407586937,84.5805435180664,0.004091272130608559,0.9999544516586091,0.006728475736631427,84.66182708740234,0.12018173187971115
DeepSeek-V3.1,DeepSeek-V3.2,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9998906412211407,0.010425202151181067,84.56334686279297,0.004338476341217756,0.9999668093543327,0.005743807953055427,84.67981719970703,0.1233033537864685
DeepSeek-V3,DeepSeek-V3.2-Speciale,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9997908379814557,0.014417735036684157,84.48046875,0.007145662326365709,0.9999159870246364,0.00913824548288641,84.6756362915039,0.10119859874248505
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9998881335413828,0.010544311466784046,84.56331634521484,0.004410766996443272,0.9999647541740162,0.005919165651258635,84.67845916748047,0.13801902532577515
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999946988134958,0.0022952974267777056,84.6644287109375,0.0006471718661487103,0.9999959853620964,0.0019976311741098525,84.66339111328125,0.03003162331879139
GLM-5-744B,GLM-5.1,task2_model_series,id,154820,24000,6144,6144,154880,154880,False,False,0.9958327336989434,0.06445727365709032,78.07360076904297,0.0016634552739560604,0.9988160013311662,0.03368226672520533,78.01347351074219,0.021660728380084038
DeepSeek-V3,DeepSeek-V3.1,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999009877428678,0.009919769425865196,84.58088684082031,0.004320136737078428,0.9999541969730588,0.006747291234818674,84.66021728515625,0.10382939130067825
DeepSeek-V3.1-Base,DeepSeek-V3.2-Speciale,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9998969191586468,0.010121328775274788,84.56438446044922,0.004352604039013386,0.9999701298646442,0.005449177525053123,84.67425537109375,0.10211181640625
DeepSeek-V3,DeepSeek-V3.2,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9997921661544986,0.014371923776163935,84.48209381103516,0.00751783512532711,0.9999163333626573,0.009119351944289138,84.676025390625,0.0962810218334198
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-7B,task2_model_series,string,151643,24000,1536,3584,151936,152064,False,False,0.18664523888784046,0.8993861649322249,19.18657684326172,0.3158607482910156,0.19903351809794922,0.8143381437179587,18.731788635253906,0.4181962013244629
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-14B,task2_model_series,string,151643,24000,1536,5120,151936,152064,False,False,0.14638854212964603,0.9218723544446256,18.503055572509766,0.2882536053657532,0.14515093201386342,0.9138581686743258,21.073644638061523,0.21184003353118896
DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-14B,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.25133178777308407,0.8633666384037134,71.92372131347656,0.06302706897258759,0.27165121902282796,0.843456274296361,45.87763977050781,0.38581058382987976
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-32B,task2_model_series,string,151643,24000,1536,5120,151936,152064,False,False,0.1560669030413009,0.9172523666079899,20.200180053710938,0.30510374903678894,0.14400813941243484,0.9132446691146768,21.682100296020508,0.22289100289344788
Qwen3-0.6B,Qwen2.5-3B-Instruct,task3_cross_scale_groups,id,151643,24000,1024,2048,151936,151936,True,True,0.26444671320339097,0.8256459020683349,19.21799087524414,0.15414173901081085,0.26444671320339097,0.8256459020683349,19.21799087524414,0.15414173901081085
DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-32B,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.26582745045235,0.8555346225410967,76.02791595458984,0.054470960050821304,0.27498422239269393,0.8403413411924963,47.88260269165039,0.40015721321105957
DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-32B,task2_model_series,id,151643,24000,5120,5120,152064,152064,False,False,0.5029801244600787,0.7039316975815914,101.91129302978516,0.02668231725692749,0.6647777296747988,0.5715238913417204,61.661739349365234,0.06598003208637238
Qwen3-0.6B,Qwen2.5-1.5B-Instruct,task3_cross_scale_groups,id,151643,24000,1024,1536,151936,151936,True,True,0.30160237597116646,0.7917540993255067,18.645370483398438,0.15213434398174286,0.30160237597116646,0.7917540993255067,18.645370483398438,0.15213434398174286
Qwen3-0.6B,Llama-3.2-1B-Instruct,task3_cross_scale_groups,string,109566,24000,1024,2048,151936,128256,True,True,0.26099714782883787,0.8042786576560809,15.7236967086792,0.1746446043252945,0.26099714782883787,0.8042786576560809,15.7236967086792,0.1746446043252945
Qwen3-0.6B,Gemma-3-1B-Instruct,task3_cross_scale_groups,string,24519,24000,1024,1152,151936,262144,True,True,0.30731804304109267,0.8058236512442702,16.45766830444336,0.28275036811828613,0.30731804304109267,0.8058236512442702,16.45766830444336,0.28275036811828613
Qwen3-0.6B,Llama-3.2-3B-Instruct,task3_cross_scale_groups,string,109566,24000,1024,3072,151936,128256,True,True,0.21190657192995543,0.8259104028515166,16.618610382080078,0.22297319769859314,0.21190657192995543,0.8259104028515166,16.618610382080078,0.22297319769859314
Qwen3-0.6B,Gemma-2-2B-Instruct,task3_cross_scale_groups,string,25138,24000,1024,2304,151936,256000,True,True,0.2664270872384209,0.8096170803462018,27.28993797302246,0.71827232837677,0.2664270872384209,0.8096170803462018,27.28993797302246,0.71827232837677
Qwen3-0.6B,Qwen3.5-0.8B-Instruct,task3_cross_scale_groups,string,131586,24000,1024,1024,151936,248320,True,True,0.3816754968181042,0.7223742081779895,12.269323348999023,0.1197340115904808,0.3816754968181042,0.7223742081779895,12.269323348999023,0.1197340115904808
DeepSeek-V4-Flash,DeepSeek-V4-Pro,task2_model_series,id,127998,24000,4096,7168,129280,129280,False,False,0.5253604854668048,0.6778766054622211,46.550662994384766,1.5566248893737793,0.5461770734238272,0.6700530012955349,41.59577178955078,1.1254539489746094
Qwen3-0.6B,Gemma-4-E4B-Instruct,task3_cross_scale_groups,string,24519,24000,1024,2560,151936,262144,True,True,0.2904424232883521,0.7859995301004076,20.306602478027344,0.5045958757400513,0.2904424232883521,0.7859995301004076,20.306602478027344,0.5045958757400513
DeepSeek-R1,DeepSeek-R1-0528,task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.999990662455649,0.0030463612685062377,84.66323852539062,0.0008884711423888803,0.9999948469828561,0.002263014734277365,84.66287994384766,0.09895756840705872
Qwen3-0.6B,Qwen3.5-2B-Instruct,task3_cross_scale_groups,string,131586,24000,1024,2048,151936,248320,True,True,0.26445333723982134,0.7940405002549819,11.13077449798584,0.11635574698448181,0.26445333723982134,0.7940405002549819,11.13077449798584,0.11635574698448181
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,task3_cross_scale_groups,id,151643,24000,1024,896,151936,151936,True,True,0.33112746298782103,0.7519584080748014,8.457194328308105,0.09627372026443481,0.33112746298782103,0.7519584080748014,8.457194328308105,0.09627372026443481
Qwen3-1.7B,Qwen2.5-0.5B-Instruct,task3_cross_scale_groups,id,151643,24000,2048,896,151936,151936,True,True,0.400396033525407,0.71244373610422,7.4679646492004395,0.10045163333415985,0.400396033525407,0.71244373610422,7.4679646492004395,0.10045163333415985
Qwen3-1.7B,Qwen2.5-1.5B-Instruct,task3_cross_scale_groups,id,151643,24000,2048,1536,151936,151936,True,True,0.42321828140190654,0.719530488833899,17.89586067199707,0.1794653683900833,0.42321828140190654,0.719530488833899,17.89586067199707,0.1794653683900833
Qwen3-0.6B,Qwen3.5-4B-Instruct,task3_cross_scale_groups,string,131586,24000,1024,2560,151936,248320,True,True,0.23237005832519153,0.8296101199449454,10.508073806762695,0.11647120118141174,0.23237005832519153,0.8296101199449454,10.508073806762695,0.11647120118141174
Qwen3-0.6B,Gemma-4-E2B-Instruct,task3_cross_scale_groups,string,24519,24000,1024,1536,151936,262144,True,True,0.3089283989284938,0.769724506850165,20.787166595458984,0.48475223779678345,0.3089283989284938,0.769724506850165,20.787166595458984,0.48475223779678345
Qwen3-1.7B,Llama-3.2-3B-Instruct,task3_cross_scale_groups,string,109566,24000,2048,3072,151936,128256,True,True,0.3315405733029093,0.7604593491855279,17.000816345214844,0.2739686071872711,0.3315405733029093,0.7604593491855279,17.000816345214844,0.2739686071872711
Qwen3-1.7B,Gemma-2-2B-Instruct,task3_cross_scale_groups,string,25138,24000,2048,2304,151936,256000,True,True,0.36386570564778586,0.7540031162604749,26.429241180419922,0.5665273070335388,0.36386570564778586,0.7540031162604749,26.429241180419922,0.5665273070335388
Qwen3-1.7B,Gemma-3-1B-Instruct,task3_cross_scale_groups,string,24519,24000,2048,1152,151936,262144,True,True,0.40154599807638325,0.7489846423699622,15.252336502075195,0.27520063519477844,0.40154599807638325,0.7489846423699622,15.252336502075195,0.27520063519477844
Qwen3-1.7B,Gemma-4-E2B-Instruct,task3_cross_scale_groups,string,24519,24000,2048,1536,151936,262144,True,True,0.4173298381668481,0.7067448294883694,19.517189025878906,0.5020126700401306,0.4173298381668481,0.7067448294883694,19.517189025878906,0.5020126700401306
Qwen3-1.7B,Llama-3.2-1B-Instruct,task3_cross_scale_groups,string,109566,24000,2048,2048,151936,128256,True,True,0.3769009098278022,0.7387522897294885,15.320319175720215,0.21648024022579193,0.3769009098278022,0.7387522897294885,15.320319175720215,0.21648024022579193
Qwen3-1.7B,Gemma-4-E4B-Instruct,task3_cross_scale_groups,string,24519,24000,2048,2560,151936,262144,True,True,0.39466677985116627,0.7260107146048904,19.21870994567871,0.5005589127540588,0.39466677985116627,0.7260107146048904,19.21870994567871,0.5005589127540588
Qwen3-1.7B,Qwen3.5-4B-Instruct,task3_cross_scale_groups,string,131586,24000,2048,2560,151936,248320,True,True,0.35470156428341015,0.7608363207140721,10.533203125,0.11240720748901367,0.35470156428341015,0.7608363207140721,10.533203125,0.11240720748901367
Qwen3-1.7B,Gemma-3-4B-Instruct,task3_cross_scale_groups,string,24519,24000,2048,2560,151936,262208,True,True,0.39540664888879207,0.7637345202552317,16.247432708740234,0.2698524296283722,0.39540664888879207,0.7637345202552317,16.247432708740234,0.2698524296283722
Qwen3-1.7B,Qwen3.5-2B-Instruct,task3_cross_scale_groups,string,131586,24000,2048,2048,151936,248320,True,True,0.37949919431595824,0.7293509101851544,10.772140502929688,0.12055303156375885,0.37949919431595824,0.7293509101851544,10.772140502929688,0.12055303156375885
Qwen3-4B,Qwen2.5-0.5B-Instruct,task3_cross_scale_groups,id,151643,24000,2560,896,151936,151936,True,True,0.42370134479890353,0.6986146885722042,12.241551399230957,0.08597633242607117,0.42370134479890353,0.6986146885722042,12.241551399230957,0.08597633242607117
Qwen3-4B,Qwen2.5-1.5B-Instruct,task3_cross_scale_groups,id,151643,24000,2560,1536,151936,151936,True,True,0.45525444550149263,0.6994930826457654,29.684011459350586,0.16609741747379303,0.45525444550149263,0.6994930826457654,29.684011459350586,0.16609741747379303
Qwen3-4B,Qwen2.5-3B-Instruct,task3_cross_scale_groups,id,151643,24000,2560,2048,151936,151936,True,True,0.4429592470816105,0.7182509217169946,32.383888244628906,0.17587949335575104,0.4429592470816105,0.7182509217169946,32.383888244628906,0.17587949335575104
Qwen3-4B,Llama-3.2-1B-Instruct,task3_cross_scale_groups,string,109566,24000,2560,2048,151936,128256,True,True,0.4227392546131309,0.7107793294784819,25.93655014038086,0.19772715866565704,0.4227392546131309,0.7107793294784819,25.93655014038086,0.19772715866565704
Qwen3-4B,Llama-3.2-3B-Instruct,task3_cross_scale_groups,string,109566,24000,2560,3072,151936,128256,True,True,0.39036464004374527,0.7263771303450898,29.52294921875,0.2264503687620163,0.39036464004374527,0.7263771303450898,29.52294921875,0.2264503687620163
DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-70B,task2_model_series,id,128000,24000,4096,8192,128256,128256,False,False,0.31398015742221874,0.8246352737075355,42.53099822998047,0.06642336398363113,0.3508270754135514,0.7987702767417174,43.41349792480469,0.0545329712331295
Qwen3-4B,Gemma-3-1B-Instruct,task3_cross_scale_groups,string,24519,24000,2560,1152,151936,262144,True,True,0.43453327375081785,0.7280615667418756,25.740516662597656,0.271900475025177,0.43453327375081785,0.7280615667418756,25.740516662597656,0.271900475025177
Qwen3-4B,Gemma-4-E2B-Instruct,task3_cross_scale_groups,string,24519,24000,2560,1536,151936,262144,True,True,0.4611568983040908,0.6796776342633323,33.23548889160156,0.49389374256134033,0.4611568983040908,0.6796776342633323,33.23548889160156,0.49389374256134033
Qwen3-0.6B,Gemma-3-4B-Instruct,task3_cross_scale_groups,string,24519,24000,1024,2560,151936,262208,True,True,0.28153663041527033,0.8325542322749357,16.905933380126953,0.28881821036338806,0.28153663041527033,0.8325542322749357,16.905933380126953,0.28881821036338806
Qwen3-4B,Gemma-3-4B-Instruct,task3_cross_scale_groups,string,24519,24000,2560,2560,151936,262208,True,True,0.4431847183826142,0.7329350542397859,27.945419311523438,0.28291329741477966,0.4431847183826142,0.7329350542397859,27.945419311523438,0.28291329741477966
Qwen3-4B,Qwen3.5-0.8B-Instruct,task3_cross_scale_groups,string,131586,24000,2560,1024,151936,248320,True,True,0.4828422494241855,0.6610960093185874,17.531618118286133,0.1337539255619049,0.4828422494241855,0.6610960093185874,17.531618118286133,0.1337539255619049
Qwen3-4B,Qwen3.5-2B-Instruct,task3_cross_scale_groups,string,131586,24000,2560,2048,151936,248320,True,True,0.4180977356592226,0.7065591488751999,18.097749710083008,0.1281813085079193,0.4180977356592226,0.7065591488751999,18.097749710083008,0.1281813085079193
Qwen3-4B,Gemma-4-E4B-Instruct,task3_cross_scale_groups,string,24519,24000,2560,2560,151936,262144,True,True,0.44085494413311277,0.6977360852069444,33.077049255371094,0.49675431847572327,0.44085494413311277,0.6977360852069444,33.077049255371094,0.49675431847572327
Qwen3-1.7B,Qwen2.5-3B-Instruct,task3_cross_scale_groups,id,151643,24000,2048,2048,151936,151936,True,True,0.3970393852747305,0.7472158841233105,19.16874122619629,0.16976043581962585,0.3970393852747305,0.7472158841233105,19.16874122619629,0.16976043581962585
Qwen3-4B,Qwen3.5-4B-Instruct,task3_cross_scale_groups,string,131586,24000,2560,2560,151936,248320,True,True,0.40860097975508336,0.7282311756654731,18.100126266479492,0.13657724857330322,0.40860097975508336,0.7282311756654731,18.100126266479492,0.13657724857330322
Qwen2.5-0.5B-Instruct,Llama-3.2-3B-Instruct,task3_cross_scale_groups,string,109566,24000,896,3072,151936,128256,True,True,0.1852560376187885,0.8393969281706203,34.57422637939453,0.3142096698284149,0.1852560376187885,0.8393969281706203,34.57422637939453,0.3142096698284149
Qwen2.5-0.5B-Instruct,Gemma-3-1B-Instruct,task3_cross_scale_groups,string,24519,24000,896,1152,151936,262144,True,True,0.28303271307575417,0.8198085294568054,36.79984664916992,0.30474838614463806,0.28303271307575417,0.8198085294568054,36.79984664916992,0.30474838614463806
Qwen2.5-0.5B-Instruct,Gemma-2-2B-Instruct,task3_cross_scale_groups,string,25138,24000,896,2304,151936,256000,True,True,0.24221702705011905,0.8228923934310286,60.6931266784668,0.5766058564186096,0.24221702705011905,0.8228923934310286,60.6931266784668,0.5766058564186096
Qwen2.5-0.5B-Instruct,Gemma-4-E4B-Instruct,task3_cross_scale_groups,string,24519,24000,896,2560,151936,262144,True,True,0.26087488034986994,0.8022360433822158,46.99252700805664,0.5158968567848206,0.26087488034986994,0.8022360433822158,46.99252700805664,0.5158968567848206
Qwen2.5-0.5B-Instruct,Qwen3.5-4B-Instruct,task3_cross_scale_groups,string,131586,24000,896,2560,151936,248320,True,True,0.20144103878578346,0.8462594892505176,21.644399642944336,0.1147199347615242,0.20144103878578346,0.8462594892505176,21.644399642944336,0.1147199347615242
Qwen2.5-0.5B-Instruct,Gemma-4-E2B-Instruct,task3_cross_scale_groups,string,24519,24000,896,1536,151936,262144,True,True,0.27430398222655383,0.7887928422132715,46.25492858886719,0.5241235494613647,0.27430398222655383,0.7887928422132715,46.25492858886719,0.5241235494613647
Qwen2.5-0.5B-Instruct,Qwen3.5-0.8B-Instruct,task3_cross_scale_groups,string,131586,24000,896,1024,151936,248320,True,True,0.32853452145945183,0.753088295284134,25.89373207092285,0.13441507518291473,0.32853452145945183,0.753088295284134,25.89373207092285,0.13441507518291473
Qwen3-1.7B,Qwen3.5-0.8B-Instruct,task3_cross_scale_groups,string,131586,24000,2048,1024,151936,248320,True,True,0.4618828134386753,0.6739667993378547,10.619950294494629,0.12018061429262161,0.4618828134386753,0.6739667993378547,10.619950294494629,0.12018061429262161
Qwen2.5-0.5B-Instruct,Gemma-3-4B-Instruct,task3_cross_scale_groups,string,24519,24000,896,2560,151936,262208,True,True,0.2512844499375896,0.8499088039474029,38.33598327636719,0.28382769227027893,0.2512844499375896,0.8499088039474029,38.33598327636719,0.28382769227027893
Qwen2.5-1.5B-Instruct,Llama-3.2-1B-Instruct,task3_cross_scale_groups,string,109566,24000,1536,2048,151936,128256,True,True,0.3373286009994355,0.7618835337364495,20.723691940307617,0.28958678245544434,0.3373286009994355,0.7618835337364495,20.723691940307617,0.28958678245544434
Qwen2.5-1.5B-Instruct,Llama-3.2-3B-Instruct,task3_cross_scale_groups,string,109566,24000,1536,3072,151936,128256,True,True,0.28529464407921756,0.7864347229821241,22.431499481201172,0.3476252257823944,0.28529464407921756,0.7864347229821241,22.431499481201172,0.3476252257823944
Qwen2.5-1.5B-Instruct,Gemma-3-1B-Instruct,task3_cross_scale_groups,string,24519,24000,1536,1152,151936,262144,True,True,0.3706539738519332,0.7680627532870717,21.471837997436523,0.30677729845046997,0.3706539738519332,0.7680627532870717,21.471837997436523,0.30677729845046997
Qwen2.5-1.5B-Instruct,Gemma-4-E2B-Instruct,task3_cross_scale_groups,string,24519,24000,1536,1536,151936,262144,True,True,0.37343866677989,0.7329187396240214,27.193466186523438,0.5099727511405945,0.37343866677989,0.7329187396240214,27.193466186523438,0.5099727511405945
Qwen2.5-1.5B-Instruct,Gemma-3-4B-Instruct,task3_cross_scale_groups,string,24519,24000,1536,2560,151936,262208,True,True,0.350551912927211,0.7915608236154991,22.669382095336914,0.2710527777671814,0.350551912927211,0.7915608236154991,22.669382095336914,0.2710527777671814
Qwen2.5-1.5B-Instruct,Qwen3.5-0.8B-Instruct,task3_cross_scale_groups,string,131586,24000,1536,1024,151936,248320,True,True,0.4159117710573389,0.7025951286446109,14.725265502929688,0.15746936202049255,0.4159117710573389,0.7025951286446109,14.725265502929688,0.15746936202049255
Qwen2.5-1.5B-Instruct,Gemma-2-2B-Instruct,task3_cross_scale_groups,string,25138,24000,1536,2304,151936,256000,True,True,0.3272330541816284,0.7754037873429388,36.396141052246094,0.5547016859054565,0.3272330541816284,0.7754037873429388,36.396141052246094,0.5547016859054565
Qwen3-4B,Gemma-2-2B-Instruct,task3_cross_scale_groups,string,25138,24000,2560,2304,151936,256000,True,True,0.40393954485987216,0.7298221882865444,45.01912307739258,0.6512646675109863,0.40393954485987216,0.7298221882865444,45.01912307739258,0.6512646675109863
Qwen2.5-1.5B-Instruct,Qwen3.5-2B-Instruct,task3_cross_scale_groups,string,131586,24000,1536,2048,151936,248320,True,True,0.3246484850429362,0.760446989709476,14.213292121887207,0.13822995126247406,0.3246484850429362,0.760446989709476,14.213292121887207,0.13822995126247406
Qwen2.5-1.5B-Instruct,Qwen3.5-4B-Instruct,task3_cross_scale_groups,string,131586,24000,1536,2560,151936,248320,True,True,0.2998105611347761,0.7923010241221616,13.792146682739258,0.12593546509742737,0.2998105611347761,0.7923010241221616,13.792146682739258,0.12593546509742737
Qwen2.5-3B-Instruct,Gemma-2-2B-Instruct,task3_cross_scale_groups,string,25138,24000,2048,2304,151936,256000,True,True,0.37182192628412036,0.7492170629359964,39.744449615478516,0.5266749858856201,0.37182192628412036,0.7492170629359964,39.744449615478516,0.5266749858856201
Qwen2.5-0.5B-Instruct,Llama-3.2-1B-Instruct,task3_cross_scale_groups,string,109566,24000,896,2048,151936,128256,True,True,0.22937009753405302,0.8214297558086373,33.0202522277832,0.25391238927841187,0.22937009753405302,0.8214297558086373,33.0202522277832,0.25391238927841187
Qwen2.5-3B-Instruct,Llama-3.2-1B-Instruct,task3_cross_scale_groups,string,109566,24000,2048,2048,151936,128256,True,True,0.3903342637572548,0.73062332821113,22.794071197509766,0.2419842779636383,0.3903342637572548,0.73062332821113,22.794071197509766,0.2419842779636383
Qwen2.5-3B-Instruct,Llama-3.2-3B-Instruct,task3_cross_scale_groups,string,109566,24000,2048,3072,151936,128256,True,True,0.3447035246049812,0.7531959345371022,25.311113357543945,0.294778436422348,0.3447035246049812,0.7531959345371022,25.311113357543945,0.294778436422348
Qwen2.5-3B-Instruct,Gemma-3-1B-Instruct,task3_cross_scale_groups,string,24519,24000,2048,1152,151936,262144,True,True,0.40974167030331066,0.7438560201031723,22.95403480529785,0.27864402532577515,0.40974167030331066,0.7438560201031723,22.95403480529785,0.27864402532577515
Qwen2.5-3B-Instruct,Gemma-4-E2B-Instruct,task3_cross_scale_groups,string,24519,24000,2048,1536,151936,262144,True,True,0.4220807586964892,0.703893020877951,29.390722274780273,0.48599058389663696,0.4220807586964892,0.703893020877951,29.390722274780273,0.48599058389663696
