series,model_a,model_b,hidden_a,hidden_b,gcorr_E_euc,gcorr_E_cos
qwen3,Qwen3-30B-A3B,Qwen3-235B-A22B,2048,4096,0.8794,0.3808
qwen3,Qwen3-32B,Qwen3-235B-A22B,5120,4096,0.8818,0.3048
llama,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,8192,4096,0.8850,0.4104
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,896,1536,0.8886,0.8509
qwen3,Qwen3-14B,Qwen3-235B-A22B,5120,4096,0.8901,0.2898
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-7B,1536,3584,0.8974,0.2235
qwen3,Qwen3-0.6B,Qwen3-4B,1024,2560,0.9001,0.8844
gemma3,Gemma-3-12B-Instruct,Gemma-3-27B-Instruct,3840,5376,0.9156,0.8345
qwen3.5_dense,Qwen3.5-0.8B-Instruct,Qwen3.5-2B-Instruct,1024,2048,0.9157,0.9319
gemma4,Gemma-4-E2B-Instruct,Gemma-4-E4B-Instruct,1536,2560,0.9179,0.7683
qwen3.5_moe,Qwen3.5-35B-A3B-Instruct,Qwen3.5-397B-A17B-Instruct,2048,4096,0.9307,0.4143
qwen3,Qwen3-0.6B,Qwen3-1.7B,1024,2048,0.9323,0.8571
qwen3.5_moe,Qwen3.5-35B-A3B-Instruct,Qwen3.5-122B-A10B-Instruct,2048,3072,0.9359,0.4117
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,3584,8192,0.9379,0.2782
qwen2.5,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,5120,8192,0.9502,0.2765
qwen2.5,Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct,5120,8192,0.9555,0.3011
qwen3.5_dense,Qwen3.5-2B-Instruct,Qwen3.5-4B-Instruct,2048,2560,0.9587,0.9486
llama,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,2048,3072,0.9588,0.9485
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct,3584,5120,0.9621,0.3133
qwen3.5_dense,Qwen3.5-9B-Instruct,Qwen3.5-27B-Instruct,4096,5120,0.9621,0.4082
deepseek_v4_moe,DeepSeek-V4-Flash,DeepSeek-V4-Pro,4096,7168,0.9640,0.7834
qwen3.5_moe,Qwen3.5-122B-A10B-Instruct,Qwen3.5-397B-A17B-Instruct,3072,4096,0.9668,0.4988
qwen3,Qwen3-1.7B,Qwen3-4B,2048,2560,0.9669,0.8742
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-14B-Instruct,3584,5120,0.9711,0.3057
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,1536,2048,0.9715,0.9153
qwen3,Qwen3-8B,Qwen3-32B,4096,5120,0.9795,0.3528
qwen3,Qwen3-8B,Qwen3-14B,4096,5120,0.9878,0.3475
