matrix_kind,model_a,model_b,hidden_dim,vocab,identity_R2,full_affine_R2,delta_over_Yc_energy,full_affine_gain_over_delta,D_energy_at_1,P_energy_at_1,R_energy_at_1,P_abs_delta_energy_at_1,D_energy_at_2,P_energy_at_2,R_energy_at_2,P_abs_delta_energy_at_2,D_energy_at_4,P_energy_at_4,R_energy_at_4,P_abs_delta_energy_at_4,D_energy_at_8,P_energy_at_8,R_energy_at_8,P_abs_delta_energy_at_8,D_energy_at_16,P_energy_at_16,R_energy_at_16,P_abs_delta_energy_at_16,D_energy_at_32,P_energy_at_32,R_energy_at_32,P_abs_delta_energy_at_32,D_energy_at_64,P_energy_at_64,R_energy_at_64,P_abs_delta_energy_at_64,D_energy_at_128,P_energy_at_128,R_energy_at_128,P_abs_delta_energy_at_128,D_energy_at_256,P_energy_at_256,R_energy_at_256,P_abs_delta_energy_at_256,D_energy_at_512,P_energy_at_512,R_energy_at_512,P_abs_delta_energy_at_512,D_energy_at_1024,P_energy_at_1024,R_energy_at_1024,P_abs_delta_energy_at_1024,D_energy_at_2048,P_energy_at_2048,R_energy_at_2048,P_abs_delta_energy_at_2048,D_energy_at_4096,P_energy_at_4096,R_energy_at_4096,P_abs_delta_energy_at_4096
lm_head,Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.9821210165079378,0.9876894496558482,0.017878983492062236,0.31145132777725315,0.036353117161560346,0.08552911587489864,0.036855683325943515,0.026638156702851724,0.06108203007157744,0.14466638830381767,0.05843659265308915,0.0450565387219637,0.10595373325990172,0.2372623868317159,0.07700280569757029,0.07389568541033818,0.1643640307797008,0.35704044379202127,0.0998248863476629,0.11120072028920475,0.2284636124079204,0.4766189961066394,0.13256040915258466,0.14844361918127427,0.2937672277659719,0.584901099271981,0.17836943360071542,0.18216822398663343,0.3709204788035151,0.6819461620553138,0.24674776418042055,0.21239303764472933,0.4706164705541766,0.7680429059937982,0.3532917362373162,0.23920798286166847,0.6079077068497953,0.8525934082410956,0.5129669401941985,0.2655413490508229,0.7886035793545049,0.9346886247495126,0.7340926979285848,0.2911100132365304,0.9999998851195068,0.9999998155723173,0.9999999165777872,0.3114512703370065,0.9999998851195068,0.9999998155723173,0.9999999165777872,0.3114512703370065,0.9999998851195068,0.9999998155723173,0.9999999165777872,0.3114512703370065
lm_head,Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.9912145794555884,0.9938152295635724,0.008785420544411506,0.29601885246555293,0.04074683665036411,0.1170544401814217,0.021066514580775235,0.034650321058502166,0.06920953684214017,0.18835328155025433,0.03676593733442918,0.05575612226262749,0.1064899761892599,0.2854857967726418,0.053349772558120546,0.08450917795585147,0.15244341366599257,0.3783879706030582,0.07388098236408557,0.11200997284468665,0.20192077277643716,0.47485467099278494,0.10080592474936419,0.1405659347951919,0.25145310495382933,0.5582473286388664,0.13649679782380775,0.16525173361563764,0.3098853101937713,0.6366249369359661,0.18730205804674765,0.18845298328273968,0.3845879443926011,0.7077729697448673,0.2644366543130176,0.2095141423100121,0.4866828979005855,0.7812378514632122,0.3791189142277519,0.23126113229279419,0.623045199191207,0.8583839523755353,0.5395007404562789,0.2540978325570518,0.7990552607034042,0.9382657287335008,0.7536648211711726,0.27774434432744666,1.000000078955931,0.9999999333184945,0.9999998878436415,0.2960188327265702,1.000000078955931,0.9999999333184945,0.9999998878436415,0.2960188327265702
lm_head,Qwen3-4B-Base,Qwen3-4B,2560,151936,0.9859308098198453,0.9901264025115812,0.014069190180154734,0.29821138516231127,0.030960467630730345,0.09128858819512982,0.0158231006066519,0.02722329633518148,0.05140455666052181,0.14526581567267127,0.022946431090985035,0.043319920108480285,0.08619537433800709,0.2294648004667466,0.03434559965372239,0.06842901599318188,0.12820657295307197,0.3332557304432079,0.05007994168973847,0.09938065298874685,0.17364498160061298,0.4351032242041462,0.07187726862398841,0.12975273517850613,0.22190082466006422,0.5265944612857932,0.10351998050738107,0.1570364637188375,0.28009156266015145,0.6139589381969459,0.1507795006348566,0.18308954539249309,0.35343387369071616,0.6949619023885706,0.22202596824227228,0.2072455515463306,0.44975599173832037,0.7746374989918647,0.3265001853575022,0.23100572157303248,0.5756924223235843,0.8525574864652834,0.4726515319067013,0.2542423489693106,0.7384486370299451,0.9291837740657799,0.6710551081891919,0.2770931803345003,0.9370829024929999,0.9909291000050817,0.9202097547895003,0.29550633951015787,1.0,1.0000000842746317,0.9999999283780904,0.2982114102939659
lm_head,Qwen3-8B-Base,Qwen3-8B,4096,151936,0.9916613926048998,0.9942313860123364,0.008338607395100202,0.30820415036529253,0.030336727434192325,0.08646106435597706,0.015646836973210263,0.026647658879512787,0.05531190476939963,0.14917983812314822,0.02350873926018405,0.04597784526037677,0.09113317924031125,0.23220232278745898,0.034169335626384724,0.0715657196075562,0.12838092079096952,0.32510993170256197,0.04903629817844425,0.10020023027570639,0.16970047979717934,0.4174721872139329,0.06904537106300222,0.12866666076141053,0.21334525170190335,0.49835449823924005,0.09708458037932068,0.15359492471054664,0.26470535053539324,0.5781955666758667,0.13706617852552153,0.17820227337231434,0.3265803069322753,0.6512326032026686,0.19488221638965253,0.20071259116025617,0.40570698104493313,0.7252066689880606,0.2775643944512587,0.22351170525470918,0.5073560701799182,0.7990316889281383,0.39276393045120955,0.24626488280104156,0.6389018361222614,0.8760748521298948,0.5500210105842339,0.2700099054570935,0.8068583010124268,0.9526969459734345,0.7578736780818707,0.29362515278935136,1.0,1.0000001187616296,1.0,0.3082041869681197
lm_head,Qwen3-14B-Base,Qwen3-14B,5120,151936,0.9907810132168415,0.9937198291009526,0.009218986783158512,0.31877861995417894,0.029341409206354134,0.08086019694911514,0.00817717052000341,0.025776501992662036,0.053874895563549276,0.14722942009849993,0.01460236193845503,0.046933591355653864,0.08349963109633124,0.22380080844516995,0.024480290164162498,0.07134291286078083,0.12036596101103865,0.3134245465972119,0.037419132663296543,0.09991304442402346,0.16194021981548024,0.4041257148727783,0.05696374166183338,0.12882663767514027,0.21002736291614063,0.49488849316423716,0.0859973256852212,0.15775987088209864,0.2664782160847175,0.5829677319523557,0.1286027248358126,0.18583764906958966,0.33009410520725074,0.6589571387078321,0.187078209907773,0.21006144728623719,0.4063156518338604,0.7308958216803838,0.26644331447420494,0.23299396136554842,0.4991889294612842,0.7993854218589673,0.37201527050476163,0.25482698159169076,0.6157657637987924,0.869355755193569,0.5124557614514541,0.27713202788982894,0.763355655159007,0.9402986579607243,0.6975465604268838,0.2997471085294862,0.9431541441580441,0.9943614944693675,0.9273484742908953,0.3169811849425199
lm_head,Qwen3-30B-A3B-Base,Qwen3-30B-A3B,2048,151936,0.9919979790427884,0.9944893593020327,0.008002020957211543,0.3113438808228835,0.031500220863985906,0.07257669233740893,0.029292677294473973,0.02259630904961733,0.058662681241135516,0.13741885676117638,0.04165558696147028,0.042784520162268594,0.10570626229743682,0.23460943187029082,0.05751836756091501,0.07304421099614823,0.15034360389943593,0.33290397746509226,0.07739544172047849,0.10364761628535558,0.1959960773244681,0.42334038620600145,0.10510832512556338,0.1318044387504348,0.24669169118338874,0.5062740261433827,0.142537119307465,0.15762532005930674,0.30670949220687704,0.5868907178195848,0.19379151031676825,0.18272483370487735,0.38063745459774506,0.6646621080130307,0.2665779146182302,0.20693848014469557,0.4785397289840493,0.7477233975989621,0.37246888649938464,0.2327991043905328,0.6094595967012562,0.8357948593619232,0.5233743743974264,0.2602196150855573,0.7843631729022477,0.9285968273093107,0.7337730837994122,0.28911293993429776,1.0,1.000000122445706,0.9999998892836787,0.3113439189456048,1.0,1.000000122445706,0.9999998892836787,0.3113439189456048
lm_head,Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.9975700738204689,0.997860103859318,0.0024299261795311103,0.11935755139071841,0.022172663093756904,0.11603180549920931,0.013019331987349307,0.013849272187829718,0.040208192809212756,0.19854089219330856,0.022650524920304758,0.023697354743121908,0.06268264182816861,0.2846716163966187,0.03820934039002416,0.03397770708353829,0.09485430514518296,0.380102499565329,0.061616456719491605,0.04536810362560928,0.13748338415918826,0.48463595267467563,0.09683054875032654,0.05784496062715737,0.19661561787052553,0.6001460908586616,0.1498997132676979,0.07163196788160145,0.27817646967675264,0.7079747642427203,0.22844576998036684,0.08450213430643223,0.39287397638752053,0.7993782962552057,0.34611158590612884,0.09541183607590564,0.5551707974828829,0.8826740960912727,0.5180792167557955,0.10535381878547,0.7648368568323658,0.9560759556552769,0.7435480743421271,0.11411488501055493,1.0,1.0000001655889585,1.0000000897721673,0.11935757115501104,1.0,1.0000001655889585,1.0000000897721673,0.11935757115501104,1.0,1.0000001655889585,1.0000000897721673,0.11935757115501104
lm_head,Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.9961489055099909,0.9965920495136669,0.0038510944900091095,0.11506962626484923,0.019254345819014754,0.10183327566553989,0.00968012367927656,0.01171791697215904,0.02908009498632252,0.16021138448350875,0.014407871563720758,0.01843546413589142,0.042321767041189944,0.2191411412223307,0.02252853344387962,0.02521648921970614,0.06143099687992918,0.29549713449552223,0.03602232913307529,0.03400274482873363,0.08939649395615196,0.37881867810603104,0.057551500966348944,0.04359052371180522,0.13052537045620402,0.4784729074484228,0.09238292397945827,0.05505769863794581,0.19006793650349893,0.5852824723456157,0.14691895488682843,0.06734823535217696,0.27549788083044374,0.6871712785315536,0.23030323592533425,0.07907254220056449,0.39645943643710174,0.7859182933320692,0.35434348470071114,0.09043532428842935,0.5601771108549928,0.8779797019860529,0.525657176034238,0.10102879617565881,0.7672132771176225,0.9577406027035933,0.7477276882039934,0.11020685321177394,1.0,0.9999998148211074,1.0,0.11506960495638327,1.0,0.9999998148211074,1.0,0.11506960495638327
lm_head,Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.9967907101000678,0.997175886644525,0.0032092898999321936,0.12001924303107303,0.019837492091447625,0.10859486745593269,0.008700324847348716,0.01303347378912075,0.029521676933657752,0.16257435416514407,0.013044255474582094,0.019512050923166165,0.04110850241042607,0.21291447407773761,0.020453564082599004,0.02555383400916909,0.05819954805923765,0.27580685685339174,0.03267586275500161,0.033102130182323594,0.08290769319522366,0.35089462550561473,0.051848827330610144,0.04211410733685573,0.11989330723279881,0.44128948893813763,0.08260349802555673,0.05296323041992435,0.17367708848968894,0.540113074936971,0.13138248332213653,0.06482396240512049,0.251875038399759,0.6428479021609456,0.20674933327075268,0.07715411860146998,0.36135639866871244,0.7477060946205406,0.3163794611197782,0.08973911948607716,0.5062744949365744,0.847276766830667,0.46644990522999213,0.10168951619283162,0.6961191020281854,0.9363726627707362,0.6691700683226725,0.11238273818073398,0.9285365844136123,0.9949573620213867,0.9218331907755168,0.11941402943800013,0.9999998972581698,0.9999998929944196,1.0000001167549684,0.12001923018834428
lm_head,Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,0.9977631099964671,0.9982332053666256,0.0022368900035329075,0.21015578299160945,0.018759387587563906,0.06948739828757902,0.006569383188958906,0.014603178595175991,0.035335607836068095,0.12725544905704914,0.012317432837960537,0.02674346853653303,0.05614779843455855,0.19656992390480582,0.021113455658872668,0.041310306270815556,0.08134233597153225,0.27315340874079075,0.03381260124804564,0.057404768490748014,0.11433898829694208,0.36172051287665,0.05354445701573922,0.07601765760771893,0.1577029393269098,0.4591958496852046,0.08308797704823118,0.09650266333709157,0.2140008431803402,0.5652422807592672,0.12758332006249024,0.11878893409292693,0.2859817429151918,0.6661399656866249,0.19324492482838948,0.1399931660708765,0.37891428160163554,0.7611211452368045,0.2861844968159235,0.15995401022871114,0.49491011225889514,0.8444165515565493,0.41051674965572965,0.17745902156344137,0.6379659316384043,0.9165398123450146,0.5720394986584103,0.19261614190634932,0.8120139303922818,0.9741964608187972,0.7756854081833574,0.20473302001102908,1.0,1.0,1.0000000771560644,0.21015578299160945
