model_a,model_b,analysis_tier,hidden_dim,identity_R2_E,identity_R2_U,full_affine_gain_over_delta_E,full_affine_gain_over_delta_U,side,D_at_1,P_at_1,R_at_1,D_at_2,P_at_2,R_at_2,D_at_4,P_at_4,R_at_4,D_at_8,P_at_8,R_at_8,D_at_16,P_at_16,R_at_16,D_at_32,P_at_32,R_at_32,D_at_64,P_at_64,R_at_64,D_at_128,P_at_128,R_at_128,D_at_256,P_at_256,R_at_256,D_at_512,P_at_512,R_at_512,D_at_1024,P_at_1024,R_at_1024,D_at_2048,P_at_2048,R_at_2048,D_at_4096,P_at_4096,R_at_4096
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,extended,2048,0.9917874672256084,0.9919979790427884,0.04091907668921381,0.3113438808228835,E,0.0021438945764080974,0.0037650168271490475,0.002130369834439844,0.004135044700958225,0.0069253975427629065,0.004132397991508371,0.007634719081837228,0.012535979766382817,0.007617831611391995,0.013979247863574157,0.022359299726258025,0.013919359203454646,0.025549628229511193,0.039483305728543805,0.025457502399914213,0.04687705342134702,0.0689466890950612,0.04683227456864116,0.08629054205696134,0.11959588425796347,0.08648224383128415,0.1578886085438524,0.20416118458252405,0.15860173160512572,0.28155911944665213,0.3404997999768171,0.28320543742126814,0.47614499931167004,0.548471430611039,0.4789790312301559,0.7342272946549732,0.8131940733767024,0.7372448411871055,0.9999998843142903,1.0000000883494624,0.9999998793785656,0.9999998843142903,1.0000000883494624,0.9999998793785656
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,extended,2048,0.9917874672256084,0.9919979790427884,0.04091907668921381,0.3113438808228835,U,0.031500220863985906,0.07257669233740893,0.029292677294473973,0.058662681241135516,0.13741885676117638,0.04165558696147028,0.10570626229743682,0.23460943187029082,0.05751836756091501,0.15034360389943593,0.33290397746509226,0.07739544172047849,0.1959960773244681,0.42334038620600145,0.10510832512556338,0.24669169118338874,0.5062740261433827,0.142537119307465,0.30670949220687704,0.5868907178195848,0.19379151031676825,0.38063745459774506,0.6646621080130307,0.2665779146182302,0.4785397289840493,0.7477233975989621,0.37246888649938464,0.6094595967012562,0.8357948593619232,0.5233743743974264,0.7843631729022477,0.9285968273093107,0.7337730837994122,1.0,1.000000122445706,0.9999998892836787,1.0,1.000000122445706,0.9999998892836787
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,extended,2048,0.9986870899262132,0.9985144613508695,0.020009746459619213,0.20687355751194766,E,0.005124733794197004,0.0066758685923695195,0.005148390243093925,0.010035600716208572,0.011577042718774425,0.010059999583023525,0.017978612507954073,0.02034649425011541,0.018024028605332774,0.029666648454398516,0.03451759730925512,0.029734822933571728,0.04854907182550289,0.056734432347442944,0.048654967160396176,0.08023172370539308,0.09413557763943928,0.0803974226299591,0.13193058810127098,0.1568165613130579,0.1321669184826297,0.20873525620253028,0.2560842566057398,0.20904792661154314,0.3127087658213516,0.4068575258127768,0.3130879433622758,0.4666108214017064,0.6221211155141759,0.4670220510748026,0.6998598210195597,0.869891206972992,0.7001953331335927,1.0,1.0000002285327738,0.9999999253399329,1.0,1.0000002285327738,0.9999999253399329
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,extended,2048,0.9986870899262132,0.9985144613508695,0.020009746459619213,0.20687355751194766,U,0.02109095215297713,0.06715938377567293,0.01048288756559585,0.03951950955533649,0.1299566864044557,0.018591499121639793,0.06298761225156584,0.19559300296097634,0.0316884370233245,0.09335136454017763,0.27402286086860644,0.050602191675002545,0.13129314880615,0.3561829861203079,0.07821933093759127,0.18032763593028756,0.44475876543240295,0.11773113549947317,0.24428476230549348,0.5415317816798906,0.17380948211291017,0.3272258979615554,0.6389264674449675,0.25362612783410543,0.43786237415183743,0.7415261532377633,0.3668752885960343,0.5842602253543525,0.8446157290857562,0.5247578042633647,0.7773840810484595,0.9418116869557505,0.7414736239692884,1.0,0.9999999230035277,1.0000001606658506,1.0,0.9999999230035277,1.0000001606658506
DeepSeek-V3-Base,DeepSeek-V3,extended,7168,0.9999947955812982,0.9999976813016844,0.06028393127065296,0.12157416748624102,E,0.006841441635594504,0.006775705261902672,0.0068559183746722905,0.0108227774251461,0.010891652262901404,0.010839004154406692,0.016698079058402395,0.017006024048123423,0.016719370573822764,0.025236633777766065,0.026055567971480908,0.025265440109789705,0.037799124902592116,0.03986822008120076,0.03783400273728412,0.055734975320533085,0.060303233533273534,0.05578536093738929,0.08060988443104194,0.0904456057240488,0.08068435832317107,0.11422305062630517,0.13576327505652022,0.11432671760849379,0.16192731209758576,0.20753384745558753,0.16210873432308157,0.2333902302365559,0.3231081133322598,0.23376522008286438,0.34425932371630114,0.49982480041344485,0.34503719946746025,0.5163776660041272,0.7335248441879081,0.5177051191688203,0.7662024404573078,0.9475704155551072,0.7676379923102454
DeepSeek-V3-Base,DeepSeek-V3,extended,7168,0.9999947955812982,0.9999976813016844,0.06028393127065296,0.12157416748624102,U,0.09414699746941743,0.2638794843154895,0.07846495014325214,0.15287480379531024,0.37860722734825797,0.12344152550773427,0.19449978723943875,0.5112977659369491,0.15186721404348924,0.22938295562462838,0.571199151922372,0.18447584170053485,0.2554740756187669,0.6069614366614657,0.20882399315289757,0.28028056566129084,0.6352580957803284,0.23353582875314663,0.3099791748271849,0.6607513469425599,0.26363341375727367,0.3452659718367013,0.6877183756430483,0.30028619550492086,0.38867705201220765,0.7192792788877348,0.34597676591821397,0.4450570156033805,0.7626704594019416,0.40599032442574834,0.5243099019610606,0.8253998090593929,0.4909551537887311,0.6444922490341234,0.9071424535723133,0.620101662340712,0.8236286102367419,0.9817546688455336,0.8121571676914544
DeepSeek-V3.1-Base,DeepSeek-V3.1,extended,7168,0.9999847219928868,0.9999883609539282,0.060522450379373934,0.11176792640086654,E,0.0042425279496469065,0.004296796763802754,0.004249908384591306,0.006790330691484041,0.0070585800486352,0.006795089414094012,0.010965929554595934,0.011601920365019789,0.010968668325499368,0.017221719647742377,0.018487614620504016,0.01722766047329538,0.026903078753969564,0.029599972367036858,0.026909347825533725,0.04128222249297514,0.04688386059654017,0.041296622063535286,0.06158573670115961,0.07327861478266744,0.06159682476262702,0.09004426268295188,0.11476674243510598,0.09006422621880304,0.13226068236621305,0.18359235038992303,0.1323590458764159,0.1990170075125009,0.2982760112301626,0.19932558334839048,0.3080037628492609,0.4778126465347,0.308762683008141,0.48406637135896563,0.7195520892218803,0.4854452127131649,0.7476345195180233,0.9443324180284641,0.7491491727892057
DeepSeek-V3.1-Base,DeepSeek-V3.1,extended,7168,0.9999847219928868,0.9999883609539282,0.060522450379373934,0.11176792640086654,U,0.04861005961837361,0.21350047470737485,0.03467175691295597,0.08502170983566587,0.29758897431777787,0.060376792239349164,0.11959141174829417,0.41180889910381385,0.09113587434982472,0.15903837958796022,0.4903142283729681,0.12115012329767674,0.19054268041339092,0.5339774066444449,0.15028705759432504,0.21923804836353258,0.5709047625872256,0.17803090152175866,0.2521075286730126,0.6044723318264894,0.2108782112810461,0.290152334460009,0.6366541226248602,0.2494108629394665,0.3375744133682206,0.6738094663388973,0.2984735841901569,0.3989785167247203,0.7240696125175909,0.36307339146219825,0.4849835596183174,0.7963108096249938,0.45429421468735365,0.6139787589661653,0.8908612418777392,0.5915316380300897,0.8062177477435856,0.9782775489309404,0.7956856475252542
