model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,rank_affine_gain_over_w_gain,rank_affine_gain_over_w_gain_raw,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,full_affine_update_gain_over_raw,mean_shift_over_raw_delta,centered_delta_over_raw_delta,raw_delta_over_Yc_energy,centered_delta_over_Yc_energy
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,1,37,0.01806640625,156032,153600,0.9844134536505332,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9922500444702989,0.9933016997481154,0.031500220863985906,0.1629239303793714,0.09930875230165723,0.22153096386081256,5.172152001183006,2.2307295049674662,0.523292540546365,0.031500220863985906,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,2,75,0.03662109375,310016,309248,0.9975227085053675,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9924673990474862,0.9935043683173007,0.058662681241135516,0.18825110338592285,0.1245694605172818,0.24508488049287713,3.209043627107811,1.9674555824128015,0.6046404473676316,0.058662681241135516,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,4,150,0.0732421875,617984,616448,0.9975144987572494,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.992843842769001,0.9936999692838633,0.10570626229743682,0.21269504918517257,0.16831933287718817,0.26781740817629845,2.012132910221441,1.5911268396703286,0.6831515320712854,0.10570626229743682,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,8,300,0.146484375,1233920,1230848,0.9975103734439834,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9932010317119744,0.9939096099722624,0.15034360389943593,0.23889351698725586,0.20983143620188652,0.29218161678096494,1.5889835735682545,1.3924587376881237,0.7672979355041732,0.15034360389943593,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,16,601,0.29345703125,2465792,2463744,0.9991694352159468,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9935663439135994,0.9941332784852043,0.19599609638582877,0.2668450200060417,0.25228761564964014,0.31817612361657116,1.361481299508859,1.2611642580919726,0.8570748822837594,0.19599609638582877,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,32,1203,0.58740234375,4929536,4929536,1.0,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9939720114306667,0.994363180875028,0.24669172930611005,0.29557556083479,0.2994338451599442,0.34489512471864503,1.1981575615290365,1.151824118393889,0.9493540070663417,0.24669172930611005,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,64,2048,1.0,9857024,8390656,0.8512362351963433,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9944522748272036,0.9944893593020327,0.30670949220687704,0.3113438808228835,0.35524952515873487,0.3595594417480742,1.0151100266987516,1.012132082618305,1.0,0.30670949220687704,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,2048,151936,128,2048,1.0,19712000,8390656,0.4256623376623377,0.9919979790427884,0.9944893593020327,0.9944893606962468,0.9950438476265204,0.9944893593020327,0.38063741647502375,0.3113438808228835,0.4240014606606989,0.3595594417480742,0.8179539565662035,0.8480146299208307,1.0,0.38063741647502375,0.3113438808228835,0.3595594417480742,0.07001398750773327,0.9299860124922668,0.00860445302372554,0.008002020957211543
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,lm_head,2048,248320,1,61,0.02978515625,252416,251904,0.9979716024340771,0.9985144613508695,0.9988217800160366,0.9988217804952013,0.9985457927754398,0.9986788406975425,0.02109095215297713,0.11065302593726042,0.05702379430998385,0.1432983105140988,5.246468966155281,2.5129564289447823,0.5348824048277404,0.02109095215297713,0.20687355751194766,0.2359868723098359,0.0367070283353046,0.9632929716646953,0.0015421462554256222,0.00148553864913053
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,lm_head,2048,248320,2,122,0.0595703125,502784,501760,0.9979633401221996,0.9985144613508695,0.9988217800160366,0.9988217804952013,0.9985731691097086,0.998708662321546,0.03951950955533649,0.13072764602260678,0.074775894133596,0.16263605095115186,3.307926831418738,2.174979688782902,0.6319205199294589,0.03951950955533649,0.20687355751194766,0.2359868723098359,0.0367070283353046,0.9632929716646953,0.0015421462554256222,0.00148553864913053
