model_a,model_b,side,matrix_kind,n,d,delta_fro_norm_sq,r1,r5,r10,a_bias,B5,B10,R2_aff_full,rank_Z,k_eta90,R2_aff_k_eta90,a1_k_eta90,random_baseline_k_over_n_eta90,a1_over_baseline_eta90,A5_K_eta90,A5_K_over_baseline_eta90,R2_aff_K_L5_eta90,A10_K_eta90,A10_K_over_baseline_eta90,R2_aff_K_L10_eta90,k_eta95,R2_aff_k_eta95,a1_k_eta95,random_baseline_k_over_n_eta95,a1_over_baseline_eta95,A5_K_eta95,A5_K_over_baseline_eta95,R2_aff_K_L5_eta95,A10_K_eta95,A10_K_over_baseline_eta95,R2_aff_K_L10_eta95,k_eta99,R2_aff_k_eta99,a1_k_eta99,random_baseline_k_over_n_eta99,a1_over_baseline_eta99,A5_K_eta99,A5_K_over_baseline_eta99,R2_aff_K_L5_eta99,A10_K_eta99,A10_K_over_baseline_eta99,R2_aff_K_L10_eta99
Qwen2.5-7B,Qwen2.5-7B-Instruct,U,lm_head,152064,3584,116.93476867675781,0.40493469183605213,0.4883056714630785,0.5154776505633177,0.35101208090782166,0.31352187364861134,0.2973188256020604,0.5447739375948416,3585,1959,0.456033043659131,0.8807226419448853,0.012882733585858586,68.36457775635887,0.8327560616202173,64.6412545963332,0.406639507834409,0.8055010207373788,62.525629003271455,0.41521777369605833,2634,0.47026490855212877,0.8859050273895264,0.01732165404040404,51.144366774852294,0.8392618342148682,48.45159892105153,0.4098163134896261,0.8128651514094833,46.92768655426411,0.419013818473356,3293,0.4925494265823546,0.8954068422317505,0.02165535563973064,41.34805528610048,0.8510549458228632,39.299975487885774,0.4155749567720071,0.8262614355938066,38.155061932018405,0.4259193035709695
Qwen2.5-14B,Qwen2.5-14B-Instruct,E,embed,152064,5120,35.520965576171875,0.012062136918242263,0.02992591344051425,0.045559820333931585,0.0004789959639310837,0.001200339482558897,0.0008124929767914701,0.04733880952677561,5121,1841,0.02099274569440638,0.018515538424253464,0.01210674452861953,1.529357324793959,0.020234909333426636,1.6713749336655013,0.0006055481451887794,0.019392077791313574,1.6017582385976683,0.0008834995800738713,2216,0.024488906078305703,0.021297356113791466,0.014572811447811447,1.4614445668265277,0.02300040986005714,1.5783097134294806,0.0006883082745684204,0.022215690758501733,1.5244615521213032,0.0010121428795515234,3431,0.03433955767897446,0.031199520453810692,0.022562868265993265,1.382781660824328,0.032758742840135344,1.4518873422449259,0.000980335302653956,0.03170574891536431,1.405218013134934,0.0014445082241367443
Qwen2.5-14B,Qwen2.5-14B-Instruct,U,lm_head,152064,5120,148.80528259277344,0.4011187125484626,0.4940482068329262,0.5301643143022587,0.35321781039237976,0.3185346114961595,0.29728512845785776,0.5674899044852172,5121,3690,0.5055432658986477,0.8600884675979614,0.024266098484848484,35.444035972036964,0.8264220760069149,34.056652185884964,0.40829234473836057,0.8003047067463512,32.980361768747194,0.42429299608504956,4306,0.5152022081801227,0.8667894601821899,0.02831702441077441,30.610188683962967,0.8339777385222817,29.45146094534423,0.4120252062555123,0.8085553759155564,28.55368432030264,0.428667206447676,4895,0.5293496182310625,0.8785513639450073,0.03219039351851852,27.29234619140625,0.8468365771006239,26.307120992896685,0.4183780923970963,0.8226187604891633,25.554790438207178,0.43612311108691126
Qwen2.5-32B,Qwen2.5-32B-Instruct,E,embed,152064,5120,30.97676658630371,0.011487269874347528,0.03206443490561118,0.05086745702029593,0.0021345452405512333,0.0011073900178945502,0.0008501387368656457,0.0491734732090833,5121,1693,0.02196467625534712,0.019175078719854355,0.011133470117845119,1.7222912997377038,0.018765898407298316,1.6855390285926821,0.0006017179279261294,0.018646779548779212,1.6748398613736337,0.0009485142572644596,2040,0.025404552281369817,0.021604051813483238,0.01341540404040404,1.6103914387085858,0.021349375528534185,1.5914075688093248,0.0006845556619101326,0.021227730570294708,1.5823400105104384,0.001079800672422888,3293,0.035558332076720364,0.03137792646884918,0.02165535563973064,1.4489684210625817,0.031248002806887082,1.4429688122764885,0.0010019495519317863,0.03109282805699618,1.4358031599329084,0.0015816130948287047
Qwen2.5-32B,Qwen2.5-32B-Instruct,U,lm_head,152064,5120,155.88150024414062,0.44418780620310594,0.521512257912949,0.5475701972914637,0.25685468316078186,0.2456439618964388,0.2342096383646815,0.5769854197154421,5121,3698,0.5205705839455356,0.8805203437805176,0.024318707912457913,36.20752989633332,0.8489189782215222,34.908062602562886,0.4427216531174596,0.8273670671330084,34.02183496390313,0.45304154818248116,4298,0.5296981651061831,0.886301577091217,0.02826441498316498,31.357506519031837,0.8551721561929925,30.256142103148257,0.4459827620804926,0.8341106688631088,29.51098295718934,0.45673414351228725,4881,0.5429835011281489,0.8959977030754089,0.032098327020202023,27.91415585340278,0.8655270172388001,26.96486382901063,0.45138294904486653,0.8453733042897659,26.336989580725046,0.4629012270148837
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,E,embed,152064,8192,36.184165954589844,0.004724320162265159,0.015265812171299617,0.02470706619245325,0.002024767454713583,0.0008648114210678873,0.0005562845730377505,0.07347244920700752,8193,1924,0.01928278012446837,0.019010543823242188,0.01265256734006734,1.502504852358368,0.018086188589908077,1.429448119405292,0.00027610035790823895,0.018517179300653087,1.4635116180740702,0.000457505174678761,3825,0.03623788303616629,0.034820251166820526,0.025153882575757576,1.3842893263872933,0.03215300310442724,1.2782520951821237,0.0004908417061353997,0.032751540562152924,1.3020471278544372,0.0008091944805739299,6832,0.062044197214642785,0.0590510368347168,0.04492845117845118,1.3143350212579588,0.05394230291958595,1.2006268078401519,0.000823473064457746,0.054786488456359625,1.219416361333119,0.0013536133967433533
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,U,lm_head,152064,8192,180.53915405273438,0.4426883739044579,0.5119092051311828,0.5323530271858568,0.3702915608882904,0.3403189498374104,0.3274316478220433,0.5712458377050214,8193,5112,0.5061266176091004,0.9234258532524109,0.03361742424242424,27.468667634775944,0.8853430297394778,26.33583772971517,0.4532152466223692,0.8620698359757296,25.64354216310903,0.45892548682729467,6409,0.5175208129539561,0.9261562824249268,0.04214672769360269,21.97457152920332,0.88920966623627,21.097952673826207,0.4551946134379733,0.8666280767053275,20.562167554395213,0.46135208007833794,7684,0.5313361924046474,0.9298765063285828,0.05053135521885522,18.401970465688393,0.8943272078086592,17.69846076629567,0.45781433007652084,0.8727146481925959,17.270754849396006,0.46459228483476844
Llama-3.2-1B,Llama-3.2-1B-Instruct,E,embed,128256,2048,4775.09619140625,0.1993443844237022,0.25997686769439876,0.2997220585277395,0.7607351541519165,0.5921812786808773,0.5143717326697375,0.49943253147407757,2049,1323,0.4379639153620617,0.9129818081855774,0.010315306886227544,88.5074790556685,0.8784943618611738,85.16415183285466,0.22838821248385766,0.8536714531501985,82.75773688226143,0.2558641652445442,1637,0.4583573506628272,0.9158981442451477,0.012763535429141716,71.75896908265466,0.8841716366748649,69.27325438813162,0.22986417260696135,0.8615226837969759,67.4987497453054,0.2582173522559724,1940,0.48143622761198873,0.9209802150726318,0.015125998003992017,60.88723632183272,0.8935301526067517,59.072475903469865,0.23229717026520144,0.87367170220337,57.759607132884234,0.26185868106182825
Llama-3.2-3B,Llama-3.2-3B-Instruct,E,embed,128256,3072,5131.6416015625,0.16451317566545337,0.21973717463325443,0.25474661171755125,0.7556543946266174,0.5734074984944358,0.49543567542572503,0.47794302771884223,3073,2054,0.425740099387208,0.9144766330718994,0.01601484530938124,57.101808690978345,0.8805479484976347,54.983231588370316,0.19348911833197868,0.8573281594361154,53.53334002757469,0.21840144374639497,2494,0.44424346421491506,0.9175073504447937,0.019445484031936126,47.18356966264935,0.8858527414799899,45.55570537740882,0.19465477855393573,0.864398940643424,44.45242603494908,0.22020270130115296,2921,0.4632474664597194,0.9215590357780457,0.022774762974051895,40.46404508481651,0.8932123873370875,39.219393341426056,0.1962719663408757,0.8738226647849099,38.36802454455783,0.22260336309595738
Llama-3.1-8B,Llama-3.1-8B-Instruct,E,embed,128256,4096,94.68632507324219,0.007559503116497778,0.01714209748889791,0.024470687693854493,0.01961788348853588,0.009723576914975437,0.007246186744008871,0.048530460667651515,4097,2130,0.02754942075910789,0.04621259495615959,0.01660741017964072,2.7826490979799083,0.0434850253412669,2.618410990689919,0.0007454245437071934,0.04145634328726799,2.4962557580525084,0.001014465229511956,2970,0.03686441772221867,0.053340282291173935,0.02315681137724551,2.3034381298103717,0.050313521428441324,2.1727309778875994,0.0008624792893360952,0.04829977625872986,2.0857697319325443,0.0011819287405104263,3811,0.045691353994923425,0.06073661893606186,0.029714009481037924,2.044039831609433,0.05734999837687805,1.9300659647926715,0.0009830992631645805,0.05516222605482731,1.8564383271812992,0.0013498576062854824
Llama-3.1-8B,Llama-3.1-8B-Instruct,U,lm_head,128256,4096,454.58087158203125,0.14843687167295058,0.22869651159871174,0.28373210373513014,0.5878366231918335,0.38808571665087377,0.31398285534463216,0.4642423796495446,4097,2633,0.35860052554742955,0.8858381509780884,0.020529253992015967,43.150040976773916,0.818740026701141,39.88162585058167,0.18724298801278705,0.7564459858176836,36.84722231562204,0.2146280109180458,3252,0.3820276125213535,0.8918208479881287,0.02535553892215569,35.17262444021077,0.8293352073448099,32.70824611107501,0.18966606886575232,0.7719150977548215,30.44364784060344,0.21901709459088411,3863,0.4165983136348153,0.9004999995231628,0.03011944860279441,29.89762566369215,0.8457765464410808,28.080744690744826,0.19342614576308098,0.7967629584586373,26.453437742705407,0.22606723038169527
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,E,embed,128256,8192,135.23866271972656,0.004052611613295542,0.011586639608581788,0.018132019772422455,0.009237808175384998,0.005911572390947267,0.005265384616506481,0.0826448978737563,8193,4123,0.04539001166196416,0.05421973764896393,0.03214664421157685,1.686637562916691,0.05436923010443735,1.6912878914078866,0.0006299566750161712,0.054325888669811744,1.6899396500692152,0.0009850380875154475,5773,0.06077167739234149,0.0669407993555069,0.04501153942115768,1.487191956026311,0.06757242902366115,1.5012245724681594,0.0007829373825736338,0.06760874969847049,1.5020314916554705,0.0012258831863214276,7581,0.07704590550085688,0.08166369050741196,0.059108345808383235,1.381593231726504,0.08208030551190232,1.3886415596536794,0.0009510349189287015,0.08218156393402744,1.3903546582143018,0.0014901177421803857
